"","time_ms","vertical_movement","hand","F0","envelope","syllable_duration","syllable_num","syllable_bs","syllable_name","STRESS_L2","STRESS_L1","stresstimeL2","stresstimeL1","stresstime","STRESS","F0_z","duration_z","envelope_z","stress_score","peakz"
"3",8,-1041.88402381607,NA,0,0,NA,NA,NA,"o-4i-T'on-te",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",13,-1041.93800717565,NA,0,0,NA,NA,NA,"o-4i-T'on-te",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",18,-1042.02091213103,NA,0,0,NA,NA,NA,"o-4i-T'on-te",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",23,-1042.13882363003,NA,0,0,NA,NA,NA,"o-4i-T'on-te",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",28,-1042.30418509907,NA,0,0,NA,NA,NA,"o-4i-T'on-te",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",33,-1042.53433473401,NA,0,0,NA,NA,NA,"o-4i-T'on-te",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",38,-1042.84673664113,NA,0,0,NA,NA,NA,"o-4i-T'on-te",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",43,-1043.25673018761,NA,0,0,NA,NA,NA,"o-4i-T'on-te",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",48,-1043.74786234763,NA,0,0.00479171488573332,NA,NA,NA,"o-4i-T'on-te",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",53,-1044.27920624832,NA,0,0.00943997064001506,NA,NA,NA,"o-4i-T'on-te",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",58,-1044.80920546447,NA,0,0.00914671885706606,NA,NA,NA,"o-4i-T'on-te",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",63,-1045.29913741955,NA,0,0.00884785021853977,NA,NA,NA,"o-4i-T'on-te",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",68,-1045.7526823104,NA,0,0.00855871142095479,NA,NA,NA,"o-4i-T'on-te",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",73,-1046.2061620727,NA,0,0.00830363693564264,NA,NA,NA,"o-4i-T'on-te",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",78,-1046.69673830101,NA,0,0.0081045240457295,NA,NA,NA,"o-4i-T'on-te",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",83,-1047.25877929419,NA,0,0.00797407716957843,NA,NA,NA,"o-4i-T'on-te",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",88,-1047.88485737077,NA,0,0.00791385252709459,NA,NA,NA,"o-4i-T'on-te",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",93,-1048.53537022089,NA,0,0.00791766868776508,NA,NA,NA,"o-4i-T'on-te",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",98,-1049.1698878915,NA,0,0.0079699086454564,NA,NA,NA,"o-4i-T'on-te",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",103,-1049.7500303837,NA,0,0.00804340244262844,NA,NA,NA,"o-4i-T'on-te",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",108,-1050.26809108652,NA,0,0.00812041017714674,NA,NA,NA,"o-4i-T'on-te",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",113,-1050.73997582375,NA,0,0.00819630007404214,NA,NA,NA,"o-4i-T'on-te",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",118,-1051.18219781299,NA,0,0.00826970061622802,NA,NA,NA,"o-4i-T'on-te",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",123,-1051.609987461,NA,0,0.008333358844956,NA,NA,NA,"o-4i-T'on-te",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
