"","time_ms","vertical_movement","hand","F0","envelope","syllable_duration","syllable_num","syllable_bs","syllable_name","STRESS_L2","STRESS_L1","stresstimeL2","stresstimeL1","stresstime","STRESS","F0_z","duration_z","envelope_z","stress_score","peakz"
"3",8,-1366.17631555798,NA,0,0,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",13,-1366.17492933934,NA,0,0,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",18,-1366.17234993424,NA,0,0,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",23,-1366.16847085177,NA,0,0,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",28,-1366.16320069963,NA,0,0,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",33,-1366.15645970852,NA,0,0,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",38,-1366.14816840812,NA,0,0,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",43,-1366.13824228275,NA,0,0,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",48,-1366.12652132349,NA,0,0.00578131936053898,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",53,-1366.11278740657,NA,0,0.0115243541387309,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",58,-1366.09682091328,NA,0,0.0113521268215656,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",63,-1366.07843354724,NA,0,0.0109933035492144,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",68,-1366.05790568641,NA,0,0.0104547119682739,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",73,-1366.03587849521,NA,0,0.00976860027848291,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",78,-1366.01300241875,NA,0,0.00900460491380841,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",83,-1365.98988352829,NA,0,0.00823671105086113,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",88,-1365.96646393087,NA,0,0.007535935662585,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",93,-1365.94217461258,NA,0,0.00699221493411516,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",98,-1365.9164334117,NA,0,0.00670171617271403,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",103,-1365.8886993096,NA,0,0.006712737647239,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",108,-1365.85904691012,NA,0,0.00700257965463823,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",113,-1365.82802472448,NA,0,0.00748907109574632,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",118,-1365.79619345445,NA,0,0.00805879236281749,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",123,-1365.76408891329,NA,0,0.00860423608627151,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",128,-1365.73187450864,NA,0,0.0090546555519582,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",133,-1365.6994269695,NA,0,0.00938290905199003,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",138,-1365.66661565051,NA,0,0.00960454956289442,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",143,-1365.63333159722,NA,0,0.00975493792477766,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",148,-1365.5997904153,NA,0,0.00986610315326503,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",153,-1365.56645755751,NA,0,0.0099573230966024,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",158,-1365.5338049035,NA,0,0.0100263740319746,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",163,-1365.50225271784,NA,0,0.0100725180244071,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",168,-1365.47144895014,NA,0,0.010104318066164,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",173,-1365.44044702046,NA,0,0.0101404069368347,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",178,-1365.40828505549,NA,0,0.0102029879864443,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",183,-1365.37406256144,NA,0,0.0102910625008341,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",188,-1365.33779746414,NA,0,0.0103710145561759,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",193,-1365.30021469064,NA,0,0.0103913788999899,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",198,-1365.26205735453,NA,0,0.0103184449014284,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",203,-1365.2240093964,NA,0,0.0101588817519469,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",208,-1365.18586935332,NA,0,0.00994479482880806,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",213,-1365.14675417699,NA,0,0.00971301549764422,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",218,-1365.10576328639,NA,0,0.00949469504598637,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",223,-1365.06205045297,NA,0,0.00931610089580321,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",228,-1365.01558272259,NA,0,0.00919774204195862,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",233,-1364.96695320139,NA,0,0.00913928767768315,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",238,-1364.9167710999,NA,0,0.00910427391739694,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",243,-1364.86560943173,NA,0,0.00905576025738834,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",248,-1364.8134995963,NA,0,0.00897824546889688,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",253,-1364.76005605746,NA,0,0.00887033548970128,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",258,-1364.70488255399,NA,0,0.00874773678400992,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",263,-1364.64763195013,NA,0,0.00862876771567063,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",268,-1364.58869217219,NA,0,0.00853525046601877,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",273,-1364.52901699877,NA,0,0.00847292520457106,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",278,-1364.46957476412,NA,0,0.00842421597134198,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",283,-1364.41127798776,NA,0,0.00838343375470688,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",288,-1364.35420403492,NA,0,0.00837124553269802,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",293,-1364.29778736746,NA,0,0.00841644147727632,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",298,-1364.24144590951,NA,0,0.00851735713124673,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",303,-1364.18465507883,NA,0,0.00863861980792482,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",308,-1364.12775056812,NA,0,0.00875691902103343,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",313,-1364.07173031139,NA,0,0.00887690735287613,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",318,-1364.01760927784,NA,0,0.00902195551088223,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",323,-1363.96633465691,NA,0,0.00921617061641456,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",328,-1363.91783945261,NA,0,0.00945961747320682,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",333,-1363.87127594697,NA,0,0.00973405629168303,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",338,-1363.82577633914,NA,0,0.0100153746347702,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",343,-1363.78052472352,NA,0,0.0102702223033911,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",348,-1363.73548170144,NA,0,0.0104641137032424,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",353,-1363.69120563072,NA,0,0.0105787275122125,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",358,-1363.64827024561,NA,0,0.0106215830979929,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",363,-1363.60720802899,NA,0,0.0106112856604071,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",368,-1363.56793422164,NA,0,0.0105596097628182,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",373,-1363.52988891013,NA,0,0.0104801604291993,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",378,-1363.49249995842,NA,0,0.0103927368737267,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",383,-1363.45523760051,NA,0,0.0103122769625638,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",388,-1363.41820605199,NA,0,0.0102405349311216,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",393,-1363.38199756874,NA,0,0.0101731147071606,NA,NA,NA,"sa-t'e-li-to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
