"frame","time_ms","z","hand"
6545,130900,-1365.62152,"left"
6546,130920,-1365.7516,"left"
6547,130940,-1365.85776,"left"
6548,130960,-1365.9136,"left"
6549,130980,-1365.96104,"left"
6550,131000,-1365.98632,"left"
6551,131020,-1366.04272,"left"
6552,131040,-1366.0976,"left"
6553,131060,-1366.16088,"left"
6554,131080,-1366.21968,"left"
6555,131100,-1366.28216,"left"
6556,131120,-1366.3168,"left"
6557,131140,-1366.35128,"left"
6558,131160,-1366.40656,"left"
6559,131180,-1366.47192,"left"
6560,131200,-1366.5544,"left"
6561,131220,-1366.66432,"left"
6562,131240,-1366.78032,"left"
6563,131260,-1366.87832,"left"
6564,131280,-1366.9656,"left"
6565,131300,-1367.01608,"left"
6566,131320,-1367.0384,"left"
6567,131340,-1367.04472,"left"
6568,131360,-1367.0412,"left"
6569,131380,-1367.03024,"left"
6570,131400,-1367.03936,"left"
6571,131420,-1367.04216,"left"
6572,131440,-1367.03528,"left"
6573,131460,-1367.02264,"left"
6574,131480,-1367.00184,"left"
6575,131500,-1366.96336,"left"
6576,131520,-1366.92304,"left"
6577,131540,-1366.88448,"left"
6578,131560,-1366.8336,"left"
6579,131580,-1366.7628,"left"
6580,131600,-1366.6624,"left"
6581,131620,-1366.54432,"left"
6582,131640,-1366.39664,"left"
6583,131660,-1366.24112,"left"
6584,131680,-1366.10464,"left"
6585,131700,-1366.00688,"left"
6586,131720,-1365.94656,"left"
6587,131740,-1365.94296,"left"
6588,131760,-1365.98656,"left"
6589,131780,-1366.04096,"left"
6590,131800,-1366.10576,"left"
6591,131820,-1366.15368,"left"
6592,131840,-1366.18544,"left"
6593,131860,-1366.20928,"left"
6594,131880,-1366.26072,"left"
6595,131900,-1366.3096,"left"
6596,131920,-1366.38168,"left"
6597,131940,-1366.45592,"left"
6598,131960,-1366.52208,"left"
6599,131980,-1366.5456,"left"
6600,132000,-1366.56688,"left"
6601,132020,-1366.5804,"left"
6602,132040,-1366.59904,"left"
6603,132060,-1366.5984,"left"
6604,132080,-1366.63256,"left"
6605,132100,-1366.67328,"left"
6606,132120,-1366.73472,"left"
6607,132140,-1366.8144,"left"
6608,132160,-1366.97264,"left"
6609,132180,-1367.118,"left"
6610,132200,-1367.25696,"left"
6611,132220,-1367.33024,"left"
6612,132240,-1367.34776,"left"
6613,132260,-1367.23176,"left"
6614,132280,-1367.07952,"left"
6615,132300,-1366.87712,"left"
6616,132320,-1366.71008,"left"
6617,132340,-1366.54376,"left"
6618,132360,-1366.47384,"left"
6619,132380,-1366.42448,"left"
6620,132400,-1366.45592,"left"
6621,132420,-1366.50168,"left"
6622,132440,-1366.61064,"left"
6623,132460,-1366.68752,"left"
6624,132480,-1366.7912,"left"
6625,132500,-1366.82208,"left"
6626,132520,-1366.8204,"left"
6627,132540,-1366.74832,"left"
6628,132560,-1366.67456,"left"
6629,132580,-1366.55544,"left"
6630,132600,-1366.50184,"left"
6631,132620,-1366.48896,"left"
6632,132640,-1366.54784,"left"
6633,132660,-1366.6432,"left"
6634,132680,-1366.81144,"left"
6635,132700,-1366.94992,"left"
6636,132720,-1367.06648,"left"
6637,132740,-1367.12552,"left"
6638,132760,-1367.1152,"left"
6639,132780,-1366.99784,"left"
6640,132800,-1366.82792,"left"
6641,132820,-1366.60376,"left"
6642,132840,-1366.35216,"left"
6643,132860,-1366.13376,"left"
6644,132880,-1365.95656,"left"
6645,132900,-1365.83328,"left"
6646,132920,-1365.77808,"left"
6647,132940,-1365.81472,"left"
6648,132960,-1365.90624,"left"
6649,132980,-1366.14344,"left"
6650,133000,-1366.52784,"left"
6651,133020,-1367.1076,"left"
6652,133040,-1367.81008,"left"
6653,133060,-1368.60104,"left"
6654,133080,-1369.32,"left"
6655,133100,-1369.90208,"left"
6656,133120,-1370.14944,"left"
6657,133140,-1370.17856,"left"
6658,133160,-1370.05976,"left"
6659,133180,-1369.90536,"left"
6660,133200,-1369.77976,"left"
6661,133220,-1369.94504,"left"
6662,133240,-1370.2152,"left"
6663,133260,-1370.51376,"left"
6664,133280,-1370.80904,"left"
6665,133300,-1371.08016,"left"
6666,133320,-1371.10136,"left"
6667,133340,-1371.02056,"left"
6668,133360,-1370.87696,"left"
6669,133380,-1370.63376,"left"
6670,133400,-1370.21656,"left"
6671,133420,-1369.84664,"left"
6672,133440,-1369.46688,"left"
6673,133460,-1369.02024,"left"
6674,133480,-1368.526,"left"
6675,133500,-1368.11448,"left"
6676,133520,-1367.47416,"left"
6677,133540,-1366.7288,"left"
6678,133560,-1366.12904,"left"
6679,133580,-1365.8716,"left"
6680,133600,-1366.04912,"left"
6681,133620,-1366.9436,"left"
6682,133640,-1368.3764,"left"
6683,133660,-1369.8924,"left"
6684,133680,-1371.12992,"left"
6685,133700,-1371.7048,"left"
6686,133720,-1371.6388,"left"
6687,133740,-1370.89408,"left"
6688,133760,-1369.8892,"left"
6689,133780,-1368.80072,"left"
6690,133800,-1367.98888,"left"
6691,133820,-1367.21464,"left"
6692,133840,-1366.75088,"left"
6693,133860,-1366.40368,"left"
6694,133880,-1366.27416,"left"
6695,133900,-1366.1376,"left"
6696,133920,-1366.12552,"left"
6697,133940,-1365.98824,"left"
