"frame","time_ms","z","hand"
27543,550860,-326.1144,"left"
27544,550880,-326.106144,"left"
27545,550900,-326.248072,"left"
27546,550920,-326.478672,"left"
27547,550940,-326.674224,"left"
27548,550960,-326.715104,"left"
27549,550980,-326.578112,"left"
27550,551000,-326.31936,"left"
27551,551020,-326.008176,"left"
27552,551040,-325.741176,"left"
27553,551060,-325.638872,"left"
27554,551080,-325.721104,"left"
27555,551100,-325.928768,"left"
27556,551120,-326.1964,"left"
27557,551140,-326.424232,"left"
27558,551160,-326.49352,"left"
27559,551180,-326.407584,"left"
27560,551200,-326.192144,"left"
27561,551220,-325.890408,"left"
27562,551240,-325.57848,"left"
27563,551260,-325.350432,"left"
27564,551280,-325.177056,"left"
27565,551300,-325.048768,"left"
27566,551320,-324.920232,"left"
27567,551340,-324.755912,"left"
27568,551360,-324.523512,"left"
27569,551380,-324.263592,"left"
27570,551400,-323.97708,"left"
27571,551420,-323.715136,"left"
27572,551440,-323.461704,"left"
27573,551460,-323.10548,"left"
27574,551480,-322.485016,"left"
27575,551500,-321.409904,"left"
27576,551520,-319.603088,"left"
27577,551540,-316.871448,"left"
27578,551560,-313.1878,"left"
27579,551580,-308.68556,"left"
27580,551600,-304.189648,"left"
27581,551620,-302.105184,"left"
27582,551640,-304.34088,"left"
27583,551660,-313.24532,"left"
27584,551680,-331.610528,"left"
27585,551700,-362.915568,"left"
27586,551720,-406.178256,"left"
27587,551740,-461.891736,"left"
27588,551760,-528.968,"left"
27589,551780,-605.608288,"left"
27590,551800,-684.596904,"left"
27591,551820,-762.864328,"left"
27592,551840,-834.682192,"left"
27593,551860,-895.789464,"left"
27594,551880,-940.23512,"left"
27595,551900,-967.275464,"left"
27596,551920,-974.885096,"left"
27597,551940,-963.849728,"left"
27598,551960,-934.077544,"left"
27599,551980,-888.06148,"left"
27600,552000,-828.634744,"left"
27601,552020,-759.35508,"left"
27602,552040,-683.248528,"left"
27603,552060,-604.99804,"left"
27604,552080,-529.708448,"left"
27605,552100,-461.116488,"left"
27606,552120,-402.4338,"left"
27607,552140,-355.722616,"left"
27608,552160,-321.353224,"left"
27609,552180,-298.089544,"left"
27610,552200,-284.249784,"left"
27611,552220,-277.679936,"left"
27612,552240,-276.606688,"left"
27613,552260,-279.636768,"left"
27614,552280,-285.543088,"left"
27615,552300,-293.273096,"left"
27616,552320,-301.98144,"left"
27617,552340,-310.806352,"left"
27618,552360,-318.922944,"left"
27619,552380,-325.803792,"left"
27620,552400,-331.158552,"left"
27621,552420,-334.88352,"left"
27622,552440,-337.104,"left"
27623,552460,-338.101616,"left"
27624,552480,-338.184016,"left"
