"frame","time_ms","z","hand"
11661,233220,-1370.84344,"left"
11662,233240,-1370.67232,"left"
11663,233260,-1370.53,"left"
11664,233280,-1370.39424,"left"
11665,233300,-1370.28304,"left"
11666,233320,-1370.1756,"left"
11667,233340,-1370.06336,"left"
11668,233360,-1369.94824,"left"
11669,233380,-1369.84584,"left"
11670,233400,-1369.756,"left"
11671,233420,-1369.69208,"left"
11672,233440,-1369.65616,"left"
11673,233460,-1369.63672,"left"
11674,233480,-1369.61384,"left"
11675,233500,-1369.58592,"left"
11676,233520,-1369.53408,"left"
11677,233540,-1369.46848,"left"
11678,233560,-1369.37792,"left"
11679,233580,-1369.28144,"left"
11680,233600,-1369.17128,"left"
11681,233620,-1369.07384,"left"
11682,233640,-1368.99896,"left"
11683,233660,-1368.97736,"left"
11684,233680,-1369.01856,"left"
11685,233700,-1369.13912,"left"
11686,233720,-1369.31232,"left"
11687,233740,-1369.50472,"left"
11688,233760,-1369.6992,"left"
11689,233780,-1369.8616,"left"
11690,233800,-1369.9724,"left"
11691,233820,-1370.0524,"left"
11692,233840,-1370.11872,"left"
11693,233860,-1370.15416,"left"
11694,233880,-1370.1756,"left"
11695,233900,-1370.18376,"left"
11696,233920,-1370.16264,"left"
11697,233940,-1370.0996,"left"
11698,233960,-1370.0236,"left"
11699,233980,-1369.93184,"left"
11700,234000,-1369.84536,"left"
11701,234020,-1369.77784,"left"
11702,234040,-1369.7564,"left"
11703,234060,-1369.758,"left"
11704,234080,-1369.78144,"left"
11705,234100,-1369.80224,"left"
11706,234120,-1369.80152,"left"
11707,234140,-1369.7696,"left"
11708,234160,-1369.73208,"left"
11709,234180,-1369.70744,"left"
11710,234200,-1369.7216,"left"
11711,234220,-1369.8004,"left"
11712,234240,-1369.93064,"left"
11713,234260,-1370.08576,"left"
11714,234280,-1370.24272,"left"
11715,234300,-1370.3772,"left"
11716,234320,-1370.46688,"left"
11717,234340,-1370.51744,"left"
11718,234360,-1370.54232,"left"
11719,234380,-1370.54952,"left"
11720,234400,-1370.5592,"left"
11721,234420,-1370.5784,"left"
11722,234440,-1370.612,"left"
11723,234460,-1370.65712,"left"
11724,234480,-1370.7152,"left"
11725,234500,-1370.75424,"left"
11726,234520,-1370.77656,"left"
11727,234540,-1370.7764,"left"
11728,234560,-1370.75432,"left"
11729,234580,-1370.71656,"left"
11730,234600,-1370.6968,"left"
11731,234620,-1370.70128,"left"
11732,234640,-1370.74032,"left"
11733,234660,-1370.82184,"left"
11734,234680,-1370.92664,"left"
11735,234700,-1371.04912,"left"
11736,234720,-1371.16496,"left"
11737,234740,-1371.25528,"left"
11738,234760,-1371.29544,"left"
11739,234780,-1371.29536,"left"
11740,234800,-1371.2368,"left"
11741,234820,-1371.14456,"left"
11742,234840,-1371.03552,"left"
11743,234860,-1370.93464,"left"
11744,234880,-1370.84792,"left"
11745,234900,-1370.78384,"left"
11746,234920,-1370.73544,"left"
11747,234940,-1370.69736,"left"
11748,234960,-1370.65888,"left"
11749,234980,-1370.61208,"left"
11750,235000,-1370.56568,"left"
11751,235020,-1370.52032,"left"
11752,235040,-1370.47616,"left"
11753,235060,-1370.44512,"left"
11754,235080,-1370.43904,"left"
11755,235100,-1370.4464,"left"
11756,235120,-1370.46144,"left"
11757,235140,-1370.48104,"left"
11758,235160,-1370.48048,"left"
11759,235180,-1370.44568,"left"
11760,235200,-1370.392,"left"
11761,235220,-1370.32192,"left"
11762,235240,-1370.23784,"left"
11763,235260,-1370.16752,"left"
11764,235280,-1370.11856,"left"
11765,235300,-1370.0724,"left"
11766,235320,-1370.03736,"left"
11767,235340,-1370.02408,"left"
11768,235360,-1370.026,"left"
11769,235380,-1370.05184,"left"
11770,235400,-1370.12504,"left"
11771,235420,-1370.23512,"left"
11772,235440,-1370.36584,"left"
11773,235460,-1370.4956,"left"
11774,235480,-1370.60392,"left"
11775,235500,-1370.66384,"left"
11776,235520,-1370.67904,"left"
11777,235540,-1370.6524,"left"
11778,235560,-1370.606,"left"
11779,235580,-1370.55056,"left"
11780,235600,-1370.5032,"left"
11781,235620,-1370.46264,"left"
11782,235640,-1370.4352,"left"
11783,235660,-1370.41512,"left"
11784,235680,-1370.40088,"left"
11785,235700,-1370.3856,"left"
11786,235720,-1370.37096,"left"
11787,235740,-1370.35032,"left"
11788,235760,-1370.31992,"left"
11789,235780,-1370.28752,"left"
11790,235800,-1370.2536,"left"
11791,235820,-1370.22272,"left"
11792,235840,-1370.20528,"left"
11793,235860,-1370.2096,"left"
11794,235880,-1370.21416,"left"
11795,235900,-1370.21784,"left"
11796,235920,-1370.21272,"left"
11797,235940,-1370.17984,"left"
11798,235960,-1370.10344,"left"
11799,235980,-1370.0088,"left"
11800,236000,-1369.90464,"left"
11801,236020,-1369.78368,"left"
11802,236040,-1369.66688,"left"
11803,236060,-1369.58184,"left"
11804,236080,-1369.518,"left"
11805,236100,-1369.4696,"left"
11806,236120,-1369.45768,"left"
11807,236140,-1369.47408,"left"
11808,236160,-1369.494,"left"
11809,236180,-1369.51504,"left"
11810,236200,-1369.54576,"left"
11811,236220,-1369.57216,"left"
11812,236240,-1369.60152,"left"
11813,236260,-1369.62904,"left"
11814,236280,-1369.67192,"left"
11815,236300,-1369.70368,"left"
11816,236320,-1369.73912,"left"
11817,236340,-1369.75312,"left"
11818,236360,-1369.78296,"left"
11819,236380,-1369.8012,"left"
11820,236400,-1369.83976,"left"
11821,236420,-1369.87784,"left"
11822,236440,-1369.93656,"left"
11823,236460,-1369.95792,"left"
11824,236480,-1369.94656,"left"
11825,236500,-1369.86664,"left"
11826,236520,-1369.718,"left"
11827,236540,-1369.49536,"left"
11828,236560,-1369.26432,"left"
11829,236580,-1369.03104,"left"
11830,236600,-1368.84136,"left"
