"frame","time_ms","z","hand"
14315,286300,-311.307344,"left"
14316,286320,-311.378632,"left"
14317,286340,-311.512624,"left"
14318,286360,-311.661376,"left"
14319,286380,-311.83228,"left"
14320,286400,-311.996904,"left"
14321,286420,-312.119288,"left"
14322,286440,-312.197712,"left"
14323,286460,-312.266528,"left"
14324,286480,-312.324416,"left"
14325,286500,-312.416976,"left"
14326,286520,-312.57588,"left"
14327,286540,-312.796848,"left"
14328,286560,-313.082976,"left"
14329,286580,-313.432384,"left"
14330,286600,-313.781688,"left"
14331,286620,-314.10036,"left"
14332,286640,-314.372952,"left"
14333,286660,-314.591632,"left"
14334,286680,-314.737016,"left"
14335,286700,-314.873248,"left"
14336,286720,-315.007288,"left"
14337,286740,-315.182344,"left"
14338,286760,-315.405712,"left"
14339,286780,-315.695248,"left"
14340,286800,-315.994608,"left"
14341,286820,-316.310064,"left"
14342,286840,-316.578832,"left"
14343,286860,-316.767576,"left"
14344,286880,-316.856976,"left"
14345,286900,-316.8826,"left"
14346,286920,-316.838384,"left"
14347,286940,-316.770848,"left"
14348,286960,-316.712616,"left"
14349,286980,-316.694216,"left"
14350,287000,-316.714248,"left"
14351,287020,-316.77456,"left"
14352,287040,-316.853944,"left"
14353,287060,-316.91772,"left"
14354,287080,-316.938264,"left"
14355,287100,-316.873008,"left"
14356,287120,-316.69656,"left"
14357,287140,-316.366976,"left"
14358,287160,-315.870952,"left"
14359,287180,-315.09588,"left"
14360,287200,-313.920456,"left"
14361,287220,-312.15188,"left"
14362,287240,-309.658488,"left"
14363,287260,-306.3486,"left"
14364,287280,-302.358256,"left"
14365,287300,-298.135616,"left"
14366,287320,-295.065864,"left"
14367,287340,-294.523296,"left"
14368,287360,-298.408752,"left"
14369,287380,-309.7074,"left"
14370,287400,-332.625256,"left"
14371,287420,-369.111904,"left"
14372,287440,-421.149872,"left"
14373,287460,-488.970032,"left"
14374,287480,-568.93576,"left"
14375,287500,-652.108024,"left"
14376,287520,-731.322752,"left"
14377,287540,-798.99984,"left"
14378,287560,-848.894504,"left"
14379,287580,-876.633392,"left"
14380,287600,-883.010752,"left"
14381,287620,-868.758496,"left"
14382,287640,-834.301152,"left"
14383,287660,-780.020584,"left"
14384,287680,-711.32504,"left"
14385,287700,-633.656536,"left"
14386,287720,-551.839232,"left"
14387,287740,-473.3802,"left"
14388,287760,-406.555568,"left"
14389,287780,-353.403968,"left"
14390,287800,-314.00164,"left"
14391,287820,-288.946376,"left"
14392,287840,-275.700344,"left"
14393,287860,-270.20112,"left"
14394,287880,-270.119472,"left"
14395,287900,-273.471024,"left"
14396,287920,-277.947016,"left"
14397,287940,-282.334952,"left"
14398,287960,-286.02012,"left"
14399,287980,-288.754472,"left"
14400,288000,-290.575952,"left"
14401,288020,-291.628616,"left"
14402,288040,-292.12768,"left"
14403,288060,-292.425176,"left"
14404,288080,-292.725736,"left"
14405,288100,-293.133984,"left"
14406,288120,-293.746672,"left"
14407,288140,-294.604336,"left"
14408,288160,-295.580152,"left"
14409,288180,-296.580672,"left"
14410,288200,-297.560912,"left"
14411,288220,-298.425368,"left"
14412,288240,-299.0622,"left"
14413,288260,-299.46028,"left"
14414,288280,-299.59836,"left"
14415,288300,-299.425656,"left"
14416,288320,-298.998056,"left"
14417,288340,-298.414104,"left"
14418,288360,-297.735928,"left"
14419,288380,-297.031768,"left"
14420,288400,-296.39188,"left"
14421,288420,-295.820152,"left"
14422,288440,-295.281832,"left"
14423,288460,-294.783064,"left"
14424,288480,-294.346088,"left"
14425,288500,-293.980608,"left"
14426,288520,-293.725192,"left"
14427,288540,-293.65104,"left"
14428,288560,-293.741776,"left"
14429,288580,-293.96228,"left"
14430,288600,-294.296672,"left"
14431,288620,-294.711336,"left"
14432,288640,-295.13588,"left"
14433,288660,-295.571672,"left"
14434,288680,-296.0366,"left"
14435,288700,-296.492408,"left"
14436,288720,-296.918568,"left"
14437,288740,-297.339544,"left"
14438,288760,-297.759632,"left"
14439,288780,-298.126,"left"
14440,288800,-298.451408,"left"
14441,288820,-298.744848,"left"
14442,288840,-298.979912,"left"
14443,288860,-299.122,"left"
14444,288880,-299.212832,"left"
14445,288900,-299.254896,"left"
14446,288920,-299.250992,"left"
14447,288940,-299.207616,"left"
14448,288960,-299.158272,"left"
14449,288980,-299.095432,"left"
14450,289000,-299.01996,"left"
14451,289020,-298.94856,"left"
14452,289040,-298.912144,"left"
14453,289060,-298.912552,"left"
14454,289080,-298.96808,"left"
14455,289100,-299.104608,"left"
14456,289120,-299.331688,"left"
14457,289140,-299.65792,"left"
14458,289160,-300.095256,"left"
14459,289180,-300.631128,"left"
14460,289200,-301.253672,"left"
14461,289220,-301.899208,"left"
14462,289240,-302.487616,"left"
14463,289260,-302.962016,"left"
14464,289280,-303.289048,"left"
14465,289300,-303.432584,"left"
14466,289320,-303.433088,"left"
14467,289340,-303.32652,"left"
14468,289360,-303.166248,"left"
