"frame","time_ms","z","hand"
4104,82080,-1346.0684,"left"
4105,82100,-1345.99056,"left"
4106,82120,-1345.95288,"left"
4107,82140,-1345.95056,"left"
4108,82160,-1345.97336,"left"
4109,82180,-1346.01672,"left"
4110,82200,-1346.082,"left"
4111,82220,-1346.16736,"left"
4112,82240,-1346.24584,"left"
4113,82260,-1346.32144,"left"
4114,82280,-1346.37624,"left"
4115,82300,-1346.41784,"left"
4116,82320,-1346.4568,"left"
4117,82340,-1346.53016,"left"
4118,82360,-1346.62344,"left"
4119,82380,-1346.74624,"left"
4120,82400,-1346.87064,"left"
4121,82420,-1346.97744,"left"
4122,82440,-1347.028,"left"
4123,82460,-1347.0212,"left"
4124,82480,-1346.94672,"left"
4125,82500,-1346.83312,"left"
4126,82520,-1346.68104,"left"
4127,82540,-1346.52032,"left"
4128,82560,-1346.36952,"left"
4129,82580,-1346.2472,"left"
4130,82600,-1346.14424,"left"
4131,82620,-1346.07776,"left"
4132,82640,-1346.03704,"left"
4133,82660,-1346.01248,"left"
4134,82680,-1345.99672,"left"
4135,82700,-1345.98784,"left"
4136,82720,-1345.9792,"left"
4137,82740,-1345.9704,"left"
4138,82760,-1345.96272,"left"
4139,82780,-1345.9536,"left"
4140,82800,-1345.94696,"left"
4141,82820,-1345.94008,"left"
4142,82840,-1345.93608,"left"
4143,82860,-1345.9328,"left"
4144,82880,-1345.9324,"left"
4145,82900,-1345.9312,"left"
4146,82920,-1345.93136,"left"
4147,82940,-1345.9292,"left"
4148,82960,-1345.92736,"left"
4149,82980,-1345.92592,"left"
4150,83000,-1345.92744,"left"
4151,83020,-1345.93232,"left"
4152,83040,-1345.95376,"left"
4153,83060,-1345.99168,"left"
4154,83080,-1346.05416,"left"
4155,83100,-1346.14968,"left"
4156,83120,-1346.28448,"left"
4157,83140,-1346.42616,"left"
4158,83160,-1346.58192,"left"
4159,83180,-1346.7232,"left"
4160,83200,-1346.83024,"left"
4161,83220,-1346.88616,"left"
4162,83240,-1346.94256,"left"
4163,83260,-1346.9912,"left"
4164,83280,-1347.0816,"left"
4165,83300,-1347.234,"left"
4166,83320,-1347.46856,"left"
4167,83340,-1347.73232,"left"
4168,83360,-1348.01496,"left"
4169,83380,-1348.26616,"left"
4170,83400,-1348.47536,"left"
4171,83420,-1348.62104,"left"
4172,83440,-1348.73624,"left"
4173,83460,-1348.8288,"left"
4174,83480,-1348.9292,"left"
4175,83500,-1349.01656,"left"
4176,83520,-1349.10128,"left"
4177,83540,-1349.14976,"left"
4178,83560,-1349.17776,"left"
4179,83580,-1349.1516,"left"
4180,83600,-1349.11464,"left"
4181,83620,-1349.06432,"left"
4182,83640,-1349.036,"left"
4183,83660,-1348.99208,"left"
4184,83680,-1348.97016,"left"
4185,83700,-1348.92472,"left"
4186,83720,-1348.86224,"left"
4187,83740,-1348.76912,"left"
4188,83760,-1348.68464,"left"
4189,83780,-1348.59312,"left"
4190,83800,-1348.53296,"left"
4191,83820,-1348.49904,"left"
4192,83840,-1348.49504,"left"
4193,83860,-1348.50032,"left"
4194,83880,-1348.51008,"left"
4195,83900,-1348.51688,"left"
4196,83920,-1348.51392,"left"
4197,83940,-1348.48528,"left"
4198,83960,-1348.43032,"left"
4199,83980,-1348.36056,"left"
4200,84000,-1348.23672,"left"
4201,84020,-1348.08528,"left"
4202,84040,-1347.9388,"left"
4203,84060,-1347.82168,"left"
4204,84080,-1347.73968,"left"
4205,84100,-1347.75608,"left"
4206,84120,-1347.84248,"left"
4207,84140,-1347.97112,"left"
4208,84160,-1348.1132,"left"
4209,84180,-1348.24896,"left"
4210,84200,-1348.33656,"left"
4211,84220,-1348.378,"left"
4212,84240,-1348.38128,"left"
4213,84260,-1348.34976,"left"
4214,84280,-1348.2832,"left"
4215,84300,-1348.1844,"left"
4216,84320,-1348.0708,"left"
4217,84340,-1347.95608,"left"
4218,84360,-1347.85552,"left"
4219,84380,-1347.80888,"left"
4220,84400,-1347.84328,"left"
4221,84420,-1347.97112,"left"
4222,84440,-1348.1556,"left"
4223,84460,-1348.41,"left"
4224,84480,-1348.6824,"left"
4225,84500,-1348.9508,"left"
4226,84520,-1349.16752,"left"
4227,84540,-1349.37528,"left"
4228,84560,-1349.52792,"left"
4229,84580,-1349.64312,"left"
4230,84600,-1349.71136,"left"
4231,84620,-1349.76296,"left"
4232,84640,-1349.76624,"left"
4233,84660,-1349.7488,"left"
4234,84680,-1349.71696,"left"
4235,84700,-1349.68568,"left"
4236,84720,-1349.6496,"left"
4237,84740,-1349.62496,"left"
4238,84760,-1349.6088,"left"
4239,84780,-1349.60192,"left"
4240,84800,-1349.60088,"left"
4241,84820,-1349.61016,"left"
4242,84840,-1349.61576,"left"
4243,84860,-1349.59968,"left"
4244,84880,-1349.53384,"left"
4245,84900,-1349.39832,"left"
4246,84920,-1349.16352,"left"
4247,84940,-1348.83848,"left"
4248,84960,-1348.45792,"left"
4249,84980,-1348.05704,"left"
4250,85000,-1347.67672,"left"
4251,85020,-1347.36792,"left"
4252,85040,-1347.14248,"left"
4253,85060,-1346.98696,"left"
4254,85080,-1346.91096,"left"
4255,85100,-1346.89448,"left"
4256,85120,-1346.91072,"left"
4257,85140,-1346.94896,"left"
4258,85160,-1347.0036,"left"
