"frame","time_ms","z","hand"
4413,88260,-1362.21368,"left"
4414,88280,-1362.12088,"left"
4415,88300,-1361.97832,"left"
4416,88320,-1361.79808,"left"
4417,88340,-1361.56288,"left"
4418,88360,-1361.28056,"left"
4419,88380,-1360.98176,"left"
4420,88400,-1360.73632,"left"
4421,88420,-1360.54888,"left"
4422,88440,-1360.43952,"left"
4423,88460,-1360.39912,"left"
4424,88480,-1360.41368,"left"
4425,88500,-1360.43904,"left"
4426,88520,-1360.46912,"left"
4427,88540,-1360.48344,"left"
4428,88560,-1360.47296,"left"
4429,88580,-1360.428,"left"
4430,88600,-1360.3472,"left"
4431,88620,-1360.22056,"left"
4432,88640,-1360.0772,"left"
4433,88660,-1359.9448,"left"
4434,88680,-1359.84776,"left"
4435,88700,-1359.814,"left"
4436,88720,-1359.86064,"left"
4437,88740,-1359.95848,"left"
4438,88760,-1360.07312,"left"
4439,88780,-1360.18856,"left"
4440,88800,-1360.27728,"left"
4441,88820,-1360.34928,"left"
4442,88840,-1360.42352,"left"
4443,88860,-1360.52688,"left"
4444,88880,-1360.66032,"left"
4445,88900,-1360.83408,"left"
4446,88920,-1361.00864,"left"
4447,88940,-1361.16016,"left"
4448,88960,-1361.27296,"left"
4449,88980,-1361.32176,"left"
4450,89000,-1361.30528,"left"
4451,89020,-1361.24376,"left"
4452,89040,-1361.15824,"left"
4453,89060,-1361.0528,"left"
4454,89080,-1360.96592,"left"
4455,89100,-1360.89984,"left"
4456,89120,-1360.85936,"left"
4457,89140,-1360.85152,"left"
4458,89160,-1360.87544,"left"
4459,89180,-1360.94056,"left"
4460,89200,-1361.03944,"left"
4461,89220,-1361.18096,"left"
4462,89240,-1361.33808,"left"
4463,89260,-1361.52232,"left"
4464,89280,-1361.66392,"left"
4465,89300,-1361.78048,"left"
4466,89320,-1361.83408,"left"
4467,89340,-1361.84232,"left"
4468,89360,-1361.78872,"left"
4469,89380,-1361.75552,"left"
4470,89400,-1361.72584,"left"
4471,89420,-1361.75144,"left"
4472,89440,-1361.82528,"left"
4473,89460,-1361.94968,"left"
4474,89480,-1362.07472,"left"
4475,89500,-1362.20024,"left"
4476,89520,-1362.28504,"left"
4477,89540,-1362.33432,"left"
4478,89560,-1362.34224,"left"
4479,89580,-1362.32448,"left"
4480,89600,-1362.28568,"left"
4481,89620,-1362.24336,"left"
4482,89640,-1362.18472,"left"
4483,89660,-1362.14096,"left"
4484,89680,-1362.09952,"left"
4485,89700,-1362.06304,"left"
4486,89720,-1362.01792,"left"
4487,89740,-1361.99424,"left"
4488,89760,-1361.95016,"left"
4489,89780,-1361.9144,"left"
4490,89800,-1361.87472,"left"
4491,89820,-1361.85976,"left"
4492,89840,-1361.83192,"left"
4493,89860,-1361.8292,"left"
4494,89880,-1361.81528,"left"
4495,89900,-1361.81592,"left"
4496,89920,-1361.80464,"left"
4497,89940,-1361.80024,"left"
4498,89960,-1361.77256,"left"
4499,89980,-1361.76648,"left"
4500,90000,-1361.75992,"left"
4501,90020,-1361.76216,"left"
4502,90040,-1361.79128,"left"
4503,90060,-1361.86784,"left"
4504,90080,-1361.93216,"left"
4505,90100,-1361.98744,"left"
4506,90120,-1362.02288,"left"
4507,90140,-1362.01904,"left"
4508,90160,-1361.95552,"left"
4509,90180,-1361.88968,"left"
4510,90200,-1361.81928,"left"
4511,90220,-1361.77264,"left"
4512,90240,-1361.74424,"left"
4513,90260,-1361.764,"left"
4514,90280,-1361.80328,"left"
4515,90300,-1361.88328,"left"
4516,90320,-1361.98912,"left"
4517,90340,-1362.1168,"left"
4518,90360,-1362.25104,"left"
4519,90380,-1362.3804,"left"
4520,90400,-1362.49144,"left"
4521,90420,-1362.55064,"left"
4522,90440,-1362.59664,"left"
4523,90460,-1362.59848,"left"
4524,90480,-1362.5924,"left"
4525,90500,-1362.55568,"left"
4526,90520,-1362.53544,"left"
4527,90540,-1362.46928,"left"
4528,90560,-1362.39768,"left"
4529,90580,-1362.27848,"left"
4530,90600,-1362.13608,"left"
4531,90620,-1361.93576,"left"
4532,90640,-1361.7184,"left"
4533,90660,-1361.46296,"left"
4534,90680,-1361.1952,"left"
4535,90700,-1360.90112,"left"
4536,90720,-1360.64336,"left"
4537,90740,-1360.4172,"left"
4538,90760,-1360.27232,"left"
4539,90780,-1360.22568,"left"
4540,90800,-1360.3084,"left"
4541,90820,-1360.43448,"left"
4542,90840,-1360.6156,"left"
4543,90860,-1360.77,"left"
4544,90880,-1360.86208,"left"
4545,90900,-1360.83856,"left"
4546,90920,-1360.77528,"left"
4547,90940,-1360.64432,"left"
4548,90960,-1360.5224,"left"
4549,90980,-1360.426,"left"
4550,91000,-1360.45,"left"
4551,91020,-1360.52144,"left"
4552,91040,-1360.65952,"left"
4553,91060,-1360.79688,"left"
4554,91080,-1360.94552,"left"
4555,91100,-1361.00192,"left"
4556,91120,-1361.04376,"left"
4557,91140,-1361.09648,"left"
4558,91160,-1361.2072,"left"
4559,91180,-1361.36528,"left"
4560,91200,-1361.5956,"left"
4561,91220,-1361.83904,"left"
4562,91240,-1362.00744,"left"
4563,91260,-1362.08752,"left"
4564,91280,-1362.04336,"left"
4565,91300,-1361.91472,"left"
4566,91320,-1361.732,"left"
4567,91340,-1361.61096,"left"
4568,91360,-1361.5536,"left"
4569,91380,-1361.59008,"left"
4570,91400,-1361.69496,"left"
4571,91420,-1361.82832,"left"
4572,91440,-1361.91384,"left"
4573,91460,-1361.92832,"left"
4574,91480,-1361.9112,"left"
4575,91500,-1361.86592,"left"
4576,91520,-1361.82384,"left"
4577,91540,-1361.76536,"left"
4578,91560,-1361.72336,"left"
4579,91580,-1361.63056,"left"
4580,91600,-1361.47208,"left"
4581,91620,-1361.2776,"left"
4582,91640,-1361.12536,"left"
