"frame","time_ms","z","hand"
13803,276060,-1369.8832,"left"
13804,276080,-1369.84816,"left"
13805,276100,-1369.70336,"left"
13806,276120,-1369.48264,"left"
13807,276140,-1369.1784,"left"
13808,276160,-1368.80728,"left"
13809,276180,-1368.37024,"left"
13810,276200,-1367.97864,"left"
13811,276220,-1367.62472,"left"
13812,276240,-1367.37352,"left"
13813,276260,-1367.19848,"left"
13814,276280,-1367.29656,"left"
13815,276300,-1367.56408,"left"
13816,276320,-1368.02968,"left"
13817,276340,-1368.61824,"left"
13818,276360,-1369.376,"left"
13819,276380,-1369.75824,"left"
13820,276400,-1369.8504,"left"
13821,276420,-1369.57704,"left"
13822,276440,-1368.9948,"left"
13823,276460,-1368.06696,"left"
13824,276480,-1367.36728,"left"
13825,276500,-1366.86792,"left"
13826,276520,-1366.66312,"left"
13827,276540,-1366.7064,"left"
13828,276560,-1367.00552,"left"
13829,276580,-1367.2956,"left"
13830,276600,-1367.52688,"left"
13831,276620,-1367.6032,"left"
13832,276640,-1367.51152,"left"
13833,276660,-1367.24296,"left"
13834,276680,-1366.85392,"left"
13835,276700,-1366.37504,"left"
13836,276720,-1365.8832,"left"
13837,276740,-1365.43136,"left"
13838,276760,-1365.03864,"left"
13839,276780,-1364.72704,"left"
13840,276800,-1364.53288,"left"
13841,276820,-1364.43904,"left"
13842,276840,-1364.45952,"left"
13843,276860,-1364.56672,"left"
13844,276880,-1364.69072,"left"
13845,276900,-1364.82504,"left"
13846,276920,-1364.97656,"left"
13847,276940,-1365.10048,"left"
13848,276960,-1365.27112,"left"
13849,276980,-1365.59656,"left"
13850,277000,-1366.06512,"left"
13851,277020,-1366.62096,"left"
13852,277040,-1367.234,"left"
13853,277060,-1367.80032,"left"
13854,277080,-1368.18192,"left"
13855,277100,-1368.34976,"left"
13856,277120,-1368.35048,"left"
13857,277140,-1368.25344,"left"
13858,277160,-1368.12608,"left"
13859,277180,-1368.06872,"left"
13860,277200,-1368.09248,"left"
13861,277220,-1368.20952,"left"
13862,277240,-1368.37904,"left"
13863,277260,-1368.73504,"left"
13864,277280,-1369.24544,"left"
13865,277300,-1369.91736,"left"
13866,277320,-1370.70912,"left"
13867,277340,-1371.64056,"left"
13868,277360,-1372.24128,"left"
13869,277380,-1372.50424,"left"
13870,277400,-1372.43192,"left"
13871,277420,-1372.036,"left"
13872,277440,-1371.2984,"left"
13873,277460,-1370.68944,"left"
13874,277480,-1370.2172,"left"
13875,277500,-1369.8708,"left"
13876,277520,-1369.63952,"left"
13877,277540,-1369.522,"left"
13878,277560,-1369.35464,"left"
13879,277580,-1369.10936,"left"
13880,277600,-1368.80712,"left"
13881,277620,-1368.50872,"left"
13882,277640,-1368.22376,"left"
13883,277660,-1367.95432,"left"
13884,277680,-1367.75608,"left"
13885,277700,-1367.57856,"left"
13886,277720,-1367.36984,"left"
13887,277740,-1367.1416,"left"
13888,277760,-1366.93792,"left"
13889,277780,-1366.7416,"left"
13890,277800,-1366.67784,"left"
13891,277820,-1366.77504,"left"
13892,277840,-1367.02856,"left"
13893,277860,-1367.366,"left"
13894,277880,-1367.77592,"left"
13895,277900,-1368.0972,"left"
13896,277920,-1368.2752,"left"
13897,277940,-1368.27664,"left"
13898,277960,-1368.16472,"left"
13899,277980,-1367.92296,"left"
13900,278000,-1367.65488,"left"
13901,278020,-1367.41632,"left"
13902,278040,-1367.24296,"left"
13903,278060,-1367.08896,"left"
13904,278080,-1366.9812,"left"
13905,278100,-1366.89104,"left"
13906,278120,-1366.8096,"left"
13907,278140,-1366.75616,"left"
13908,278160,-1366.75992,"left"
13909,278180,-1366.81144,"left"
13910,278200,-1366.91152,"left"
13911,278220,-1367.03096,"left"
13912,278240,-1367.1132,"left"
13913,278260,-1367.14816,"left"
13914,278280,-1367.1356,"left"
13915,278300,-1367.07488,"left"
13916,278320,-1366.99504,"left"
13917,278340,-1366.94192,"left"
13918,278360,-1366.92296,"left"
13919,278380,-1366.92824,"left"
13920,278400,-1366.96704,"left"
13921,278420,-1367.03824,"left"
13922,278440,-1367.116,"left"
13923,278460,-1367.18328,"left"
13924,278480,-1367.2808,"left"
13925,278500,-1367.40864,"left"
13926,278520,-1367.56752,"left"
13927,278540,-1367.78424,"left"
13928,278560,-1368.06872,"left"
13929,278580,-1368.31312,"left"
13930,278600,-1368.41416,"left"
13931,278620,-1368.2588,"left"
13932,278640,-1367.76128,"left"
13933,278660,-1366.85344,"left"
13934,278680,-1365.6996,"left"
13935,278700,-1364.46088,"left"
13936,278720,-1363.39312,"left"
13937,278740,-1362.59312,"left"
13938,278760,-1362.25416,"left"
13939,278780,-1362.26024,"left"
13940,278800,-1362.62048,"left"
13941,278820,-1363.12648,"left"
13942,278840,-1363.81528,"left"
13943,278860,-1364.5132,"left"
13944,278880,-1365.2692,"left"
13945,278900,-1365.94128,"left"
13946,278920,-1366.56712,"left"
13947,278940,-1367.03328,"left"
13948,278960,-1367.37808,"left"
13949,278980,-1367.55256,"left"
13950,279000,-1367.62264,"left"
13951,279020,-1367.6052,"left"
13952,279040,-1367.53624,"left"
13953,279060,-1367.41608,"left"
13954,279080,-1367.28464,"left"
13955,279100,-1367.1328,"left"
13956,279120,-1366.97496,"left"
13957,279140,-1366.83312,"left"
