"frame","time_ms","z","hand"
32176,643520,-1063.2312,"left"
32177,643540,-1063.29984,"left"
32178,643560,-1063.31136,"left"
32179,643580,-1063.32864,"left"
32180,643600,-1063.35184,"left"
32181,643620,-1063.36376,"left"
32182,643640,-1063.3432,"left"
32183,643660,-1063.34064,"left"
32184,643680,-1063.31512,"left"
32185,643700,-1063.2796,"left"
32186,643720,-1063.24184,"left"
32187,643740,-1063.218,"left"
32188,643760,-1063.20632,"left"
32189,643780,-1063.22328,"left"
32190,643800,-1063.2396,"left"
32191,643820,-1063.25168,"left"
32192,643840,-1063.23568,"left"
32193,643860,-1063.18336,"left"
32194,643880,-1063.09904,"left"
32195,643900,-1063.27776,"left"
32196,643920,-1063.76192,"left"
32197,643940,-1065.15432,"left"
32198,643960,-1068.068,"left"
32199,643980,-1073.08352,"left"
32200,644000,-1079.38736,"left"
32201,644020,-1086.89776,"left"
32202,644040,-1093.86416,"left"
32203,644060,-1099.05096,"left"
32204,644080,-1100.70136,"left"
32205,644100,-1099.62384,"left"
32206,644120,-1095.87928,"left"
32207,644140,-1091.82616,"left"
32208,644160,-1087.52264,"left"
32209,644180,-1084.692,"left"
32210,644200,-1083.04152,"left"
32211,644220,-1082.54264,"left"
32212,644240,-1080.75048,"left"
32213,644260,-1078.80304,"left"
32214,644280,-1076.18528,"left"
32215,644300,-1072.93,"left"
32216,644320,-1069.06192,"left"
32217,644340,-1066.45536,"left"
32218,644360,-1064.56592,"left"
32219,644380,-1063.34136,"left"
32220,644400,-1062.76768,"left"
32221,644420,-1062.84032,"left"
32222,644440,-1062.93016,"left"
32223,644460,-1063.01,"left"
32224,644480,-1063.0956,"left"
32225,644500,-1063.2,"left"
32226,644520,-1063.32296,"left"
32227,644540,-1063.46824,"left"
32228,644560,-1063.61584,"left"
32229,644580,-1063.76168,"left"
32230,644600,-1063.88032,"left"
32231,644620,-1063.94096,"left"
32232,644640,-1063.95936,"left"
32233,644660,-1063.97288,"left"
32234,644680,-1063.97904,"left"
32235,644700,-1063.98312,"left"
32236,644720,-1064.01832,"left"
32237,644740,-1064.0536,"left"
32238,644760,-1064.06056,"left"
32239,644780,-1064.04976,"left"
32240,644800,-1064.03376,"left"
32241,644820,-1064.01136,"left"
32242,644840,-1063.968,"left"
32243,644860,-1063.93176,"left"
32244,644880,-1063.88072,"left"
32245,644900,-1063.82568,"left"
32246,644920,-1063.7248,"left"
32247,644940,-1063.62784,"left"
32248,644960,-1063.48056,"left"
32249,644980,-1063.324,"left"
32250,645000,-1063.0984,"left"
32251,645020,-1062.87104,"left"
32252,645040,-1062.63568,"left"
32253,645060,-1062.4872,"left"
32254,645080,-1062.36744,"left"
32255,645100,-1062.39152,"left"
32256,645120,-1062.50928,"left"
32257,645140,-1062.70096,"left"
32258,645160,-1062.309696,"left"
32259,645180,-1061.412768,"left"
32260,645200,-1059.318696,"left"
32261,645220,-1056.01548,"left"
32262,645240,-1050.925872,"left"
32263,645260,-1045.761744,"left"
32264,645280,-1039.935488,"left"
32265,645300,-1035.236504,"left"
32266,645320,-1031.738232,"left"
32267,645340,-1031.176736,"left"
32268,645360,-1031.928544,"left"
32269,645380,-1035.57376,"left"
32270,645400,-1040.339224,"left"
32271,645420,-1046.171736,"left"
32272,645440,-1051.326592,"left"
32273,645460,-1056.293456,"left"
32274,645480,-1059.505184,"left"
32275,645500,-1061.593096,"left"
32276,645520,-1062.572232,"left"
32277,645540,-1063.03248,"left"
32278,645560,-1063.00376,"left"
32279,645580,-1063.02832,"left"
32280,645600,-1063.08096,"left"
32281,645620,-1063.1316,"left"
32282,645640,-1063.19504,"left"
32283,645660,-1063.19032,"left"
32284,645680,-1063.1052,"left"
32285,645700,-1062.89552,"left"
32286,645720,-1062.58944,"left"
32287,645740,-1062.17072,"left"
32288,645760,-1061.79744,"left"
32289,645780,-1061.43808,"left"
32290,645800,-1060.66372,"left"
32291,645820,-1059.46404,"left"
32292,645840,-1057.83448,"left"
32293,645860,-1055.65808,"left"
32294,645880,-1052.9918,"left"
32295,645900,-1051.33888,"left"
32296,645920,-1050.71164,"left"
32297,645940,-1051.13816,"left"
32298,645960,-1052.70804,"left"
32299,645980,-1055.44128,"left"
32300,646000,-1057.79544,"left"
32301,646020,-1059.77372,"left"
32302,646040,-1061.34684,"left"
32303,646060,-1062.39272,"left"
32304,646080,-1062.84144,"left"
32305,646100,-1063.188,"left"
32306,646120,-1063.4176,"left"
32307,646140,-1062.975712,"left"
32308,646160,-1061.944736,"left"
32309,646180,-1060.331312,"left"
32310,646200,-1058.13032,"left"
32311,646220,-1055.26656,"left"
32312,646240,-1053.380976,"left"
32313,646260,-1052.348528,"left"
32314,646280,-1052.169456,"left"
32315,646300,-1052.80864,"left"
32316,646320,-1054.49144,"left"
32317,646340,-1055.544272,"left"
32318,646360,-1056.291616,"left"
32319,646380,-1056.697152,"left"
32320,646400,-1056.9644,"left"
32321,646420,-1056.7816,"left"
32322,646440,-1056.352752,"left"
32323,646460,-1055.356416,"left"
32324,646480,-1054.023952,"left"
32325,646500,-1052.13384,"left"
32326,646520,-1050.03264,"left"
32327,646540,-1049.133936,"left"
32328,646560,-1049.512528,"left"
32329,646580,-1050.875376,"left"
32330,646600,-1053.30584,"left"
32331,646620,-1056.52504,"left"
32332,646640,-1058.950992,"left"
32333,646660,-1060.639376,"left"
32334,646680,-1061.722992,"left"
