"frame","time_ms","z","hand"
1185,23700,-1343.01912,"left"
1186,23720,-1343.10792,"left"
1187,23740,-1343.24664,"left"
1188,23760,-1343.4156,"left"
1189,23780,-1343.61168,"left"
1190,23800,-1343.83808,"left"
1191,23820,-1344.0852,"left"
1192,23840,-1344.35272,"left"
1193,23860,-1344.60608,"left"
1194,23880,-1344.8548,"left"
1195,23900,-1345.06656,"left"
1196,23920,-1345.26936,"left"
1197,23940,-1345.42352,"left"
1198,23960,-1345.59152,"left"
1199,23980,-1345.7268,"left"
1200,24000,-1345.8764,"left"
1201,24020,-1345.99504,"left"
1202,24040,-1346.11936,"left"
1203,24060,-1346.17336,"left"
1204,24080,-1346.21832,"left"
1205,24100,-1346.20152,"left"
1206,24120,-1346.15664,"left"
1207,24140,-1346.06312,"left"
1208,24160,-1345.99424,"left"
1209,24180,-1345.92048,"left"
1210,24200,-1345.87968,"left"
1211,24220,-1345.85784,"left"
1212,24240,-1345.88024,"left"
1213,24260,-1345.89672,"left"
1214,24280,-1345.89216,"left"
1215,24300,-1345.8444,"left"
1216,24320,-1345.76608,"left"
1217,24340,-1345.63728,"left"
1218,24360,-1345.4824,"left"
1219,24380,-1345.31592,"left"
1220,24400,-1345.15256,"left"
1221,24420,-1344.98,"left"
1222,24440,-1344.80136,"left"
1223,24460,-1344.61512,"left"
1224,24480,-1344.42688,"left"
1225,24500,-1344.25392,"left"
1226,24520,-1344.12568,"left"
1227,24540,-1344.08504,"left"
1228,24560,-1344.14096,"left"
1229,24580,-1344.34472,"left"
1230,24600,-1344.7116,"left"
1231,24620,-1345.2396,"left"
1232,24640,-1345.8796,"left"
1233,24660,-1346.63904,"left"
1234,24680,-1347.42072,"left"
1235,24700,-1348.14928,"left"
1236,24720,-1348.76936,"left"
1237,24740,-1349.2592,"left"
1238,24760,-1349.55824,"left"
1239,24780,-1349.67712,"left"
1240,24800,-1349.5948,"left"
1241,24820,-1349.31088,"left"
1242,24840,-1348.84768,"left"
1243,24860,-1348.24456,"left"
1244,24880,-1347.5864,"left"
1245,24900,-1347.02584,"left"
1246,24920,-1346.65744,"left"
1247,24940,-1346.52312,"left"
1248,24960,-1346.61976,"left"
1249,24980,-1346.88064,"left"
1250,25000,-1347.18856,"left"
1251,25020,-1347.46584,"left"
1252,25040,-1347.6664,"left"
1253,25060,-1347.8312,"left"
1254,25080,-1347.97792,"left"
1255,25100,-1348.13128,"left"
1256,25120,-1348.31376,"left"
1257,25140,-1348.5324,"left"
1258,25160,-1348.72888,"left"
1259,25180,-1348.8852,"left"
1260,25200,-1348.99328,"left"
1261,25220,-1349.05472,"left"
1262,25240,-1349.09808,"left"
1263,25260,-1349.15728,"left"
1264,25280,-1349.26136,"left"
1265,25300,-1349.44008,"left"
1266,25320,-1349.65888,"left"
1267,25340,-1349.878,"left"
1268,25360,-1350.0672,"left"
1269,25380,-1350.20456,"left"
1270,25400,-1350.25816,"left"
1271,25420,-1350.28128,"left"
1272,25440,-1350.2948,"left"
1273,25460,-1350.3144,"left"
1274,25480,-1350.34864,"left"
1275,25500,-1350.37856,"left"
1276,25520,-1350.35976,"left"
1277,25540,-1350.27472,"left"
1278,25560,-1350.13192,"left"
1279,25580,-1349.91856,"left"
1280,25600,-1349.6984,"left"
1281,25620,-1349.50512,"left"
1282,25640,-1349.37304,"left"
1283,25660,-1349.30816,"left"
1284,25680,-1349.33408,"left"
1285,25700,-1349.4116,"left"
1286,25720,-1349.52088,"left"
1287,25740,-1349.62192,"left"
1288,25760,-1349.68288,"left"
1289,25780,-1349.68968,"left"
1290,25800,-1349.63752,"left"
1291,25820,-1349.52992,"left"
1292,25840,-1349.38896,"left"
1293,25860,-1349.23944,"left"
1294,25880,-1349.076,"left"
1295,25900,-1348.92816,"left"
1296,25920,-1348.8064,"left"
1297,25940,-1348.72544,"left"
1298,25960,-1348.68664,"left"
1299,25980,-1348.71344,"left"
1300,26000,-1348.77776,"left"
1301,26020,-1348.86528,"left"
1302,26040,-1348.94576,"left"
1303,26060,-1349.00792,"left"
1304,26080,-1349.0164,"left"
1305,26100,-1348.97784,"left"
1306,26120,-1348.89736,"left"
1307,26140,-1348.79192,"left"
1308,26160,-1348.6636,"left"
1309,26180,-1348.55768,"left"
1310,26200,-1348.46664,"left"
1311,26220,-1348.39952,"left"
1312,26240,-1348.35232,"left"
1313,26260,-1348.33736,"left"
1314,26280,-1348.31632,"left"
1315,26300,-1348.32584,"left"
1316,26320,-1348.35464,"left"
1317,26340,-1348.4032,"left"
1318,26360,-1348.45744,"left"
1319,26380,-1348.52936,"left"
1320,26400,-1348.57904,"left"
1321,26420,-1348.60896,"left"
1322,26440,-1348.61888,"left"
1323,26460,-1348.6196,"left"
1324,26480,-1348.61296,"left"
1325,26500,-1348.61288,"left"
1326,26520,-1348.62064,"left"
1327,26540,-1348.63648,"left"
1328,26560,-1348.6408,"left"
1329,26580,-1348.63376,"left"
1330,26600,-1348.6168,"left"
1331,26620,-1348.59176,"left"
1332,26640,-1348.5512,"left"
1333,26660,-1348.51792,"left"
1334,26680,-1348.49032,"left"
1335,26700,-1348.45784,"left"
1336,26720,-1348.40896,"left"
1337,26740,-1348.35928,"left"
1338,26760,-1348.29096,"left"
