"frame","time_ms","z","hand"
25958,519160,-1368.9844,"left"
25959,519180,-1367.9936,"left"
25960,519200,-1366.96136,"left"
25961,519220,-1366.0692,"left"
25962,519240,-1365.3932,"left"
25963,519260,-1364.96112,"left"
25964,519280,-1364.72616,"left"
25965,519300,-1364.62984,"left"
25966,519320,-1364.69144,"left"
25967,519340,-1364.89336,"left"
25968,519360,-1365.3424,"left"
25969,519380,-1365.90736,"left"
25970,519400,-1366.58016,"left"
25971,519420,-1367.18016,"left"
25972,519440,-1367.6244,"left"
25973,519460,-1367.61696,"left"
25974,519480,-1367.29864,"left"
25975,519500,-1366.67736,"left"
25976,519520,-1365.88664,"left"
25977,519540,-1365.03624,"left"
25978,519560,-1364.36512,"left"
25979,519580,-1363.82632,"left"
25980,519600,-1363.37464,"left"
25981,519620,-1362.94288,"left"
25982,519640,-1362.44816,"left"
25983,519660,-1361.86944,"left"
25984,519680,-1361.19736,"left"
25985,519700,-1360.4956,"left"
25986,519720,-1359.85008,"left"
25987,519740,-1359.27944,"left"
25988,519760,-1358.69008,"left"
25989,519780,-1358.06312,"left"
25990,519800,-1357.40984,"left"
25991,519820,-1356.70952,"left"
25992,519840,-1356.03712,"left"
25993,519860,-1355.50568,"left"
25994,519880,-1355.20024,"left"
25995,519900,-1355.09256,"left"
25996,519920,-1355.14608,"left"
25997,519940,-1355.29568,"left"
25998,519960,-1355.46544,"left"
25999,519980,-1355.59592,"left"
26000,520000,-1355.69408,"left"
26001,520020,-1355.75024,"left"
26002,520040,-1355.78192,"left"
26003,520060,-1355.838,"left"
26004,520080,-1355.97152,"left"
26005,520100,-1356.26248,"left"
26006,520120,-1356.80088,"left"
26007,520140,-1357.68064,"left"
26008,520160,-1358.93104,"left"
26009,520180,-1360.48992,"left"
26010,520200,-1362.15616,"left"
26011,520220,-1363.77872,"left"
26012,520240,-1365.0508,"left"
26013,520260,-1365.7676,"left"
26014,520280,-1365.83104,"left"
26015,520300,-1365.40864,"left"
26016,520320,-1364.58224,"left"
26017,520340,-1363.656,"left"
26018,520360,-1362.86,"left"
26019,520380,-1362.35344,"left"
26020,520400,-1361.96832,"left"
26021,520420,-1361.73784,"left"
26022,520440,-1361.56528,"left"
26023,520460,-1361.34368,"left"
26024,520480,-1361.05912,"left"
26025,520500,-1360.9036,"left"
26026,520520,-1360.8268,"left"
26027,520540,-1360.81264,"left"
26028,520560,-1360.87112,"left"
26029,520580,-1360.9156,"left"
26030,520600,-1360.86728,"left"
26031,520620,-1360.73704,"left"
26032,520640,-1360.5464,"left"
26033,520660,-1360.34424,"left"
26034,520680,-1360.22832,"left"
26035,520700,-1360.18984,"left"
26036,520720,-1360.25816,"left"
26037,520740,-1360.38144,"left"
26038,520760,-1360.5192,"left"
26039,520780,-1360.5996,"left"
26040,520800,-1360.6636,"left"
26041,520820,-1360.67592,"left"
26042,520840,-1360.73512,"left"
26043,520860,-1360.81632,"left"
26044,520880,-1360.94384,"left"
26045,520900,-1361.05248,"left"
26046,520920,-1361.15128,"left"
26047,520940,-1361.2032,"left"
26048,520960,-1361.29288,"left"
26049,520980,-1361.49552,"left"
26050,521000,-1361.89696,"left"
26051,521020,-1362.48936,"left"
26052,521040,-1363.21672,"left"
26053,521060,-1364.00496,"left"
26054,521080,-1364.68632,"left"
26055,521100,-1365.15952,"left"
26056,521120,-1365.4248,"left"
26057,521140,-1365.49056,"left"
26058,521160,-1365.31952,"left"
26059,521180,-1365.02232,"left"
26060,521200,-1364.62,"left"
26061,521220,-1364.1104,"left"
26062,521240,-1363.56,"left"
26063,521260,-1363.10408,"left"
26064,521280,-1362.75176,"left"
26065,521300,-1362.604,"left"
26066,521320,-1362.71104,"left"
26067,521340,-1363.03576,"left"
26068,521360,-1363.42192,"left"
26069,521380,-1363.81888,"left"
26070,521400,-1364.06232,"left"
26071,521420,-1363.99944,"left"
26072,521440,-1363.53544,"left"
26073,521460,-1362.73544,"left"
26074,521480,-1361.54728,"left"
26075,521500,-1360.14704,"left"
26076,521520,-1358.80936,"left"
26077,521540,-1357.79904,"left"
26078,521560,-1357.222,"left"
26079,521580,-1357.29592,"left"
26080,521600,-1357.926,"left"
26081,521620,-1358.9028,"left"
26082,521640,-1359.9708,"left"
26083,521660,-1360.99688,"left"
26084,521680,-1361.79176,"left"
26085,521700,-1362.31928,"left"
26086,521720,-1362.57384,"left"
26087,521740,-1362.58488,"left"
26088,521760,-1362.29088,"left"
26089,521780,-1361.67504,"left"
26090,521800,-1360.74568,"left"
26091,521820,-1359.61928,"left"
26092,521840,-1358.45432,"left"
26093,521860,-1357.57128,"left"
26094,521880,-1357.20224,"left"
26095,521900,-1357.67824,"left"
26096,521920,-1359.05576,"left"
26097,521940,-1361.3448,"left"
26098,521960,-1364.29448,"left"
26099,521980,-1367.72896,"left"
26100,522000,-1371.12632,"left"
26101,522020,-1374.22952,"left"
26102,522040,-1376.7212,"left"
26103,522060,-1378.54536,"left"
26104,522080,-1379.5716,"left"
26105,522100,-1380.03968,"left"
26106,522120,-1380.06488,"left"
26107,522140,-1379.93296,"left"
26108,522160,-1379.68576,"left"
26109,522180,-1379.5156,"left"
26110,522200,-1379.3576,"left"
