"frame","time_ms","z","hand"
15445,308900,-311.038336,"left"
15446,308920,-310.99684,"left"
15447,308940,-310.959104,"left"
15448,308960,-310.932848,"left"
15449,308980,-310.90252,"left"
15450,309000,-310.86764,"left"
15451,309020,-310.841832,"left"
15452,309040,-310.821432,"left"
15453,309060,-310.801672,"left"
15454,309080,-310.789848,"left"
15455,309100,-310.773168,"left"
15456,309120,-310.744464,"left"
15457,309140,-310.697648,"left"
15458,309160,-310.625872,"left"
15459,309180,-310.509272,"left"
15460,309200,-310.3644,"left"
15461,309220,-310.189192,"left"
15462,309240,-310.004792,"left"
15463,309260,-309.841592,"left"
15464,309280,-309.744584,"left"
15465,309300,-309.730288,"left"
15466,309320,-309.810976,"left"
15467,309340,-309.977224,"left"
15468,309360,-310.18804,"left"
15469,309380,-310.390776,"left"
15470,309400,-310.549072,"left"
15471,309420,-310.637328,"left"
15472,309440,-310.644672,"left"
15473,309460,-310.608464,"left"
15474,309480,-310.5722,"left"
15475,309500,-310.552728,"left"
15476,309520,-310.595552,"left"
15477,309540,-310.709624,"left"
15478,309560,-310.870856,"left"
15479,309580,-311.039,"left"
15480,309600,-311.208008,"left"
15481,309620,-311.317136,"left"
15482,309640,-311.372008,"left"
15483,309660,-311.39548,"left"
15484,309680,-311.443616,"left"
15485,309700,-311.536208,"left"
15486,309720,-311.732032,"left"
15487,309740,-312.03384,"left"
15488,309760,-312.416136,"left"
15489,309780,-312.837512,"left"
15490,309800,-313.30044,"left"
15491,309820,-313.777176,"left"
15492,309840,-314.239856,"left"
15493,309860,-314.690912,"left"
15494,309880,-315.095064,"left"
15495,309900,-315.373864,"left"
15496,309920,-315.496496,"left"
15497,309940,-315.438712,"left"
15498,309960,-315.112792,"left"
15499,309980,-314.468984,"left"
15500,310000,-313.412632,"left"
15501,310020,-311.7548,"left"
15502,310040,-309.317296,"left"
15503,310060,-305.966952,"left"
15504,310080,-301.547928,"left"
15505,310100,-296.224392,"left"
15506,310120,-290.319288,"left"
15507,310140,-284.368408,"left"
15508,310160,-279.287424,"left"
15509,310180,-276.73556,"left"
15510,310200,-278.381768,"left"
15511,310220,-286.860552,"left"
15512,310240,-306.134504,"left"
15513,310260,-339.371432,"left"
15514,310280,-388.117864,"left"
15515,310300,-452.808888,"left"
15516,310320,-530.654776,"left"
15517,310340,-613.765208,"left"
15518,310360,-694.685944,"left"
15519,310380,-766.279144,"left"
15520,310400,-821.893712,"left"
15521,310420,-858.586416,"left"
15522,310440,-877.201848,"left"
15523,310460,-877.963712,"left"
15524,310480,-862.050864,"left"
15525,310500,-831.855944,"left"
15526,310520,-786.45156,"left"
15527,310540,-727.553112,"left"
15528,310560,-658.736392,"left"
15529,310580,-584.292976,"left"
15530,310600,-508.053712,"left"
15531,310620,-437.688576,"left"
15532,310640,-377.223824,"left"
15533,310660,-329.063112,"left"
15534,310680,-293.997544,"left"
15535,310700,-272.0374,"left"
15536,310720,-260.390056,"left"
15537,310740,-256.467784,"left"
15538,310760,-257.888696,"left"
15539,310780,-262.603768,"left"
15540,310800,-268.767688,"left"
15541,310820,-275.215464,"left"
15542,310840,-281.375408,"left"
15543,310860,-286.74104,"left"
15544,310880,-291.035664,"left"
15545,310900,-294.244152,"left"
15546,310920,-296.426608,"left"
15547,310940,-297.667184,"left"
15548,310960,-298.248096,"left"
15549,310980,-298.411296,"left"
15550,311000,-298.28256,"left"
15551,311020,-298.012152,"left"
15552,311040,-297.7282,"left"
15553,311060,-297.464192,"left"
15554,311080,-297.221232,"left"
15555,311100,-297.096664,"left"
15556,311120,-297.128344,"left"
15557,311140,-297.321624,"left"
15558,311160,-297.6312,"left"
15559,311180,-298.104416,"left"
15560,311200,-298.689632,"left"
15561,311220,-299.364424,"left"
15562,311240,-300.089768,"left"
15563,311260,-300.899632,"left"
15564,311280,-301.703184,"left"
15565,311300,-302.48976,"left"
15566,311320,-303.223936,"left"
15567,311340,-303.88924,"left"
15568,311360,-304.427816,"left"
15569,311380,-304.87064,"left"
15570,311400,-305.189512,"left"
15571,311420,-305.384488,"left"
15572,311440,-305.483112,"left"
15573,311460,-305.52632,"left"
15574,311480,-305.538824,"left"
15575,311500,-305.584224,"left"
15576,311520,-305.684488,"left"
15577,311540,-305.834488,"left"
15578,311560,-306.028528,"left"
15579,311580,-306.236952,"left"
15580,311600,-306.375848,"left"
15581,311620,-306.425592,"left"
15582,311640,-306.375784,"left"
15583,311660,-306.214352,"left"
15584,311680,-305.955,"left"
15585,311700,-305.670584,"left"
15586,311720,-305.386224,"left"
15587,311740,-305.090184,"left"
15588,311760,-304.800368,"left"
15589,311780,-304.5204,"left"
15590,311800,-304.2146,"left"
15591,311820,-303.879904,"left"
15592,311840,-303.555504,"left"
15593,311860,-303.22952,"left"
15594,311880,-302.907232,"left"
15595,311900,-302.608912,"left"
15596,311920,-302.308584,"left"
15597,311940,-301.995568,"left"
15598,311960,-301.687448,"left"
15599,311980,-301.386096,"left"
15600,312000,-301.110176,"left"
15601,312020,-300.914504,"left"
15602,312040,-300.817776,"left"
15603,312060,-300.828264,"left"
15604,312080,-300.938312,"left"
15605,312100,-301.104192,"left"
