"frame","time_ms","z","hand"
1696,33920,-1348.95344,"left"
1697,33940,-1349.08728,"left"
1698,33960,-1349.25624,"left"
1699,33980,-1349.47272,"left"
1700,34000,-1349.68632,"left"
1701,34020,-1349.88784,"left"
1702,34040,-1350.0592,"left"
1703,34060,-1350.18304,"left"
1704,34080,-1350.2356,"left"
1705,34100,-1350.22696,"left"
1706,34120,-1350.1556,"left"
1707,34140,-1350.04936,"left"
1708,34160,-1349.91936,"left"
1709,34180,-1349.79152,"left"
1710,34200,-1349.69344,"left"
1711,34220,-1349.65176,"left"
1712,34240,-1349.66584,"left"
1713,34260,-1349.73224,"left"
1714,34280,-1349.85112,"left"
1715,34300,-1349.99552,"left"
1716,34320,-1350.13792,"left"
1717,34340,-1350.2588,"left"
1718,34360,-1350.35984,"left"
1719,34380,-1350.42184,"left"
1720,34400,-1350.45344,"left"
1721,34420,-1350.46072,"left"
1722,34440,-1350.4464,"left"
1723,34460,-1350.40064,"left"
1724,34480,-1350.33448,"left"
1725,34500,-1350.24696,"left"
1726,34520,-1350.15048,"left"
1727,34540,-1350.06944,"left"
1728,34560,-1350.03152,"left"
1729,34580,-1350.03472,"left"
1730,34600,-1350.06896,"left"
1731,34620,-1350.11296,"left"
1732,34640,-1350.13864,"left"
1733,34660,-1350.10952,"left"
1734,34680,-1350.02272,"left"
1735,34700,-1349.90456,"left"
1736,34720,-1349.7804,"left"
1737,34740,-1349.65856,"left"
1738,34760,-1349.57256,"left"
1739,34780,-1349.52672,"left"
1740,34800,-1349.5012,"left"
1741,34820,-1349.4592,"left"
1742,34840,-1349.40784,"left"
1743,34860,-1349.31304,"left"
1744,34880,-1349.17736,"left"
1745,34900,-1348.9976,"left"
1746,34920,-1348.81696,"left"
1747,34940,-1348.62408,"left"
1748,34960,-1348.43416,"left"
1749,34980,-1348.22872,"left"
1750,35000,-1348.01688,"left"
1751,35020,-1347.78032,"left"
1752,35040,-1347.51512,"left"
1753,35060,-1347.24816,"left"
1754,35080,-1346.9976,"left"
1755,35100,-1346.78,"left"
1756,35120,-1346.60888,"left"
1757,35140,-1346.53328,"left"
1758,35160,-1346.54736,"left"
1759,35180,-1346.70264,"left"
1760,35200,-1346.99456,"left"
1761,35220,-1347.41776,"left"
1762,35240,-1347.95136,"left"
1763,35260,-1348.55944,"left"
1764,35280,-1349.14208,"left"
1765,35300,-1349.65576,"left"
1766,35320,-1350.06256,"left"
1767,35340,-1350.29088,"left"
1768,35360,-1350.35768,"left"
1769,35380,-1350.316,"left"
1770,35400,-1350.20848,"left"
1771,35420,-1350.05968,"left"
1772,35440,-1349.93144,"left"
1773,35460,-1349.80816,"left"
1774,35480,-1349.67296,"left"
1775,35500,-1349.49104,"left"
1776,35520,-1349.28064,"left"
1777,35540,-1349.06464,"left"
1778,35560,-1348.88672,"left"
1779,35580,-1348.77224,"left"
1780,35600,-1348.77968,"left"
1781,35620,-1348.8964,"left"
1782,35640,-1349.0828,"left"
1783,35660,-1349.30264,"left"
1784,35680,-1349.54832,"left"
1785,35700,-1349.78736,"left"
1786,35720,-1350.04672,"left"
1787,35740,-1350.32904,"left"
1788,35760,-1350.644,"left"
1789,35780,-1350.94744,"left"
1790,35800,-1351.19576,"left"
1791,35820,-1351.3028,"left"
1792,35840,-1351.27424,"left"
1793,35860,-1351.10744,"left"
1794,35880,-1350.88688,"left"
1795,35900,-1350.6808,"left"
1796,35920,-1350.58456,"left"
1797,35940,-1350.62888,"left"
1798,35960,-1350.85584,"left"
1799,35980,-1351.18792,"left"
1800,36000,-1351.61496,"left"
1801,36020,-1352.10008,"left"
1802,36040,-1352.58416,"left"
1803,36060,-1352.97232,"left"
1804,36080,-1353.284,"left"
1805,36100,-1353.44576,"left"
1806,36120,-1353.42736,"left"
1807,36140,-1353.23952,"left"
1808,36160,-1352.9352,"left"
1809,36180,-1352.53344,"left"
1810,36200,-1352.12696,"left"
1811,36220,-1351.77272,"left"
1812,36240,-1351.51888,"left"
1813,36260,-1351.406,"left"
1814,36280,-1351.43568,"left"
1815,36300,-1351.56216,"left"
1816,36320,-1351.76888,"left"
1817,36340,-1352.02728,"left"
1818,36360,-1352.28152,"left"
1819,36380,-1352.50144,"left"
1820,36400,-1352.69464,"left"
1821,36420,-1352.824,"left"
1822,36440,-1352.87,"left"
1823,36460,-1352.84144,"left"
1824,36480,-1352.77616,"left"
1825,36500,-1352.6656,"left"
1826,36520,-1352.546,"left"
1827,36540,-1352.43576,"left"
1828,36560,-1352.3628,"left"
1829,36580,-1352.29736,"left"
1830,36600,-1352.26784,"left"
1831,36620,-1352.26232,"left"
1832,36640,-1352.30784,"left"
1833,36660,-1352.38392,"left"
1834,36680,-1352.5036,"left"
1835,36700,-1352.66184,"left"
1836,36720,-1352.86304,"left"
1837,36740,-1353.06816,"left"
1838,36760,-1353.27136,"left"
1839,36780,-1353.47432,"left"
1840,36800,-1353.62496,"left"
1841,36820,-1353.74088,"left"
1842,36840,-1353.82432,"left"
1843,36860,-1353.88264,"left"
1844,36880,-1353.9124,"left"
1845,36900,-1353.95776,"left"
1846,36920,-1353.96512,"left"
1847,36940,-1353.9488,"left"
1848,36960,-1353.89808,"left"
1849,36980,-1353.79944,"left"
1850,37000,-1353.66472,"left"
