"frame","time_ms","z","hand"
12179,243580,-1365.28848,"left"
12180,243600,-1365.01288,"left"
12181,243620,-1364.92344,"left"
12182,243640,-1364.9916,"left"
12183,243660,-1365.31344,"left"
12184,243680,-1365.79584,"left"
12185,243700,-1366.35424,"left"
12186,243720,-1366.86528,"left"
12187,243740,-1367.30352,"left"
12188,243760,-1367.536,"left"
12189,243780,-1367.60264,"left"
12190,243800,-1367.51008,"left"
12191,243820,-1367.3548,"left"
12192,243840,-1367.1312,"left"
12193,243860,-1366.954,"left"
12194,243880,-1366.78024,"left"
12195,243900,-1366.70944,"left"
12196,243920,-1366.68344,"left"
12197,243940,-1366.7876,"left"
12198,243960,-1366.97112,"left"
12199,243980,-1367.3096,"left"
12200,244000,-1367.6996,"left"
12201,244020,-1368.1596,"left"
12202,244040,-1368.58128,"left"
12203,244060,-1368.9312,"left"
12204,244080,-1369.14792,"left"
12205,244100,-1369.25144,"left"
12206,244120,-1369.2488,"left"
12207,244140,-1369.19104,"left"
12208,244160,-1369.13776,"left"
12209,244180,-1369.10288,"left"
12210,244200,-1369.04984,"left"
12211,244220,-1368.96592,"left"
12212,244240,-1368.84024,"left"
12213,244260,-1368.65384,"left"
12214,244280,-1368.39592,"left"
12215,244300,-1368.21624,"left"
12216,244320,-1368.11048,"left"
12217,244340,-1368.07152,"left"
12218,244360,-1368.0556,"left"
12219,244380,-1368.08416,"left"
12220,244400,-1368.01888,"left"
12221,244420,-1367.87512,"left"
12222,244440,-1367.672,"left"
12223,244460,-1367.48936,"left"
12224,244480,-1367.3252,"left"
12225,244500,-1367.228,"left"
12226,244520,-1367.2088,"left"
12227,244540,-1367.2896,"left"
12228,244560,-1367.4264,"left"
12229,244580,-1367.62464,"left"
12230,244600,-1367.86424,"left"
12231,244620,-1368.11008,"left"
12232,244640,-1368.29304,"left"
12233,244660,-1368.41496,"left"
12234,244680,-1368.45432,"left"
12235,244700,-1368.4228,"left"
12236,244720,-1368.36648,"left"
12237,244740,-1368.38408,"left"
12238,244760,-1368.44872,"left"
12239,244780,-1368.5716,"left"
12240,244800,-1368.73024,"left"
12241,244820,-1368.85072,"left"
12242,244840,-1368.7852,"left"
12243,244860,-1368.56856,"left"
12244,244880,-1368.12584,"left"
12245,244900,-1367.47952,"left"
12246,244920,-1366.71304,"left"
12247,244940,-1365.94992,"left"
12248,244960,-1365.19656,"left"
12249,244980,-1364.6388,"left"
12250,245000,-1364.28728,"left"
12251,245020,-1364.10048,"left"
12252,245040,-1364.09992,"left"
12253,245060,-1364.26544,"left"
12254,245080,-1364.46888,"left"
12255,245100,-1364.73648,"left"
12256,245120,-1365.06112,"left"
12257,245140,-1365.3492,"left"
12258,245160,-1365.6296,"left"
12259,245180,-1365.90976,"left"
12260,245200,-1366.13056,"left"
12261,245220,-1366.31672,"left"
12262,245240,-1366.49456,"left"
12263,245260,-1366.6288,"left"
12264,245280,-1366.69872,"left"
12265,245300,-1366.70144,"left"
12266,245320,-1366.62016,"left"
12267,245340,-1366.48944,"left"
12268,245360,-1366.30944,"left"
12269,245380,-1366.15272,"left"
12270,245400,-1366.05848,"left"
12271,245420,-1366.04568,"left"
12272,245440,-1366.05888,"left"
12273,245460,-1366.06872,"left"
12274,245480,-1365.98056,"left"
12275,245500,-1365.73464,"left"
12276,245520,-1365.24552,"left"
12277,245540,-1364.52104,"left"
12278,245560,-1363.66472,"left"
12279,245580,-1362.69544,"left"
12280,245600,-1361.73152,"left"
12281,245620,-1360.91184,"left"
12282,245640,-1360.32344,"left"
12283,245660,-1359.87896,"left"
12284,245680,-1359.7408,"left"
12285,245700,-1359.81864,"left"
12286,245720,-1360.07232,"left"
12287,245740,-1360.44432,"left"
12288,245760,-1361.04704,"left"
12289,245780,-1361.68112,"left"
12290,245800,-1362.38208,"left"
12291,245820,-1363.08872,"left"
12292,245840,-1363.80336,"left"
12293,245860,-1364.39296,"left"
12294,245880,-1364.97024,"left"
12295,245900,-1365.4772,"left"
12296,245920,-1365.95072,"left"
12297,245940,-1366.3544,"left"
12298,245960,-1366.72472,"left"
12299,245980,-1367.00384,"left"
12300,246000,-1367.22272,"left"
12301,246020,-1367.3904,"left"
12302,246040,-1367.52656,"left"
12303,246060,-1367.59416,"left"
12304,246080,-1367.56744,"left"
12305,246100,-1367.51048,"left"
12306,246120,-1367.36152,"left"
12307,246140,-1367.15048,"left"
12308,246160,-1367.01184,"left"
12309,246180,-1367.03672,"left"
12310,246200,-1367.15312,"left"
12311,246220,-1367.4776,"left"
12312,246240,-1368.0004,"left"
12313,246260,-1368.54608,"left"
12314,246280,-1369.03544,"left"
12315,246300,-1369.40392,"left"
12316,246320,-1369.55552,"left"
12317,246340,-1369.45688,"left"
12318,246360,-1369.27432,"left"
12319,246380,-1369.02792,"left"
12320,246400,-1368.90584,"left"
12321,246420,-1368.91768,"left"
12322,246440,-1369.06952,"left"
12323,246460,-1369.22696,"left"
12324,246480,-1369.3996,"left"
12325,246500,-1369.41328,"left"
12326,246520,-1369.2768,"left"
12327,246540,-1369.04384,"left"
12328,246560,-1368.79864,"left"
12329,246580,-1368.5508,"left"
12330,246600,-1368.3964,"left"
12331,246620,-1368.35744,"left"
