"frame","time_ms","z","hand"
11038,220760,-1365.762,"left"
11039,220780,-1365.77072,"left"
11040,220800,-1365.7148,"left"
11041,220820,-1365.59224,"left"
11042,220840,-1365.4348,"left"
11043,220860,-1365.26688,"left"
11044,220880,-1365.1044,"left"
11045,220900,-1364.97312,"left"
11046,220920,-1364.89672,"left"
11047,220940,-1364.87192,"left"
11048,220960,-1364.89568,"left"
11049,220980,-1364.97024,"left"
11050,221000,-1365.07368,"left"
11051,221020,-1365.18672,"left"
11052,221040,-1365.29528,"left"
11053,221060,-1365.38824,"left"
11054,221080,-1365.44936,"left"
11055,221100,-1365.48592,"left"
11056,221120,-1365.50256,"left"
11057,221140,-1365.50664,"left"
11058,221160,-1365.50416,"left"
11059,221180,-1365.50248,"left"
11060,221200,-1365.49432,"left"
11061,221220,-1365.48088,"left"
11062,221240,-1365.44584,"left"
11063,221260,-1365.374,"left"
11064,221280,-1365.24968,"left"
11065,221300,-1365.07792,"left"
11066,221320,-1364.84224,"left"
11067,221340,-1364.57512,"left"
11068,221360,-1364.30704,"left"
11069,221380,-1364.06928,"left"
11070,221400,-1363.87064,"left"
11071,221420,-1363.74224,"left"
11072,221440,-1363.66336,"left"
11073,221460,-1363.61648,"left"
11074,221480,-1363.58608,"left"
11075,221500,-1363.56816,"left"
11076,221520,-1363.55248,"left"
11077,221540,-1363.5488,"left"
11078,221560,-1363.5584,"left"
11079,221580,-1363.58,"left"
11080,221600,-1363.60592,"left"
11081,221620,-1363.62056,"left"
11082,221640,-1363.6168,"left"
11083,221660,-1363.60048,"left"
11084,221680,-1363.5732,"left"
11085,221700,-1363.54512,"left"
11086,221720,-1363.53184,"left"
11087,221740,-1363.54344,"left"
11088,221760,-1363.57112,"left"
11089,221780,-1363.61376,"left"
11090,221800,-1363.66288,"left"
11091,221820,-1363.71352,"left"
11092,221840,-1363.73744,"left"
11093,221860,-1363.73944,"left"
11094,221880,-1363.72064,"left"
11095,221900,-1363.68472,"left"
11096,221920,-1363.63248,"left"
11097,221940,-1363.59488,"left"
11098,221960,-1363.5708,"left"
11099,221980,-1363.5596,"left"
11100,222000,-1363.56176,"left"
11101,222020,-1363.57464,"left"
11102,222040,-1363.59432,"left"
11103,222060,-1363.61976,"left"
11104,222080,-1363.65064,"left"
11105,222100,-1363.69008,"left"
11106,222120,-1363.75008,"left"
11107,222140,-1363.81352,"left"
11108,222160,-1363.88208,"left"
11109,222180,-1363.95824,"left"
11110,222200,-1364.02488,"left"
11111,222220,-1364.05352,"left"
11112,222240,-1364.04896,"left"
11113,222260,-1364.01176,"left"
11114,222280,-1363.94616,"left"
11115,222300,-1363.88,"left"
11116,222320,-1363.83896,"left"
11117,222340,-1363.84176,"left"
11118,222360,-1363.89424,"left"
11119,222380,-1363.9808,"left"
11120,222400,-1364.07096,"left"
11121,222420,-1364.158,"left"
11122,222440,-1364.214,"left"
11123,222460,-1364.21432,"left"
11124,222480,-1364.16224,"left"
11125,222500,-1364.09512,"left"
11126,222520,-1364.01384,"left"
11127,222540,-1363.95424,"left"
11128,222560,-1363.96,"left"
11129,222580,-1364.05984,"left"
11130,222600,-1364.20336,"left"
11131,222620,-1364.40272,"left"
11132,222640,-1364.62208,"left"
11133,222660,-1364.8184,"left"
11134,222680,-1364.95344,"left"
11135,222700,-1365.08472,"left"
11136,222720,-1365.18376,"left"
11137,222740,-1365.2644,"left"
11138,222760,-1365.34384,"left"
11139,222780,-1365.43776,"left"
11140,222800,-1365.50232,"left"
11141,222820,-1365.5444,"left"
11142,222840,-1365.56368,"left"
11143,222860,-1365.5528,"left"
11144,222880,-1365.50448,"left"
11145,222900,-1365.4344,"left"
11146,222920,-1365.38328,"left"
11147,222940,-1365.37928,"left"
11148,222960,-1365.4796,"left"
11149,222980,-1365.75216,"left"
11150,223000,-1366.2408,"left"
11151,223020,-1366.91424,"left"
11152,223040,-1367.73672,"left"
11153,223060,-1368.62536,"left"
11154,223080,-1369.46464,"left"
11155,223100,-1370.152,"left"
11156,223120,-1370.64864,"left"
11157,223140,-1370.9232,"left"
11158,223160,-1370.9776,"left"
11159,223180,-1370.8476,"left"
11160,223200,-1370.60472,"left"
11161,223220,-1370.26632,"left"
11162,223240,-1369.8856,"left"
11163,223260,-1369.49592,"left"
11164,223280,-1369.12072,"left"
11165,223300,-1368.71536,"left"
11166,223320,-1368.33168,"left"
11167,223340,-1367.95456,"left"
11168,223360,-1367.60304,"left"
11169,223380,-1367.28536,"left"
11170,223400,-1367.06176,"left"
11171,223420,-1366.89536,"left"
11172,223440,-1366.79368,"left"
11173,223460,-1366.73176,"left"
11174,223480,-1366.70176,"left"
11175,223500,-1366.67704,"left"
11176,223520,-1366.6644,"left"
11177,223540,-1366.6608,"left"
11178,223560,-1366.66696,"left"
11179,223580,-1366.67632,"left"
11180,223600,-1366.68352,"left"
11181,223620,-1366.68984,"left"
11182,223640,-1366.69208,"left"
11183,223660,-1366.69688,"left"
11184,223680,-1366.7056,"left"
11185,223700,-1366.72112,"left"
11186,223720,-1366.73696,"left"
11187,223740,-1366.75552,"left"
11188,223760,-1366.77464,"left"
11189,223780,-1366.79416,"left"
11190,223800,-1366.81496,"left"
11191,223820,-1366.8316,"left"
11192,223840,-1366.83816,"left"
11193,223860,-1366.8208,"left"
11194,223880,-1366.77296,"left"
11195,223900,-1366.69208,"left"
11196,223920,-1366.59648,"left"
11197,223940,-1366.4936,"left"
