"frame","time_ms","z","hand"
30605,612100,-1003.385152,"left"
30606,612120,-1007.818672,"left"
30607,612140,-1013.100528,"left"
30608,612160,-1019.2832,"left"
30609,612180,-1023.274152,"left"
30610,612200,-1025.907368,"left"
30611,612220,-1024.10896,"left"
30612,612240,-1020.611056,"left"
30613,612260,-1014.681064,"left"
30614,612280,-1008.63328,"left"
30615,612300,-1001.68724,"left"
30616,612320,-995.99616,"left"
30617,612340,-989.769624,"left"
30618,612360,-984.434272,"left"
30619,612380,-979.144904,"left"
30620,612400,-975.265792,"left"
30621,612420,-972.796176,"left"
30622,612440,-971.250376,"left"
30623,612460,-970.014048,"left"
30624,612480,-969.194232,"left"
30625,612500,-968.466432,"left"
30626,612520,-965.960376,"left"
30627,612540,-964.44272,"left"
30628,612560,-963.591376,"left"
30629,612580,-964.018984,"left"
30630,612600,-965.73476,"left"
30631,612620,-970.5252,"left"
30632,612640,-975.069152,"left"
30633,612660,-980.080552,"left"
30634,612680,-984.304328,"left"
30635,612700,-986.434112,"left"
30636,612720,-985.920792,"left"
30637,612740,-984.917056,"left"
30638,612760,-982.721944,"left"
30639,612780,-979.16908,"left"
30640,612800,-975.790232,"left"
30641,612820,-972.52132,"left"
30642,612840,-968.78688,"left"
30643,612860,-964.865296,"left"
30644,612880,-962.21468,"left"
30645,612900,-960.34284,"left"
30646,612920,-959.273296,"left"
30647,612940,-958.905736,"left"
30648,612960,-959.695744,"left"
30649,612980,-961.6438,"left"
30650,613000,-965.299296,"left"
30651,613020,-971.342064,"left"
30652,613040,-980.450064,"left"
30653,613060,-991.67756,"left"
30654,613080,-1002.944376,"left"
30655,613100,-1013.132848,"left"
30656,613120,-1020.278496,"left"
30657,613140,-1022.563344,"left"
30658,613160,-1019.670016,"left"
30659,613180,-1013.673568,"left"
30660,613200,-1004.306928,"left"
30661,613220,-994.13916,"left"
30662,613240,-984.946936,"left"
30663,613260,-978.808552,"left"
30664,613280,-975.021664,"left"
30665,613300,-975.745176,"left"
30666,613320,-978.493256,"left"
30667,613340,-983.270736,"left"
30668,613360,-987.485592,"left"
30669,613380,-991.219192,"left"
30670,613400,-991.862216,"left"
30671,613420,-991.880608,"left"
30672,613440,-989.523192,"left"
30673,613460,-986.711664,"left"
30674,613480,-983.891584,"left"
30675,613500,-983.080208,"left"
30676,613520,-981.653712,"left"
30677,613540,-981.418608,"left"
30678,613560,-981.7132,"left"
30679,613580,-980.897496,"left"
30680,613600,-977.874432,"left"
30681,613620,-974.747256,"left"
30682,613640,-970.797816,"left"
30683,613660,-966.102864,"left"
30684,613680,-962.312,"left"
30685,613700,-960.014448,"left"
30686,613720,-958.41884,"left"
30687,613740,-957.666312,"left"
30688,613760,-957.69572,"left"
30689,613780,-958.082896,"left"
30690,613800,-958.428576,"left"
30691,613820,-959.490496,"left"
30692,613840,-961.80532,"left"
30693,613860,-966.023336,"left"
30694,613880,-972.654472,"left"
30695,613900,-984.625192,"left"
30696,613920,-1002.406376,"left"
30697,613940,-1026.811032,"left"
30698,613960,-1058.4856,"left"
30699,613980,-1097.169984,"left"
30700,614000,-1137.332336,"left"
30701,614020,-1174.651504,"left"
30702,614040,-1205.362904,"left"
30703,614060,-1224.60096,"left"
30704,614080,-1230.01104,"left"
30705,614100,-1222.758,"left"
30706,614120,-1206.77584,"left"
30707,614140,-1183.31536,"left"
30708,614160,-1159.15128,"left"
30709,614180,-1137.604,"left"
30710,614200,-1121.77464,"left"
30711,614220,-1113.31888,"left"
30712,614240,-1116.4624,"left"
30713,614260,-1126.42256,"left"
30714,614280,-1143.30136,"left"
30715,614300,-1167.39528,"left"
30716,614320,-1194.44816,"left"
30717,614340,-1217.82312,"left"
30718,614360,-1239.16736,"left"
30719,614380,-1255.20952,"left"
30720,614400,-1260.46424,"left"
30721,614420,-1254.91784,"left"
30722,614440,-1243.63208,"left"
30723,614460,-1224.68608,"left"
30724,614480,-1199.14224,"left"
30725,614500,-1172.88288,"left"
30726,614520,-1149.47328,"left"
30727,614540,-1127.60408,"left"
30728,614560,-1110.66576,"left"
30729,614580,-1099.34584,"left"
30730,614600,-1090.90672,"left"
30731,614620,-1083.29896,"left"
30732,614640,-1076.48912,"left"
30733,614660,-1069.16048,"left"
30734,614680,-1062.66064,"left"
30735,614700,-1057.716,"left"
30736,614720,-1055.19768,"left"
30737,614740,-1054.4504,"left"
30738,614760,-1055.28592,"left"
30739,614780,-1055.9496,"left"
30740,614800,-1056.35928,"left"
30741,614820,-1055.46488,"left"
30742,614840,-1053.9472,"left"
30743,614860,-1051.75832,"left"
30744,614880,-1049.76088,"left"
30745,614900,-1049.42592,"left"
30746,614920,-1051.4956,"left"
30747,614940,-1055.74896,"left"
30748,614960,-1062.22032,"left"
30749,614980,-1070.49352,"left"
30750,615000,-1075.70168,"left"
30751,615020,-1077.88192,"left"
30752,615040,-1077.29928,"left"
30753,615060,-1073.92128,"left"
30754,615080,-1068.09648,"left"
30755,615100,-1064.54728,"left"
30756,615120,-1062.68056,"left"
30757,615140,-1061.41496,"left"
30758,615160,-1059.799664,"left"
30759,615180,-1056.806672,"left"
30760,615200,-1050.356576,"left"
30761,615220,-1042.115136,"left"
30762,615240,-1032.573384,"left"
30763,615260,-1023.648984,"left"
30764,615280,-1016.631776,"left"
