"frame","time_ms","z","hand"
26776,535520,-1365.06408,"left"
26777,535540,-1364.67992,"left"
26778,535560,-1364.40632,"left"
26779,535580,-1364.27328,"left"
26780,535600,-1364.21344,"left"
26781,535620,-1364.1896,"left"
26782,535640,-1364.1524,"left"
26783,535660,-1364.13752,"left"
26784,535680,-1364.10576,"left"
26785,535700,-1364.0876,"left"
26786,535720,-1364.12704,"left"
26787,535740,-1364.20608,"left"
26788,535760,-1364.2492,"left"
26789,535780,-1364.23768,"left"
26790,535800,-1364.1944,"left"
26791,535820,-1364.02696,"left"
26792,535840,-1363.798,"left"
26793,535860,-1363.54376,"left"
26794,535880,-1363.32808,"left"
26795,535900,-1363.1268,"left"
26796,535920,-1363.04208,"left"
26797,535940,-1363.0404,"left"
26798,535960,-1363.1324,"left"
26799,535980,-1363.27336,"left"
26800,536000,-1363.45224,"left"
26801,536020,-1363.57704,"left"
26802,536040,-1363.63608,"left"
26803,536060,-1363.59304,"left"
26804,536080,-1363.44728,"left"
26805,536100,-1363.20952,"left"
26806,536120,-1362.97272,"left"
26807,536140,-1362.7564,"left"
26808,536160,-1362.62256,"left"
26809,536180,-1362.6084,"left"
26810,536200,-1362.69176,"left"
26811,536220,-1362.78744,"left"
26812,536240,-1362.83776,"left"
26813,536260,-1362.77272,"left"
26814,536280,-1362.51816,"left"
26815,536300,-1362.08928,"left"
26816,536320,-1361.53288,"left"
26817,536340,-1360.92752,"left"
26818,536360,-1360.34448,"left"
26819,536380,-1359.812,"left"
26820,536400,-1359.38136,"left"
26821,536420,-1359.0292,"left"
26822,536440,-1358.73256,"left"
26823,536460,-1358.45672,"left"
26824,536480,-1358.33144,"left"
26825,536500,-1358.31392,"left"
26826,536520,-1358.50088,"left"
26827,536540,-1358.92632,"left"
26828,536560,-1359.61704,"left"
26829,536580,-1360.42664,"left"
26830,536600,-1361.352,"left"
26831,536620,-1362.2652,"left"
26832,536640,-1363.10328,"left"
26833,536660,-1363.81776,"left"
26834,536680,-1364.3848,"left"
26835,536700,-1364.74752,"left"
26836,536720,-1364.92192,"left"
26837,536740,-1364.86352,"left"
26838,536760,-1364.526,"left"
26839,536780,-1364.006,"left"
26840,536800,-1363.41896,"left"
26841,536820,-1362.83624,"left"
26842,536840,-1362.40872,"left"
26843,536860,-1362.23456,"left"
26844,536880,-1362.25808,"left"
26845,536900,-1362.37608,"left"
26846,536920,-1362.4588,"left"
26847,536940,-1362.32912,"left"
26848,536960,-1361.96232,"left"
26849,536980,-1361.39216,"left"
26850,537000,-1360.72696,"left"
26851,537020,-1360.17896,"left"
26852,537040,-1359.94176,"left"
26853,537060,-1360.07344,"left"
26854,537080,-1360.55216,"left"
26855,537100,-1361.28784,"left"
26856,537120,-1362.11128,"left"
26857,537140,-1362.876,"left"
26858,537160,-1363.46192,"left"
26859,537180,-1363.87312,"left"
26860,537200,-1364.09096,"left"
26861,537220,-1364.13016,"left"
26862,537240,-1364.0432,"left"
26863,537260,-1363.85744,"left"
26864,537280,-1363.55656,"left"
26865,537300,-1363.20472,"left"
26866,537320,-1362.79616,"left"
26867,537340,-1362.27144,"left"
26868,537360,-1361.67464,"left"
26869,537380,-1361.02368,"left"
26870,537400,-1360.32824,"left"
26871,537420,-1359.71872,"left"
26872,537440,-1359.27976,"left"
26873,537460,-1358.99608,"left"
26874,537480,-1358.88728,"left"
26875,537500,-1358.89712,"left"
26876,537520,-1358.87448,"left"
26877,537540,-1358.81736,"left"
26878,537560,-1358.7524,"left"
26879,537580,-1358.67832,"left"
26880,537600,-1358.68896,"left"
26881,537620,-1358.892,"left"
26882,537640,-1359.25648,"left"
26883,537660,-1359.72,"left"
26884,537680,-1360.16696,"left"
26885,537700,-1360.41272,"left"
26886,537720,-1360.29976,"left"
26887,537740,-1359.76416,"left"
26888,537760,-1358.84656,"left"
26889,537780,-1357.77216,"left"
26890,537800,-1356.77704,"left"
26891,537820,-1356.10888,"left"
26892,537840,-1355.90472,"left"
26893,537860,-1356.18736,"left"
26894,537880,-1356.78752,"left"
26895,537900,-1357.55384,"left"
26896,537920,-1358.28008,"left"
26897,537940,-1358.85752,"left"
26898,537960,-1359.20976,"left"
26899,537980,-1359.38016,"left"
26900,538000,-1359.38312,"left"
26901,538020,-1359.25976,"left"
26902,538040,-1359.0276,"left"
26903,538060,-1358.76584,"left"
26904,538080,-1358.40704,"left"
26905,538100,-1357.9544,"left"
26906,538120,-1357.46584,"left"
26907,538140,-1356.9968,"left"
26908,538160,-1356.52112,"left"
26909,538180,-1356.1876,"left"
26910,538200,-1356.0672,"left"
26911,538220,-1356.10024,"left"
26912,538240,-1356.24224,"left"
26913,538260,-1356.45264,"left"
26914,538280,-1356.63016,"left"
26915,538300,-1356.66536,"left"
26916,538320,-1356.62088,"left"
26917,538340,-1356.5204,"left"
26918,538360,-1356.46312,"left"
26919,538380,-1356.4664,"left"
26920,538400,-1356.64144,"left"
26921,538420,-1356.93376,"left"
26922,538440,-1357.31912,"left"
26923,538460,-1357.67776,"left"
26924,538480,-1357.98488,"left"
26925,538500,-1358.14592,"left"
26926,538520,-1358.17,"left"
26927,538540,-1358.03616,"left"
26928,538560,-1357.81928,"left"
