"frame","time_ms","z","hand"
11353,227060,-1365.74672,"left"
11354,227080,-1365.7516,"left"
11355,227100,-1365.7216,"left"
11356,227120,-1365.6536,"left"
11357,227140,-1365.57728,"left"
11358,227160,-1365.50936,"left"
11359,227180,-1365.46504,"left"
11360,227200,-1365.45592,"left"
11361,227220,-1365.49784,"left"
11362,227240,-1365.55184,"left"
11363,227260,-1365.62088,"left"
11364,227280,-1365.69336,"left"
11365,227300,-1365.7748,"left"
11366,227320,-1365.8428,"left"
11367,227340,-1365.93704,"left"
11368,227360,-1366.03128,"left"
11369,227380,-1366.12368,"left"
11370,227400,-1366.1892,"left"
11371,227420,-1366.23368,"left"
11372,227440,-1366.22568,"left"
11373,227460,-1366.19736,"left"
11374,227480,-1366.14512,"left"
11375,227500,-1366.0908,"left"
11376,227520,-1366.03728,"left"
11377,227540,-1365.9932,"left"
11378,227560,-1365.93432,"left"
11379,227580,-1365.88032,"left"
11380,227600,-1365.82352,"left"
11381,227620,-1365.77464,"left"
11382,227640,-1365.7392,"left"
11383,227660,-1365.74296,"left"
11384,227680,-1365.76584,"left"
11385,227700,-1365.81608,"left"
11386,227720,-1365.88496,"left"
11387,227740,-1365.97168,"left"
11388,227760,-1366.05056,"left"
11389,227780,-1366.13104,"left"
11390,227800,-1366.2004,"left"
11391,227820,-1366.2436,"left"
11392,227840,-1366.25896,"left"
11393,227860,-1366.2472,"left"
11394,227880,-1366.19984,"left"
11395,227900,-1366.12512,"left"
11396,227920,-1366.06272,"left"
11397,227940,-1366.01856,"left"
11398,227960,-1366.02808,"left"
11399,227980,-1366.11232,"left"
11400,228000,-1366.27128,"left"
11401,228020,-1366.45792,"left"
11402,228040,-1366.66496,"left"
11403,228060,-1366.84584,"left"
11404,228080,-1366.98168,"left"
11405,228100,-1367.0656,"left"
11406,228120,-1367.1228,"left"
11407,228140,-1367.14344,"left"
11408,228160,-1367.15144,"left"
11409,228180,-1367.142,"left"
11410,228200,-1367.11256,"left"
11411,228220,-1367.0612,"left"
11412,228240,-1367.0032,"left"
11413,228260,-1366.93672,"left"
11414,228280,-1366.8744,"left"
11415,228300,-1366.83064,"left"
11416,228320,-1366.80432,"left"
11417,228340,-1366.80408,"left"
11418,228360,-1366.82864,"left"
11419,228380,-1366.876,"left"
11420,228400,-1366.93992,"left"
11421,228420,-1367.02752,"left"
11422,228440,-1367.1036,"left"
11423,228460,-1367.16552,"left"
11424,228480,-1367.2112,"left"
11425,228500,-1367.23616,"left"
11426,228520,-1367.21176,"left"
11427,228540,-1367.1692,"left"
11428,228560,-1367.11264,"left"
11429,228580,-1367.0548,"left"
11430,228600,-1367.00336,"left"
11431,228620,-1367.00192,"left"
11432,228640,-1367.0448,"left"
11433,228660,-1367.14112,"left"
11434,228680,-1367.25768,"left"
11435,228700,-1367.38368,"left"
11436,228720,-1367.47296,"left"
11437,228740,-1367.53784,"left"
11438,228760,-1367.5472,"left"
11439,228780,-1367.54816,"left"
11440,228800,-1367.55192,"left"
11441,228820,-1367.59384,"left"
11442,228840,-1367.62088,"left"
11443,228860,-1367.66912,"left"
11444,228880,-1367.69112,"left"
11445,228900,-1367.70088,"left"
11446,228920,-1367.70584,"left"
11447,228940,-1367.78288,"left"
11448,228960,-1367.9192,"left"
11449,228980,-1368.14544,"left"
11450,229000,-1368.42248,"left"
11451,229020,-1368.71224,"left"
11452,229040,-1368.95528,"left"
11453,229060,-1369.13072,"left"
11454,229080,-1369.21584,"left"
11455,229100,-1369.23128,"left"
11456,229120,-1369.17456,"left"
11457,229140,-1369.06552,"left"
11458,229160,-1368.92984,"left"
11459,229180,-1368.79656,"left"
11460,229200,-1368.66648,"left"
11461,229220,-1368.6024,"left"
11462,229240,-1368.60584,"left"
11463,229260,-1368.67992,"left"
11464,229280,-1368.80272,"left"
11465,229300,-1368.97272,"left"
11466,229320,-1369.12504,"left"
11467,229340,-1369.25712,"left"
11468,229360,-1369.33352,"left"
11469,229380,-1369.36144,"left"
11470,229400,-1369.34016,"left"
11471,229420,-1369.29408,"left"
11472,229440,-1369.22352,"left"
11473,229460,-1369.17824,"left"
11474,229480,-1369.15368,"left"
11475,229500,-1369.15296,"left"
11476,229520,-1369.1764,"left"
11477,229540,-1369.22744,"left"
11478,229560,-1369.26912,"left"
11479,229580,-1369.3076,"left"
11480,229600,-1369.32896,"left"
11481,229620,-1369.33056,"left"
11482,229640,-1369.3072,"left"
11483,229660,-1369.27072,"left"
11484,229680,-1369.21672,"left"
11485,229700,-1369.17832,"left"
11486,229720,-1369.15568,"left"
11487,229740,-1369.15304,"left"
11488,229760,-1369.16976,"left"
11489,229780,-1369.20936,"left"
11490,229800,-1369.24112,"left"
11491,229820,-1369.26728,"left"
11492,229840,-1369.27912,"left"
11493,229860,-1369.2772,"left"
11494,229880,-1369.25328,"left"
11495,229900,-1369.20992,"left"
11496,229920,-1369.13344,"left"
11497,229940,-1369.03248,"left"
11498,229960,-1368.90072,"left"
11499,229980,-1368.74608,"left"
11500,230000,-1368.58232,"left"
11501,230020,-1368.43424,"left"
11502,230040,-1368.31072,"left"
11503,230060,-1368.21888,"left"
11504,230080,-1368.1676,"left"
11505,230100,-1368.14952,"left"
