"frame","time_ms","z","hand"
23675,473500,-286.31492,"left"
23676,473520,-286.853152,"left"
23677,473540,-287.393128,"left"
23678,473560,-287.952,"left"
23679,473580,-288.507328,"left"
23680,473600,-288.977792,"left"
23681,473620,-289.364768,"left"
23682,473640,-289.674904,"left"
23683,473660,-289.910488,"left"
23684,473680,-290.07036,"left"
23685,473700,-290.215368,"left"
23686,473720,-290.341264,"left"
23687,473740,-290.44104,"left"
23688,473760,-290.501328,"left"
23689,473780,-290.561704,"left"
23690,473800,-290.60872,"left"
23691,473820,-290.644136,"left"
23692,473840,-290.67352,"left"
23693,473860,-290.728072,"left"
23694,473880,-290.768272,"left"
23695,473900,-290.794672,"left"
23696,473920,-290.81376,"left"
23697,473940,-290.826192,"left"
23698,473960,-290.800232,"left"
23699,473980,-290.772808,"left"
23700,474000,-290.745192,"left"
23701,474020,-290.705808,"left"
23702,474040,-290.647896,"left"
23703,474060,-290.596544,"left"
23704,474080,-290.516624,"left"
23705,474100,-290.407688,"left"
23706,474120,-290.28908,"left"
23707,474140,-290.188208,"left"
23708,474160,-290.106952,"left"
23709,474180,-290.083056,"left"
23710,474200,-290.116824,"left"
23711,474220,-290.210128,"left"
23712,474240,-290.325928,"left"
23713,474260,-290.463712,"left"
23714,474280,-290.622392,"left"
23715,474300,-290.860008,"left"
23716,474320,-291.20036,"left"
23717,474340,-291.698584,"left"
23718,474360,-292.277912,"left"
23719,474380,-292.764448,"left"
23720,474400,-292.832472,"left"
23721,474420,-292.073912,"left"
23722,474440,-289.98016,"left"
23723,474460,-286.24036,"left"
23724,474480,-280.728168,"left"
23725,474500,-273.614968,"left"
23726,474520,-265.886248,"left"
23727,474540,-259.093432,"left"
23728,474560,-254.783848,"left"
23729,474580,-255.078192,"left"
23730,474600,-262.863744,"left"
23731,474620,-280.260176,"left"
23732,474640,-310.001528,"left"
23733,474660,-354.527848,"left"
23734,474680,-414.547848,"left"
23735,474700,-487.733616,"left"
23736,474720,-570.213712,"left"
23737,474740,-653.841216,"left"
23738,474760,-730.8194,"left"
23739,474780,-794.460176,"left"
23740,474800,-838.983584,"left"
23741,474820,-860.552704,"left"
23742,474840,-859.871552,"left"
23743,474860,-836.977064,"left"
23744,474880,-791.492872,"left"
23745,474900,-728.240288,"left"
23746,474920,-653.135032,"left"
23747,474940,-571.60176,"left"
23748,474960,-490.39152,"left"
23749,474980,-418.064816,"left"
23750,475000,-357.818536,"left"
23751,475020,-310.864784,"left"
23752,475040,-277.294928,"left"
23753,475060,-256.307848,"left"
23754,475080,-244.948736,"left"
23755,475100,-241.096624,"left"
23756,475120,-243.006192,"left"
23757,475140,-248.981168,"left"
23758,475160,-257.094744,"left"
23759,475180,-266.046608,"left"
23760,475200,-274.988504,"left"
23761,475220,-283.205424,"left"
23762,475240,-290.175232,"left"
23763,475260,-295.726952,"left"
23764,475280,-299.802288,"left"
23765,475300,-302.486936,"left"
23766,475320,-303.952848,"left"
23767,475340,-304.454056,"left"
23768,475360,-304.242336,"left"
23769,475380,-303.550032,"left"
23770,475400,-302.531008,"left"
23771,475420,-301.322904,"left"
23772,475440,-300.007616,"left"
23773,475460,-298.668192,"left"
23774,475480,-297.393752,"left"
23775,475500,-296.274776,"left"
23776,475520,-295.361072,"left"
23777,475540,-294.69996,"left"
23778,475560,-294.292288,"left"
23779,475580,-294.109232,"left"
23780,475600,-294.087472,"left"
23781,475620,-294.16472,"left"
23782,475640,-294.252328,"left"
23783,475660,-294.24508,"left"
23784,475680,-294.05744,"left"
23785,475700,-293.659952,"left"
23786,475720,-293.031552,"left"
23787,475740,-292.198832,"left"
23788,475760,-291.262864,"left"
23789,475780,-290.32512,"left"
23790,475800,-289.42432,"left"
23791,475820,-288.614128,"left"
23792,475840,-287.942112,"left"
23793,475860,-287.386048,"left"
23794,475880,-286.929648,"left"
23795,475900,-286.606024,"left"
23796,475920,-286.43916,"left"
23797,475940,-286.409392,"left"
23798,475960,-286.55376,"left"
23799,475980,-286.85576,"left"
23800,476000,-287.26364,"left"
23801,476020,-287.70804,"left"
23802,476040,-288.140904,"left"
23803,476060,-288.463464,"left"
23804,476080,-288.622312,"left"
23805,476100,-288.612992,"left"
23806,476120,-288.450776,"left"
23807,476140,-288.195,"left"
23808,476160,-287.89176,"left"
23809,476180,-287.621072,"left"
23810,476200,-287.399184,"left"
23811,476220,-287.219424,"left"
23812,476240,-287.01312,"left"
23813,476260,-286.803424,"left"
23814,476280,-286.555432,"left"
23815,476300,-286.278192,"left"
23816,476320,-286.011088,"left"
23817,476340,-285.827872,"left"
23818,476360,-285.710424,"left"
23819,476380,-285.68644,"left"
23820,476400,-285.766448,"left"
23821,476420,-285.960088,"left"
23822,476440,-286.245392,"left"
23823,476460,-286.654064,"left"
23824,476480,-287.143768,"left"
23825,476500,-287.682728,"left"
23826,476520,-288.205952,"left"
23827,476540,-288.671744,"left"
23828,476560,-289.01704,"left"
