"frame","time_ms","z","hand"
24977,499540,-1361.3216,"left"
24978,499560,-1361.08912,"left"
24979,499580,-1360.92,"left"
24980,499600,-1360.79664,"left"
24981,499620,-1360.71544,"left"
24982,499640,-1360.62272,"left"
24983,499660,-1360.58104,"left"
24984,499680,-1360.56248,"left"
24985,499700,-1360.57456,"left"
24986,499720,-1360.63392,"left"
24987,499740,-1360.71832,"left"
24988,499760,-1360.7832,"left"
24989,499780,-1360.8264,"left"
24990,499800,-1360.82232,"left"
24991,499820,-1360.75984,"left"
24992,499840,-1360.66888,"left"
24993,499860,-1360.58352,"left"
24994,499880,-1360.50624,"left"
24995,499900,-1360.45936,"left"
24996,499920,-1360.44536,"left"
24997,499940,-1360.4552,"left"
24998,499960,-1360.5992,"left"
24999,499980,-1360.86312,"left"
25000,5e+05,-1361.23784,"left"
25001,500020,-1361.7008,"left"
25002,500040,-1362.2504,"left"
25003,500060,-1362.47416,"left"
25004,500080,-1362.39696,"left"
25005,500100,-1362.00992,"left"
25006,500120,-1361.36544,"left"
25007,500140,-1360.4368,"left"
25008,500160,-1359.65264,"left"
25009,500180,-1358.98112,"left"
25010,500200,-1358.4824,"left"
25011,500220,-1358.10464,"left"
25012,500240,-1357.91352,"left"
25013,500260,-1357.76584,"left"
25014,500280,-1357.71992,"left"
25015,500300,-1357.682,"left"
25016,500320,-1357.72216,"left"
25017,500340,-1357.79256,"left"
25018,500360,-1357.92352,"left"
25019,500380,-1358.05872,"left"
25020,500400,-1358.25608,"left"
25021,500420,-1358.4016,"left"
25022,500440,-1358.51792,"left"
25023,500460,-1358.58496,"left"
25024,500480,-1358.64176,"left"
25025,500500,-1358.724,"left"
25026,500520,-1358.95312,"left"
25027,500540,-1359.3424,"left"
25028,500560,-1359.84384,"left"
25029,500580,-1360.4148,"left"
25030,500600,-1360.96088,"left"
25031,500620,-1361.3884,"left"
25032,500640,-1361.81288,"left"
25033,500660,-1362.49112,"left"
25034,500680,-1363.42568,"left"
25035,500700,-1364.6528,"left"
25036,500720,-1366.18792,"left"
25037,500740,-1367.4748,"left"
25038,500760,-1367.85776,"left"
25039,500780,-1367.38176,"left"
25040,500800,-1366.11448,"left"
25041,500820,-1364.1356,"left"
25042,500840,-1362.13424,"left"
25043,500860,-1360.80552,"left"
25044,500880,-1360.108,"left"
25045,500900,-1359.93704,"left"
25046,500920,-1360.23312,"left"
25047,500940,-1360.72664,"left"
25048,500960,-1361.12864,"left"
25049,500980,-1361.48928,"left"
25050,501000,-1361.88112,"left"
25051,501020,-1362.26264,"left"
25052,501040,-1362.54424,"left"
25053,501060,-1362.76288,"left"
25054,501080,-1362.84248,"left"
25055,501100,-1362.7352,"left"
25056,501120,-1362.52136,"left"
25057,501140,-1362.3532,"left"
25058,501160,-1362.24864,"left"
25059,501180,-1362.28064,"left"
25060,501200,-1362.53016,"left"
25061,501220,-1362.93736,"left"
25062,501240,-1363.40256,"left"
25063,501260,-1363.83576,"left"
25064,501280,-1364.19008,"left"
25065,501300,-1364.312,"left"
25066,501320,-1364.20912,"left"
25067,501340,-1363.90824,"left"
25068,501360,-1363.532,"left"
25069,501380,-1363.10144,"left"
25070,501400,-1362.79064,"left"
25071,501420,-1362.63832,"left"
25072,501440,-1362.6744,"left"
25073,501460,-1362.79664,"left"
25074,501480,-1363.09968,"left"
25075,501500,-1363.5984,"left"
25076,501520,-1364.24648,"left"
25077,501540,-1364.97928,"left"
25078,501560,-1365.88296,"left"
25079,501580,-1366.62656,"left"
25080,501600,-1366.8348,"left"
25081,501620,-1366.53768,"left"
25082,501640,-1365.80416,"left"
25083,501660,-1364.5716,"left"
25084,501680,-1363.1756,"left"
25085,501700,-1362.05848,"left"
25086,501720,-1361.21288,"left"
25087,501740,-1360.73192,"left"
25088,501760,-1360.66584,"left"
25089,501780,-1360.956,"left"
25090,501800,-1361.46032,"left"
25091,501820,-1362.19624,"left"
25092,501840,-1362.80576,"left"
25093,501860,-1363.2148,"left"
25094,501880,-1363.33832,"left"
25095,501900,-1363.12904,"left"
25096,501920,-1362.58896,"left"
25097,501940,-1362.07688,"left"
25098,501960,-1361.70496,"left"
25099,501980,-1361.54928,"left"
25100,502000,-1361.678,"left"
25101,502020,-1362.042,"left"
25102,502040,-1362.50936,"left"
25103,502060,-1362.97552,"left"
25104,502080,-1363.35896,"left"
25105,502100,-1363.5828,"left"
25106,502120,-1363.66088,"left"
25107,502140,-1363.59256,"left"
25108,502160,-1363.40848,"left"
25109,502180,-1363.1868,"left"
25110,502200,-1362.9576,"left"
25111,502220,-1362.74256,"left"
25112,502240,-1362.56344,"left"
25113,502260,-1362.42616,"left"
25114,502280,-1362.25192,"left"
25115,502300,-1362.27208,"left"
25116,502320,-1362.70072,"left"
25117,502340,-1363.52432,"left"
25118,502360,-1364.954,"left"
25119,502380,-1367.0532,"left"
25120,502400,-1369.18672,"left"
25121,502420,-1370.72912,"left"
25122,502440,-1371.70024,"left"
25123,502460,-1371.49432,"left"
25124,502480,-1370.138,"left"
25125,502500,-1368.23952,"left"
25126,502520,-1366.59832,"left"
25127,502540,-1365.35664,"left"
25128,502560,-1365.1,"left"
25129,502580,-1365.7192,"left"
