"frame","time_ms","z","hand"
21734,434680,-1365.46712,"left"
21735,434700,-1365.36904,"left"
21736,434720,-1365.28728,"left"
21737,434740,-1365.2236,"left"
21738,434760,-1365.16504,"left"
21739,434780,-1365.11096,"left"
21740,434800,-1365.06248,"left"
21741,434820,-1364.99544,"left"
21742,434840,-1364.92816,"left"
21743,434860,-1364.87192,"left"
21744,434880,-1364.8428,"left"
21745,434900,-1364.8388,"left"
21746,434920,-1364.86592,"left"
21747,434940,-1364.88088,"left"
21748,434960,-1364.90376,"left"
21749,434980,-1364.90256,"left"
21750,435000,-1364.87304,"left"
21751,435020,-1364.81056,"left"
21752,435040,-1364.77648,"left"
21753,435060,-1364.72616,"left"
21754,435080,-1364.68536,"left"
21755,435100,-1364.6672,"left"
21756,435120,-1364.67096,"left"
21757,435140,-1364.64584,"left"
21758,435160,-1364.62104,"left"
21759,435180,-1364.60536,"left"
21760,435200,-1364.58896,"left"
21761,435220,-1364.59136,"left"
21762,435240,-1364.63072,"left"
21763,435260,-1364.71728,"left"
21764,435280,-1364.80888,"left"
21765,435300,-1364.9244,"left"
21766,435320,-1365.0344,"left"
21767,435340,-1365.12352,"left"
21768,435360,-1365.1636,"left"
21769,435380,-1365.19448,"left"
21770,435400,-1365.17464,"left"
21771,435420,-1365.11784,"left"
21772,435440,-1365.06392,"left"
21773,435460,-1365.01168,"left"
21774,435480,-1364.95688,"left"
21775,435500,-1364.94672,"left"
21776,435520,-1364.97632,"left"
21777,435540,-1365.0068,"left"
21778,435560,-1365.074,"left"
21779,435580,-1365.16688,"left"
21780,435600,-1365.25736,"left"
21781,435620,-1365.35712,"left"
21782,435640,-1365.48152,"left"
21783,435660,-1365.59856,"left"
21784,435680,-1365.6968,"left"
21785,435700,-1365.7764,"left"
21786,435720,-1365.82624,"left"
21787,435740,-1365.83792,"left"
21788,435760,-1365.8352,"left"
21789,435780,-1365.83192,"left"
21790,435800,-1365.8408,"left"
21791,435820,-1365.87528,"left"
21792,435840,-1365.9588,"left"
21793,435860,-1366.06312,"left"
21794,435880,-1366.1948,"left"
21795,435900,-1366.34352,"left"
21796,435920,-1366.488,"left"
21797,435940,-1366.59856,"left"
21798,435960,-1366.68832,"left"
21799,435980,-1366.75544,"left"
21800,436000,-1366.81176,"left"
21801,436020,-1366.87032,"left"
21802,436040,-1366.94616,"left"
21803,436060,-1367.04104,"left"
21804,436080,-1367.13864,"left"
21805,436100,-1367.21312,"left"
21806,436120,-1367.26648,"left"
21807,436140,-1367.27864,"left"
21808,436160,-1367.23752,"left"
21809,436180,-1367.14608,"left"
21810,436200,-1367.0436,"left"
21811,436220,-1366.9176,"left"
21812,436240,-1366.81224,"left"
21813,436260,-1366.75968,"left"
21814,436280,-1366.7752,"left"
21815,436300,-1366.82,"left"
21816,436320,-1366.91224,"left"
21817,436340,-1367.00096,"left"
21818,436360,-1367.04512,"left"
21819,436380,-1367.03896,"left"
21820,436400,-1367.00776,"left"
21821,436420,-1366.9332,"left"
21822,436440,-1366.8612,"left"
21823,436460,-1366.83136,"left"
21824,436480,-1366.85504,"left"
21825,436500,-1366.91112,"left"
21826,436520,-1367.01712,"left"
21827,436540,-1367.12584,"left"
21828,436560,-1367.21256,"left"
21829,436580,-1367.2464,"left"
21830,436600,-1367.25824,"left"
21831,436620,-1367.23552,"left"
21832,436640,-1367.23232,"left"
21833,436660,-1367.24488,"left"
21834,436680,-1367.2988,"left"
21835,436700,-1367.36768,"left"
21836,436720,-1367.45528,"left"
21837,436740,-1367.5192,"left"
21838,436760,-1367.57704,"left"
21839,436780,-1367.61312,"left"
21840,436800,-1367.63008,"left"
21841,436820,-1367.62848,"left"
21842,436840,-1367.62136,"left"
21843,436860,-1367.59576,"left"
21844,436880,-1367.5676,"left"
21845,436900,-1367.5492,"left"
21846,436920,-1367.53616,"left"
21847,436940,-1367.526,"left"
21848,436960,-1367.51936,"left"
21849,436980,-1367.48696,"left"
21850,437000,-1367.42056,"left"
21851,437020,-1367.32888,"left"
21852,437040,-1367.21736,"left"
21853,437060,-1367.09328,"left"
21854,437080,-1367.01216,"left"
21855,437100,-1366.97696,"left"
21856,437120,-1366.98648,"left"
21857,437140,-1367.04104,"left"
21858,437160,-1367.12304,"left"
21859,437180,-1367.17744,"left"
21860,437200,-1367.18752,"left"
21861,437220,-1367.13824,"left"
21862,437240,-1367.02472,"left"
21863,437260,-1366.87616,"left"
21864,437280,-1366.716,"left"
21865,437300,-1366.58968,"left"
21866,437320,-1366.52096,"left"
21867,437340,-1366.50088,"left"
21868,437360,-1366.52704,"left"
21869,437380,-1366.58488,"left"
21870,437400,-1366.61648,"left"
21871,437420,-1366.5924,"left"
21872,437440,-1366.55056,"left"
21873,437460,-1366.4508,"left"
21874,437480,-1366.33232,"left"
21875,437500,-1366.2352,"left"
21876,437520,-1366.19056,"left"
21877,437540,-1366.14328,"left"
21878,437560,-1366.13472,"left"
21879,437580,-1366.10784,"left"
21880,437600,-1366.05224,"left"
21881,437620,-1365.95248,"left"
21882,437640,-1365.85176,"left"
21883,437660,-1365.74416,"left"
21884,437680,-1365.6752,"left"
21885,437700,-1365.64152,"left"
21886,437720,-1365.6472,"left"
