"frame","time_ms","z","hand"
21887,437740,-1362.23184,"left"
21888,437760,-1362.18984,"left"
21889,437780,-1362.21168,"left"
21890,437800,-1362.34512,"left"
21891,437820,-1362.47872,"left"
21892,437840,-1362.6016,"left"
21893,437860,-1362.6112,"left"
21894,437880,-1362.59048,"left"
21895,437900,-1362.51088,"left"
21896,437920,-1362.44456,"left"
21897,437940,-1362.41608,"left"
21898,437960,-1362.46144,"left"
21899,437980,-1362.5152,"left"
21900,438000,-1362.56,"left"
21901,438020,-1362.56336,"left"
21902,438040,-1362.52024,"left"
21903,438060,-1362.45152,"left"
21904,438080,-1362.38576,"left"
21905,438100,-1362.34088,"left"
21906,438120,-1362.31256,"left"
21907,438140,-1362.27432,"left"
21908,438160,-1362.18624,"left"
21909,438180,-1362.0588,"left"
21910,438200,-1361.90072,"left"
21911,438220,-1361.73312,"left"
21912,438240,-1361.59344,"left"
21913,438260,-1361.51296,"left"
21914,438280,-1361.49896,"left"
21915,438300,-1361.5448,"left"
21916,438320,-1361.65752,"left"
21917,438340,-1361.80904,"left"
21918,438360,-1362.00544,"left"
21919,438380,-1362.20088,"left"
21920,438400,-1362.41984,"left"
21921,438420,-1362.61888,"left"
21922,438440,-1362.79624,"left"
21923,438460,-1362.89776,"left"
21924,438480,-1362.97,"left"
21925,438500,-1362.93152,"left"
21926,438520,-1362.81696,"left"
21927,438540,-1362.6504,"left"
21928,438560,-1362.49696,"left"
21929,438580,-1362.32096,"left"
21930,438600,-1362.21416,"left"
21931,438620,-1362.16936,"left"
21932,438640,-1362.1892,"left"
21933,438660,-1362.23632,"left"
21934,438680,-1362.33576,"left"
21935,438700,-1362.44272,"left"
21936,438720,-1362.56416,"left"
21937,438740,-1362.65824,"left"
21938,438760,-1362.75344,"left"
21939,438780,-1362.84368,"left"
21940,438800,-1362.94616,"left"
21941,438820,-1363.0448,"left"
21942,438840,-1363.19352,"left"
21943,438860,-1363.33432,"left"
21944,438880,-1363.47432,"left"
21945,438900,-1363.60368,"left"
21946,438920,-1363.72008,"left"
21947,438940,-1363.76664,"left"
21948,438960,-1363.80144,"left"
21949,438980,-1363.8148,"left"
21950,439000,-1363.78912,"left"
21951,439020,-1363.74336,"left"
21952,439040,-1363.7164,"left"
21953,439060,-1363.69664,"left"
21954,439080,-1363.6756,"left"
21955,439100,-1363.67064,"left"
21956,439120,-1363.68304,"left"
21957,439140,-1363.684,"left"
21958,439160,-1363.65712,"left"
21959,439180,-1363.60208,"left"
21960,439200,-1363.52992,"left"
21961,439220,-1363.41192,"left"
21962,439240,-1363.30512,"left"
21963,439260,-1363.2096,"left"
21964,439280,-1363.14496,"left"
21965,439300,-1363.11096,"left"
21966,439320,-1363.15504,"left"
21967,439340,-1363.22072,"left"
21968,439360,-1363.33512,"left"
21969,439380,-1363.47944,"left"
21970,439400,-1363.63408,"left"
21971,439420,-1363.73128,"left"
21972,439440,-1363.78856,"left"
21973,439460,-1363.76768,"left"
21974,439480,-1363.69408,"left"
21975,439500,-1363.56776,"left"
21976,439520,-1363.44648,"left"
21977,439540,-1363.33208,"left"
21978,439560,-1363.29104,"left"
21979,439580,-1363.29912,"left"
21980,439600,-1363.37456,"left"
21981,439620,-1363.50056,"left"
21982,439640,-1363.70384,"left"
21983,439660,-1363.87256,"left"
21984,439680,-1364.06104,"left"
21985,439700,-1364.30144,"left"
21986,439720,-1364.63752,"left"
21987,439740,-1364.9672,"left"
21988,439760,-1365.42104,"left"
21989,439780,-1365.8868,"left"
21990,439800,-1366.29336,"left"
21991,439820,-1366.6544,"left"
21992,439840,-1367.25,"left"
21993,439860,-1367.92888,"left"
21994,439880,-1368.88888,"left"
21995,439900,-1370.14312,"left"
21996,439920,-1371.40968,"left"
21997,439940,-1372.20264,"left"
21998,439960,-1372.67376,"left"
21999,439980,-1372.46216,"left"
22000,440000,-1371.56264,"left"
22001,440020,-1370.3064,"left"
22002,440040,-1369.09304,"left"
22003,440060,-1367.85864,"left"
22004,440080,-1366.9536,"left"
22005,440100,-1366.47816,"left"
22006,440120,-1366.34848,"left"
22007,440140,-1366.4568,"left"
22008,440160,-1366.88152,"left"
22009,440180,-1367.56872,"left"
22010,440200,-1368.46808,"left"
22011,440220,-1369.51776,"left"
22012,440240,-1370.78944,"left"
22013,440260,-1371.9984,"left"
22014,440280,-1373.00072,"left"
22015,440300,-1373.58264,"left"
22016,440320,-1373.85752,"left"
22017,440340,-1373.56648,"left"
22018,440360,-1373.00736,"left"
22019,440380,-1372.17408,"left"
22020,440400,-1371.36568,"left"
22021,440420,-1370.40424,"left"
22022,440440,-1369.62144,"left"
22023,440460,-1368.9152,"left"
22024,440480,-1368.53352,"left"
22025,440500,-1368.34536,"left"
22026,440520,-1368.6004,"left"
22027,440540,-1368.95864,"left"
22028,440560,-1369.57792,"left"
22029,440580,-1370.22824,"left"
22030,440600,-1371.0864,"left"
22031,440620,-1371.88216,"left"
22032,440640,-1373.04152,"left"
22033,440660,-1374.19032,"left"
22034,440680,-1375.29056,"left"
22035,440700,-1375.94104,"left"
22036,440720,-1376.21928,"left"
22037,440740,-1375.63904,"left"
22038,440760,-1374.50848,"left"
22039,440780,-1372.99312,"left"
22040,440800,-1371.4376,"left"
22041,440820,-1369.93144,"left"
22042,440840,-1368.84192,"left"
22043,440860,-1368.09592,"left"
22044,440880,-1367.65048,"left"
22045,440900,-1367.37528,"left"
22046,440920,-1367.21568,"left"
22047,440940,-1367.03768,"left"
22048,440960,-1366.8112,"left"
22049,440980,-1366.4952,"left"
22050,441000,-1366.14784,"left"
22051,441020,-1365.85576,"left"
22052,441040,-1365.61336,"left"
22053,441060,-1365.45944,"left"
22054,441080,-1365.44408,"left"
22055,441100,-1365.6316,"left"
22056,441120,-1365.85872,"left"
22057,441140,-1366.22544,"left"
22058,441160,-1366.73232,"left"
22059,441180,-1367.42432,"left"
22060,441200,-1368.04728,"left"
22061,441220,-1368.7832,"left"
22062,441240,-1369.43728,"left"
22063,441260,-1369.98928,"left"
22064,441280,-1370.21568,"left"
22065,441300,-1370.3708,"left"
22066,441320,-1370.27416,"left"
22067,441340,-1370.10128,"left"
22068,441360,-1369.81592,"left"
22069,441380,-1369.63232,"left"
22070,441400,-1369.4096,"left"
22071,441420,-1369.26048,"left"
22072,441440,-1369.09336,"left"
22073,441460,-1368.9628,"left"
22074,441480,-1368.80328,"left"
22075,441500,-1368.66952,"left"
22076,441520,-1368.52392,"left"
22077,441540,-1368.3924,"left"
22078,441560,-1368.24864,"left"
22079,441580,-1368.07224,"left"
22080,441600,-1367.85568,"left"
22081,441620,-1367.62736,"left"
22082,441640,-1367.39864,"left"
22083,441660,-1367.186,"left"
22084,441680,-1367.02144,"left"
22085,441700,-1366.8948,"left"
22086,441720,-1366.76,"left"
22087,441740,-1366.58904,"left"
22088,441760,-1366.3564,"left"
22089,441780,-1366.05136,"left"
22090,441800,-1365.70232,"left"
22091,441820,-1365.32688,"left"
22092,441840,-1364.97112,"left"
22093,441860,-1364.6632,"left"
22094,441880,-1364.43016,"left"
22095,441900,-1364.28424,"left"
22096,441920,-1364.25456,"left"
22097,441940,-1364.324,"left"
22098,441960,-1364.50088,"left"
22099,441980,-1364.74912,"left"
22100,442000,-1364.9696,"left"
22101,442020,-1365.1996,"left"
22102,442040,-1365.44416,"left"
22103,442060,-1365.71152,"left"
22104,442080,-1366.04472,"left"
22105,442100,-1366.58624,"left"
22106,442120,-1367.2668,"left"
22107,442140,-1367.97936,"left"
22108,442160,-1368.63984,"left"
22109,442180,-1369.11424,"left"
