"frame","time_ms","z","hand"
30766,615320,-1010.736488,"left"
30767,615340,-1008.468648,"left"
30768,615360,-1007.010608,"left"
30769,615380,-1005.651968,"left"
30770,615400,-1000.999112,"left"
30771,615420,-998.121,"left"
30772,615440,-997.02664,"left"
30773,615460,-995.876976,"left"
30774,615480,-994.104056,"left"
30775,615500,-995.177704,"left"
30776,615520,-996.604656,"left"
30777,615540,-996.863328,"left"
30778,615560,-996.314656,"left"
30779,615580,-997.384736,"left"
30780,615600,-996.916888,"left"
30781,615620,-996.427464,"left"
30782,615640,-995.967104,"left"
30783,615660,-997.038152,"left"
30784,615680,-996.522984,"left"
30785,615700,-996.830904,"left"
30786,615720,-996.030136,"left"
30787,615740,-995.861072,"left"
30788,615760,-994.15504,"left"
30789,615780,-993.484896,"left"
30790,615800,-992.284008,"left"
30791,615820,-991.752768,"left"
30792,615840,-990.275584,"left"
30793,615860,-990.672248,"left"
30794,615880,-991.190576,"left"
30795,615900,-992.582032,"left"
30796,615920,-995.950896,"left"
30797,615940,-1001.894632,"left"
30798,615960,-1008.180896,"left"
30799,615980,-1015.528656,"left"
30800,616000,-1023.535352,"left"
30801,616020,-1029.23988,"left"
30802,616040,-1032.48744,"left"
30803,616060,-1033.69964,"left"
30804,616080,-1033.01272,"left"
30805,616100,-1030.93044,"left"
30806,616120,-1030.462832,"left"
30807,616140,-1031.703976,"left"
30808,616160,-1034.880752,"left"
30809,616180,-1039.04316,"left"
30810,616200,-1043.70128,"left"
30811,616220,-1046.809504,"left"
30812,616240,-1048.336632,"left"
30813,616260,-1048.259704,"left"
30814,616280,-1047.61672,"left"
30815,616300,-1046.6184,"left"
30816,616320,-1045.93608,"left"
30817,616340,-1045.62672,"left"
30818,616360,-1045.65304,"left"
30819,616380,-1045.70088,"left"
30820,616400,-1045.75352,"left"
30821,616420,-1045.842,"left"
30822,616440,-1045.8956,"left"
30823,616460,-1046.27504,"left"
30824,616480,-1046.95264,"left"
30825,616500,-1048.2368,"left"
30826,616520,-1050.39112,"left"
30827,616540,-1053.80592,"left"
30828,616560,-1057.86144,"left"
30829,616580,-1064.58424,"left"
30830,616600,-1075.1044,"left"
30831,616620,-1088.49216,"left"
30832,616640,-1105.77336,"left"
30833,616660,-1126.88536,"left"
30834,616680,-1145.70736,"left"
30835,616700,-1158.95928,"left"
30836,616720,-1169.782,"left"
30837,616740,-1175.01016,"left"
30838,616760,-1177.13624,"left"
30839,616780,-1184.324,"left"
30840,616800,-1196.8588,"left"
30841,616820,-1209.62712,"left"
30842,616840,-1224.38272,"left"
30843,616860,-1235.78136,"left"
30844,616880,-1237.7372,"left"
30845,616900,-1233.24536,"left"
30846,616920,-1223.87808,"left"
30847,616940,-1208.21984,"left"
30848,616960,-1190.56056,"left"
30849,616980,-1170.92736,"left"
30850,617000,-1148.092,"left"
30851,617020,-1124.63824,"left"
30852,617040,-1104.66736,"left"
30853,617060,-1087.44,"left"
30854,617080,-1078.63672,"left"
30855,617100,-1078.09168,"left"
30856,617120,-1086.06064,"left"
30857,617140,-1097.55672,"left"
30858,617160,-1113.29656,"left"
30859,617180,-1126.24136,"left"
30860,617200,-1137.32568,"left"
30861,617220,-1141.57536,"left"
30862,617240,-1144.27432,"left"
30863,617260,-1144.2904,"left"
30864,617280,-1148.58472,"left"
30865,617300,-1156.09968,"left"
30866,617320,-1173.09376,"left"
30867,617340,-1194.3548,"left"
30868,617360,-1218.85352,"left"
30869,617380,-1240.10416,"left"
30870,617400,-1257.13008,"left"
30871,617420,-1264.68496,"left"
30872,617440,-1265.85224,"left"
30873,617460,-1260.42568,"left"
30874,617480,-1253.13976,"left"
30875,617500,-1243.92424,"left"
30876,617520,-1235.8768,"left"
30877,617540,-1226.42488,"left"
30878,617560,-1219.5572,"left"
30879,617580,-1212.46248,"left"
30880,617600,-1208.88432,"left"
30881,617620,-1207.54936,"left"
30882,617640,-1212.96944,"left"
30883,617660,-1221.41136,"left"
30884,617680,-1233.6428,"left"
30885,617700,-1245.90512,"left"
30886,617720,-1258.22272,"left"
30887,617740,-1266.74936,"left"
30888,617760,-1272.17232,"left"
30889,617780,-1275.19312,"left"
30890,617800,-1276.63952,"left"
30891,617820,-1277.09168,"left"
30892,617840,-1277.27568,"left"
30893,617860,-1276.23304,"left"
30894,617880,-1272.16992,"left"
30895,617900,-1263.99648,"left"
30896,617920,-1249.69344,"left"
30897,617940,-1228.2272,"left"
30898,617960,-1202.52632,"left"
30899,617980,-1174.07192,"left"
30900,618000,-1145.96408,"left"
30901,618020,-1122.02912,"left"
30902,618040,-1105.22232,"left"
30903,618060,-1093.38088,"left"
30904,618080,-1087.16784,"left"
30905,618100,-1084.346,"left"
30906,618120,-1083.33384,"left"
30907,618140,-1082.43976,"left"
30908,618160,-1084.2416,"left"
30909,618180,-1087.40472,"left"
30910,618200,-1093.22424,"left"
30911,618220,-1099.6684,"left"
30912,618240,-1106.97224,"left"
30913,618260,-1109.976,"left"
30914,618280,-1109.52544,"left"
30915,618300,-1104.45824,"left"
30916,618320,-1096.75144,"left"
30917,618340,-1086.27312,"left"
