"frame","time_ms","z","hand"
7367,147340,-1375.30264,"left"
7368,147360,-1373.7212,"left"
7369,147380,-1371.97128,"left"
7370,147400,-1370.20256,"left"
7371,147420,-1368.47944,"left"
7372,147440,-1367.12744,"left"
7373,147460,-1366.12696,"left"
7374,147480,-1365.37312,"left"
7375,147500,-1364.83536,"left"
7376,147520,-1364.63712,"left"
7377,147540,-1364.60088,"left"
7378,147560,-1364.6632,"left"
7379,147580,-1364.75144,"left"
7380,147600,-1364.81928,"left"
7381,147620,-1364.75496,"left"
7382,147640,-1364.6232,"left"
7383,147660,-1364.45864,"left"
7384,147680,-1364.33544,"left"
7385,147700,-1364.27936,"left"
7386,147720,-1364.33192,"left"
7387,147740,-1364.4824,"left"
7388,147760,-1364.70704,"left"
7389,147780,-1364.97256,"left"
7390,147800,-1365.22568,"left"
7391,147820,-1365.40944,"left"
7392,147840,-1365.4884,"left"
7393,147860,-1365.56616,"left"
7394,147880,-1365.62944,"left"
7395,147900,-1365.74376,"left"
7396,147920,-1365.9908,"left"
7397,147940,-1366.40448,"left"
7398,147960,-1366.72504,"left"
7399,147980,-1366.96928,"left"
7400,148000,-1367.09176,"left"
7401,148020,-1367.00736,"left"
7402,148040,-1366.69384,"left"
7403,148060,-1366.35808,"left"
7404,148080,-1366.0184,"left"
7405,148100,-1365.6932,"left"
7406,148120,-1365.4292,"left"
7407,148140,-1365.26696,"left"
7408,148160,-1365.19752,"left"
7409,148180,-1365.19344,"left"
7410,148200,-1365.26448,"left"
7411,148220,-1365.43152,"left"
7412,148240,-1365.63864,"left"
7413,148260,-1365.864,"left"
7414,148280,-1366.12768,"left"
7415,148300,-1366.39584,"left"
7416,148320,-1366.58648,"left"
7417,148340,-1366.77512,"left"
7418,148360,-1366.92048,"left"
7419,148380,-1367.00064,"left"
7420,148400,-1367.04472,"left"
7421,148420,-1367.13296,"left"
7422,148440,-1367.14032,"left"
7423,148460,-1367.09624,"left"
7424,148480,-1366.99928,"left"
7425,148500,-1366.83456,"left"
7426,148520,-1366.55648,"left"
7427,148540,-1366.29848,"left"
7428,148560,-1366.07064,"left"
7429,148580,-1365.90856,"left"
7430,148600,-1365.84624,"left"
7431,148620,-1365.9208,"left"
7432,148640,-1366.04784,"left"
7433,148660,-1366.30344,"left"
7434,148680,-1366.64048,"left"
7435,148700,-1367.01528,"left"
7436,148720,-1367.3964,"left"
7437,148740,-1367.82144,"left"
7438,148760,-1368.044,"left"
7439,148780,-1368.10928,"left"
7440,148800,-1368.03608,"left"
7441,148820,-1367.8256,"left"
7442,148840,-1367.4708,"left"
7443,148860,-1367.18808,"left"
7444,148880,-1366.94088,"left"
7445,148900,-1366.72528,"left"
7446,148920,-1366.586,"left"
7447,148940,-1366.51848,"left"
7448,148960,-1366.50128,"left"
7449,148980,-1366.54512,"left"
7450,149000,-1366.64896,"left"
7451,149020,-1366.72576,"left"
7452,149040,-1366.75632,"left"
7453,149060,-1366.68976,"left"
7454,149080,-1366.55064,"left"
7455,149100,-1366.32616,"left"
7456,149120,-1366.1064,"left"
7457,149140,-1365.94216,"left"
7458,149160,-1365.84024,"left"
7459,149180,-1365.77088,"left"
7460,149200,-1365.79616,"left"
7461,149220,-1365.84736,"left"
7462,149240,-1365.87664,"left"
7463,149260,-1365.89552,"left"
7464,149280,-1365.914,"left"
7465,149300,-1365.8512,"left"
7466,149320,-1365.78528,"left"
7467,149340,-1365.76496,"left"
7468,149360,-1365.82232,"left"
7469,149380,-1365.95992,"left"
7470,149400,-1366.24584,"left"
7471,149420,-1366.60752,"left"
7472,149440,-1367.00936,"left"
7473,149460,-1367.37152,"left"
7474,149480,-1367.724,"left"
7475,149500,-1367.988,"left"
7476,149520,-1368.19504,"left"
7477,149540,-1368.31528,"left"
7478,149560,-1368.4512,"left"
7479,149580,-1368.51552,"left"
7480,149600,-1368.58064,"left"
7481,149620,-1368.62368,"left"
7482,149640,-1368.78064,"left"
7483,149660,-1368.93768,"left"
7484,149680,-1369.158,"left"
7485,149700,-1369.38744,"left"
7486,149720,-1369.64096,"left"
7487,149740,-1369.6508,"left"
7488,149760,-1369.51256,"left"
7489,149780,-1369.22736,"left"
7490,149800,-1368.90008,"left"
7491,149820,-1368.54232,"left"
7492,149840,-1368.42456,"left"
7493,149860,-1368.45872,"left"
7494,149880,-1368.66376,"left"
7495,149900,-1368.83456,"left"
7496,149920,-1368.9424,"left"
7497,149940,-1368.83376,"left"
7498,149960,-1368.55976,"left"
7499,149980,-1368.02312,"left"
7500,150000,-1367.40064,"left"
7501,150020,-1366.73856,"left"
7502,150040,-1366.1164,"left"
7503,150060,-1365.58848,"left"
7504,150080,-1365.27216,"left"
7505,150100,-1365.18368,"left"
7506,150120,-1365.2972,"left"
7507,150140,-1365.57472,"left"
7508,150160,-1365.93328,"left"
7509,150180,-1366.34304,"left"
7510,150200,-1366.67256,"left"
7511,150220,-1366.9096,"left"
7512,150240,-1367.08744,"left"
7513,150260,-1367.23184,"left"
7514,150280,-1367.27648,"left"
7515,150300,-1367.30576,"left"
7516,150320,-1367.34208,"left"
7517,150340,-1367.34328,"left"
7518,150360,-1367.32296,"left"
7519,150380,-1367.33696,"left"
7520,150400,-1367.36856,"left"
