"frame","time_ms","z","hand"
5566,111320,-1365.21432,"left"
5567,111340,-1365.10944,"left"
5568,111360,-1364.89712,"left"
5569,111380,-1364.62136,"left"
5570,111400,-1364.26664,"left"
5571,111420,-1363.91376,"left"
5572,111440,-1363.61936,"left"
5573,111460,-1363.44784,"left"
5574,111480,-1363.34592,"left"
5575,111500,-1363.3644,"left"
5576,111520,-1363.40624,"left"
5577,111540,-1363.46968,"left"
5578,111560,-1363.482,"left"
5579,111580,-1363.49064,"left"
5580,111600,-1363.43048,"left"
5581,111620,-1363.36408,"left"
5582,111640,-1363.27664,"left"
5583,111660,-1363.20672,"left"
5584,111680,-1363.13992,"left"
5585,111700,-1363.10712,"left"
5586,111720,-1363.07744,"left"
5587,111740,-1363.04768,"left"
5588,111760,-1363.00496,"left"
5589,111780,-1362.93528,"left"
5590,111800,-1362.85696,"left"
5591,111820,-1362.80248,"left"
5592,111840,-1362.8004,"left"
5593,111860,-1362.85536,"left"
5594,111880,-1362.97984,"left"
5595,111900,-1363.1356,"left"
5596,111920,-1363.30144,"left"
5597,111940,-1363.42856,"left"
5598,111960,-1363.51344,"left"
5599,111980,-1363.54112,"left"
5600,112000,-1363.5328,"left"
5601,112020,-1363.47208,"left"
5602,112040,-1363.41712,"left"
5603,112060,-1363.37104,"left"
5604,112080,-1363.354,"left"
5605,112100,-1363.35848,"left"
5606,112120,-1363.41832,"left"
5607,112140,-1363.47464,"left"
5608,112160,-1363.52288,"left"
5609,112180,-1363.542,"left"
5610,112200,-1363.55408,"left"
5611,112220,-1363.5448,"left"
5612,112240,-1363.57224,"left"
5613,112260,-1363.65272,"left"
5614,112280,-1363.8156,"left"
5615,112300,-1364.02968,"left"
5616,112320,-1364.2628,"left"
5617,112340,-1364.45464,"left"
5618,112360,-1364.57984,"left"
5619,112380,-1364.61576,"left"
5620,112400,-1364.58256,"left"
5621,112420,-1364.53872,"left"
5622,112440,-1364.52272,"left"
5623,112460,-1364.54504,"left"
5624,112480,-1364.57848,"left"
5625,112500,-1364.58944,"left"
5626,112520,-1364.5308,"left"
5627,112540,-1364.37872,"left"
5628,112560,-1364.12832,"left"
5629,112580,-1363.84568,"left"
5630,112600,-1363.576,"left"
5631,112620,-1363.34992,"left"
5632,112640,-1363.21344,"left"
5633,112660,-1363.18464,"left"
5634,112680,-1363.21888,"left"
5635,112700,-1363.3024,"left"
5636,112720,-1363.42952,"left"
5637,112740,-1363.55416,"left"
5638,112760,-1363.65056,"left"
5639,112780,-1363.73064,"left"
5640,112800,-1363.77384,"left"
5641,112820,-1363.74032,"left"
5642,112840,-1363.64656,"left"
5643,112860,-1363.52912,"left"
5644,112880,-1363.37904,"left"
5645,112900,-1363.22936,"left"
5646,112920,-1363.14528,"left"
5647,112940,-1363.12112,"left"
5648,112960,-1363.12512,"left"
5649,112980,-1363.186,"left"
5650,113000,-1363.28,"left"
5651,113020,-1363.374,"left"
5652,113040,-1363.48168,"left"
5653,113060,-1363.6148,"left"
5654,113080,-1363.72488,"left"
5655,113100,-1363.8176,"left"
5656,113120,-1363.89928,"left"
5657,113140,-1363.95888,"left"
5658,113160,-1363.97688,"left"
5659,113180,-1363.9924,"left"
5660,113200,-1363.99896,"left"
5661,113220,-1363.96648,"left"
5662,113240,-1363.89384,"left"
5663,113260,-1363.81168,"left"
5664,113280,-1363.70992,"left"
5665,113300,-1363.61384,"left"
5666,113320,-1363.56328,"left"
5667,113340,-1363.56344,"left"
5668,113360,-1363.59976,"left"
5669,113380,-1363.66792,"left"
5670,113400,-1363.75016,"left"
5671,113420,-1363.8388,"left"
5672,113440,-1363.94056,"left"
5673,113460,-1364.064,"left"
5674,113480,-1364.21776,"left"
5675,113500,-1364.37936,"left"
5676,113520,-1364.5212,"left"
5677,113540,-1364.62384,"left"
5678,113560,-1364.66824,"left"
5679,113580,-1364.63808,"left"
5680,113600,-1364.56624,"left"
5681,113620,-1364.49104,"left"
5682,113640,-1364.42168,"left"
5683,113660,-1364.3768,"left"
5684,113680,-1364.38216,"left"
5685,113700,-1364.44952,"left"
5686,113720,-1364.56736,"left"
5687,113740,-1364.75416,"left"
5688,113760,-1365.01088,"left"
5689,113780,-1365.31424,"left"
5690,113800,-1365.61976,"left"
5691,113820,-1365.908,"left"
5692,113840,-1366.1516,"left"
5693,113860,-1366.31936,"left"
5694,113880,-1366.402,"left"
5695,113900,-1366.42024,"left"
5696,113920,-1366.38552,"left"
5697,113940,-1366.29072,"left"
5698,113960,-1366.16672,"left"
5699,113980,-1366.04024,"left"
5700,114000,-1365.88344,"left"
5701,114020,-1365.69248,"left"
5702,114040,-1365.48544,"left"
5703,114060,-1365.25616,"left"
5704,114080,-1364.99032,"left"
5705,114100,-1364.76176,"left"
5706,114120,-1364.5776,"left"
5707,114140,-1364.4556,"left"
5708,114160,-1364.37944,"left"
5709,114180,-1364.36568,"left"
5710,114200,-1364.34776,"left"
5711,114220,-1364.3364,"left"
5712,114240,-1364.3004,"left"
5713,114260,-1364.26632,"left"
5714,114280,-1364.21144,"left"
5715,114300,-1364.1612,"left"
5716,114320,-1364.09016,"left"
5717,114340,-1364.0256,"left"
5718,114360,-1363.95976,"left"
