"frame","time_ms","z","hand"
20755,415100,-317.8726,"left"
20756,415120,-317.686192,"left"
20757,415140,-317.560408,"left"
20758,415160,-317.471312,"left"
20759,415180,-317.411312,"left"
20760,415200,-317.432512,"left"
20761,415220,-317.53384,"left"
20762,415240,-317.655272,"left"
20763,415260,-317.805432,"left"
20764,415280,-317.96216,"left"
20765,415300,-318.095896,"left"
20766,415320,-318.178688,"left"
20767,415340,-318.263512,"left"
20768,415360,-318.36396,"left"
20769,415380,-318.504264,"left"
20770,415400,-318.674272,"left"
20771,415420,-318.874256,"left"
20772,415440,-319.070216,"left"
20773,415460,-319.237368,"left"
20774,415480,-319.361296,"left"
20775,415500,-319.451024,"left"
20776,415520,-319.515808,"left"
20777,415540,-319.56776,"left"
20778,415560,-319.616712,"left"
20779,415580,-319.65032,"left"
20780,415600,-319.650448,"left"
20781,415620,-319.61344,"left"
20782,415640,-319.534976,"left"
20783,415660,-319.404144,"left"
20784,415680,-319.245032,"left"
20785,415700,-319.12664,"left"
20786,415720,-319.039216,"left"
20787,415740,-318.979576,"left"
20788,415760,-318.979856,"left"
20789,415780,-318.985576,"left"
20790,415800,-318.857432,"left"
20791,415820,-318.607016,"left"
20792,415840,-318.192832,"left"
20793,415860,-317.479688,"left"
20794,415880,-316.412088,"left"
20795,415900,-314.908928,"left"
20796,415920,-312.721432,"left"
20797,415940,-309.659344,"left"
20798,415960,-305.695352,"left"
20799,415980,-300.86776,"left"
20800,416000,-295.424872,"left"
20801,416020,-289.932168,"left"
20802,416040,-285.42144,"left"
20803,416060,-283.01796,"left"
20804,416080,-284.469032,"left"
20805,416100,-292.252848,"left"
20806,416120,-310.566264,"left"
20807,416140,-342.24576,"left"
20808,416160,-389.579616,"left"
20809,416180,-452.870784,"left"
20810,416200,-530.992032,"left"
20811,416220,-617.123992,"left"
20812,416240,-705.590592,"left"
20813,416260,-790.93368,"left"
20814,416280,-868.973384,"left"
20815,416300,-933.326448,"left"
20816,416320,-982.145264,"left"
20817,416340,-1013.498104,"left"
20818,416360,-1026.026968,"left"
20819,416380,-1019.108904,"left"
20820,416400,-998.382072,"left"
20821,416420,-967.208576,"left"
20822,416440,-928.400464,"left"
20823,416460,-883.757984,"left"
20824,416480,-833.835648,"left"
20825,416500,-773.944168,"left"
20826,416520,-705.227304,"left"
20827,416540,-630.1096,"left"
20828,416560,-552.388632,"left"
20829,416580,-476.989856,"left"
20830,416600,-411.980608,"left"
20831,416620,-359.24564,"left"
20832,416640,-319.3506,"left"
20833,416660,-291.789808,"left"
20834,416680,-275.331616,"left"
20835,416700,-266.609896,"left"
20836,416720,-263.87404,"left"
20837,416740,-265.600752,"left"
20838,416760,-270.435864,"left"
20839,416780,-276.85352,"left"
20840,416800,-284.021536,"left"
20841,416820,-291.188304,"left"
20842,416840,-297.831152,"left"
20843,416860,-303.467856,"left"
20844,416880,-307.995312,"left"
20845,416900,-311.3258,"left"
20846,416920,-313.578952,"left"
20847,416940,-314.839952,"left"
20848,416960,-315.335872,"left"
20849,416980,-315.192416,"left"
20850,417000,-314.626904,"left"
20851,417020,-313.797736,"left"
20852,417040,-312.855008,"left"
20853,417060,-311.907848,"left"
20854,417080,-311.078224,"left"
20855,417100,-310.45732,"left"
20856,417120,-310.086056,"left"
20857,417140,-309.997072,"left"
20858,417160,-310.161584,"left"
20859,417180,-310.53256,"left"
20860,417200,-310.996128,"left"
20861,417220,-311.48564,"left"
20862,417240,-311.947848,"left"
20863,417260,-312.344752,"left"
20864,417280,-312.66712,"left"
20865,417300,-312.93052,"left"
20866,417320,-313.137912,"left"
20867,417340,-313.2846,"left"
20868,417360,-313.390576,"left"
20869,417380,-313.440864,"left"
20870,417400,-313.429992,"left"
20871,417420,-313.348952,"left"
20872,417440,-313.186192,"left"
20873,417460,-312.930896,"left"
20874,417480,-312.596608,"left"
20875,417500,-312.218736,"left"
20876,417520,-311.854328,"left"
20877,417540,-311.570816,"left"
20878,417560,-311.394024,"left"
20879,417580,-311.349064,"left"
20880,417600,-311.429416,"left"
20881,417620,-311.565912,"left"
20882,417640,-311.687752,"left"
20883,417660,-311.790216,"left"
20884,417680,-311.845312,"left"
20885,417700,-311.845368,"left"
20886,417720,-311.849128,"left"
20887,417740,-311.884784,"left"
20888,417760,-311.928504,"left"
20889,417780,-311.997424,"left"
20890,417800,-312.077904,"left"
20891,417820,-312.120448,"left"
20892,417840,-312.13156,"left"
20893,417860,-312.120008,"left"
20894,417880,-312.069288,"left"
20895,417900,-311.98384,"left"
20896,417920,-311.920272,"left"
20897,417940,-311.878448,"left"
