"frame","time_ms","z","hand"
12793,255860,-1366.45736,"left"
12794,255880,-1366.78944,"left"
12795,255900,-1367.11688,"left"
12796,255920,-1367.43992,"left"
12797,255940,-1367.72536,"left"
12798,255960,-1367.94368,"left"
12799,255980,-1368.13872,"left"
12800,256000,-1368.30128,"left"
12801,256020,-1368.42216,"left"
12802,256040,-1368.52216,"left"
12803,256060,-1368.59904,"left"
12804,256080,-1368.62576,"left"
12805,256100,-1368.63024,"left"
12806,256120,-1368.62072,"left"
12807,256140,-1368.598,"left"
12808,256160,-1368.5836,"left"
12809,256180,-1368.58912,"left"
12810,256200,-1368.59464,"left"
12811,256220,-1368.59248,"left"
12812,256240,-1368.57192,"left"
12813,256260,-1368.49824,"left"
12814,256280,-1368.35032,"left"
12815,256300,-1368.15312,"left"
12816,256320,-1367.90496,"left"
12817,256340,-1367.61672,"left"
12818,256360,-1367.31048,"left"
12819,256380,-1367.02488,"left"
12820,256400,-1366.73448,"left"
12821,256420,-1366.47792,"left"
12822,256440,-1366.2536,"left"
12823,256460,-1366.09328,"left"
12824,256480,-1365.95816,"left"
12825,256500,-1365.85984,"left"
12826,256520,-1365.75128,"left"
12827,256540,-1365.64368,"left"
12828,256560,-1365.48024,"left"
12829,256580,-1365.30104,"left"
12830,256600,-1365.10544,"left"
12831,256620,-1364.922,"left"
12832,256640,-1364.7384,"left"
12833,256660,-1364.6096,"left"
12834,256680,-1364.52328,"left"
12835,256700,-1364.49984,"left"
12836,256720,-1364.51848,"left"
12837,256740,-1364.59256,"left"
12838,256760,-1364.69704,"left"
12839,256780,-1364.82424,"left"
12840,256800,-1364.95384,"left"
12841,256820,-1365.12688,"left"
12842,256840,-1365.32192,"left"
12843,256860,-1365.52576,"left"
12844,256880,-1365.72848,"left"
12845,256900,-1365.9304,"left"
12846,256920,-1366.08976,"left"
12847,256940,-1366.18808,"left"
12848,256960,-1366.23728,"left"
12849,256980,-1366.25672,"left"
12850,257000,-1366.21848,"left"
12851,257020,-1366.10912,"left"
12852,257040,-1366.0232,"left"
12853,257060,-1365.97928,"left"
12854,257080,-1365.9664,"left"
12855,257100,-1366.05128,"left"
12856,257120,-1366.28416,"left"
12857,257140,-1366.53272,"left"
12858,257160,-1366.71968,"left"
12859,257180,-1366.81024,"left"
12860,257200,-1366.70784,"left"
12861,257220,-1366.36872,"left"
12862,257240,-1365.86688,"left"
12863,257260,-1365.29808,"left"
12864,257280,-1364.7152,"left"
12865,257300,-1364.22408,"left"
12866,257320,-1363.83432,"left"
12867,257340,-1363.5904,"left"
12868,257360,-1363.46736,"left"
12869,257380,-1363.46112,"left"
12870,257400,-1363.53616,"left"
12871,257420,-1363.74216,"left"
12872,257440,-1364.00472,"left"
12873,257460,-1364.3092,"left"
12874,257480,-1364.65824,"left"
12875,257500,-1365.01712,"left"
12876,257520,-1365.34216,"left"
12877,257540,-1365.64528,"left"
12878,257560,-1365.93776,"left"
12879,257580,-1366.19496,"left"
12880,257600,-1366.4496,"left"
12881,257620,-1366.67448,"left"
12882,257640,-1366.88896,"left"
12883,257660,-1367.05208,"left"
12884,257680,-1367.16296,"left"
12885,257700,-1367.20072,"left"
12886,257720,-1367.21704,"left"
12887,257740,-1367.1944,"left"
12888,257760,-1367.17696,"left"
12889,257780,-1367.17648,"left"
12890,257800,-1367.20528,"left"
12891,257820,-1367.22248,"left"
12892,257840,-1367.22824,"left"
12893,257860,-1367.20104,"left"
12894,257880,-1367.14856,"left"
12895,257900,-1367.07008,"left"
12896,257920,-1367.02424,"left"
12897,257940,-1367.02888,"left"
12898,257960,-1367.13024,"left"
12899,257980,-1367.30056,"left"
12900,258000,-1367.55576,"left"
12901,258020,-1367.8092,"left"
12902,258040,-1368.0788,"left"
12903,258060,-1368.27912,"left"
12904,258080,-1368.446,"left"
12905,258100,-1368.52528,"left"
12906,258120,-1368.5812,"left"
12907,258140,-1368.53848,"left"
12908,258160,-1368.4644,"left"
12909,258180,-1368.32304,"left"
12910,258200,-1368.1704,"left"
12911,258220,-1367.99048,"left"
12912,258240,-1367.85008,"left"
12913,258260,-1367.73928,"left"
12914,258280,-1367.68488,"left"
12915,258300,-1367.66736,"left"
12916,258320,-1367.6844,"left"
12917,258340,-1367.71688,"left"
12918,258360,-1367.73624,"left"
12919,258380,-1367.74488,"left"
12920,258400,-1367.75336,"left"
12921,258420,-1367.78416,"left"
12922,258440,-1367.85616,"left"
12923,258460,-1368.0088,"left"
12924,258480,-1368.23072,"left"
12925,258500,-1368.49408,"left"
12926,258520,-1368.75824,"left"
12927,258540,-1368.96808,"left"
12928,258560,-1369.09272,"left"
12929,258580,-1369.12336,"left"
12930,258600,-1369.10528,"left"
12931,258620,-1369.05776,"left"
12932,258640,-1369.04328,"left"
12933,258660,-1369.07384,"left"
12934,258680,-1369.1584,"left"
12935,258700,-1369.25128,"left"
12936,258720,-1369.34352,"left"
12937,258740,-1369.40016,"left"
12938,258760,-1369.40856,"left"
12939,258780,-1369.35952,"left"
12940,258800,-1369.26088,"left"
12941,258820,-1369.12104,"left"
12942,258840,-1368.93944,"left"
12943,258860,-1368.75456,"left"
12944,258880,-1368.58536,"left"
12945,258900,-1368.4512,"left"
12946,258920,-1368.372,"left"
12947,258940,-1368.37512,"left"
12948,258960,-1368.4084,"left"
12949,258980,-1368.46248,"left"
12950,259000,-1368.53056,"left"
12951,259020,-1368.58496,"left"
12952,259040,-1368.58864,"left"
12953,259060,-1368.57384,"left"
12954,259080,-1368.54056,"left"
12955,259100,-1368.48624,"left"
12956,259120,-1368.40952,"left"
12957,259140,-1368.36008,"left"
12958,259160,-1368.32328,"left"
12959,259180,-1368.30968,"left"
12960,259200,-1368.30984,"left"
12961,259220,-1368.3624,"left"
12962,259240,-1368.4056,"left"
12963,259260,-1368.45544,"left"
12964,259280,-1368.48048,"left"
12965,259300,-1368.52032,"left"
12966,259320,-1368.5076,"left"
12967,259340,-1368.48632,"left"
12968,259360,-1368.46528,"left"
12969,259380,-1368.47752,"left"
12970,259400,-1368.46288,"left"
12971,259420,-1368.50072,"left"
12972,259440,-1368.56568,"left"
12973,259460,-1368.62632,"left"
12974,259480,-1368.66704,"left"
12975,259500,-1368.74184,"left"
12976,259520,-1368.78648,"left"
12977,259540,-1368.8356,"left"
12978,259560,-1368.89664,"left"
12979,259580,-1368.96776,"left"
12980,259600,-1369.00944,"left"
12981,259620,-1369.02176,"left"
12982,259640,-1368.96848,"left"
12983,259660,-1368.83336,"left"
12984,259680,-1368.6368,"left"
12985,259700,-1368.40112,"left"
12986,259720,-1368.20336,"left"
12987,259740,-1368.07232,"left"
12988,259760,-1368.08552,"left"
12989,259780,-1368.2316,"left"
12990,259800,-1368.51232,"left"
12991,259820,-1368.8588,"left"
12992,259840,-1369.25424,"left"
12993,259860,-1369.62608,"left"
12994,259880,-1370.00576,"left"
12995,259900,-1370.36416,"left"
12996,259920,-1370.69488,"left"
12997,259940,-1370.9796,"left"
12998,259960,-1371.21624,"left"
12999,259980,-1371.28488,"left"
13000,260000,-1371.22696,"left"
13001,260020,-1371.11112,"left"
13002,260040,-1371.01392,"left"
13003,260060,-1371.01168,"left"
13004,260080,-1371.27376,"left"
13005,260100,-1371.82624,"left"
13006,260120,-1372.60432,"left"
13007,260140,-1373.51656,"left"
13008,260160,-1374.4688,"left"
13009,260180,-1375.33048,"left"
13010,260200,-1375.98872,"left"
13011,260220,-1376.45264,"left"
13012,260240,-1376.738,"left"
13013,260260,-1376.86584,"left"
13014,260280,-1376.85464,"left"
13015,260300,-1376.78344,"left"
13016,260320,-1376.6416,"left"
13017,260340,-1376.62736,"left"
13018,260360,-1376.906,"left"
13019,260380,-1377.72896,"left"
13020,260400,-1379.23152,"left"
13021,260420,-1381.59368,"left"
13022,260440,-1384.31728,"left"
13023,260460,-1386.99392,"left"
13024,260480,-1389.03464,"left"
13025,260500,-1390.166,"left"
13026,260520,-1389.91864,"left"
13027,260540,-1388.7644,"left"
13028,260560,-1387.03552,"left"
13029,260580,-1385.46256,"left"
13030,260600,-1383.9364,"left"
13031,260620,-1382.89464,"left"
13032,260640,-1382.15344,"left"
13033,260660,-1381.90344,"left"
13034,260680,-1381.3556,"left"
13035,260700,-1380.9732,"left"
13036,260720,-1380.7692,"left"
13037,260740,-1380.82216,"left"
13038,260760,-1380.42792,"left"
13039,260780,-1380.42344,"left"
13040,260800,-1380.5528,"left"
