"frame","time_ms","z","hand"
18838,376760,-1365.3176,"left"
18839,376780,-1365.2348,"left"
18840,376800,-1365.33616,"left"
18841,376820,-1365.78648,"left"
18842,376840,-1366.61256,"left"
18843,376860,-1367.8696,"left"
18844,376880,-1369.32344,"left"
18845,376900,-1370.88848,"left"
18846,376920,-1372.36032,"left"
18847,376940,-1373.62376,"left"
18848,376960,-1374.70672,"left"
18849,376980,-1375.61624,"left"
18850,377000,-1376.29448,"left"
18851,377020,-1376.78592,"left"
18852,377040,-1377.09096,"left"
18853,377060,-1377.16248,"left"
18854,377080,-1377.03104,"left"
18855,377100,-1376.86032,"left"
18856,377120,-1376.69104,"left"
18857,377140,-1376.66944,"left"
18858,377160,-1376.82488,"left"
18859,377180,-1377.16584,"left"
18860,377200,-1377.5116,"left"
18861,377220,-1377.83976,"left"
18862,377240,-1377.98168,"left"
18863,377260,-1377.92496,"left"
18864,377280,-1377.67616,"left"
18865,377300,-1377.43416,"left"
18866,377320,-1377.2216,"left"
18867,377340,-1377.17928,"left"
18868,377360,-1377.33048,"left"
18869,377380,-1377.67232,"left"
18870,377400,-1378.05264,"left"
18871,377420,-1378.45224,"left"
18872,377440,-1378.7996,"left"
18873,377460,-1379.1216,"left"
18874,377480,-1379.39496,"left"
18875,377500,-1379.67064,"left"
18876,377520,-1379.95008,"left"
18877,377540,-1380.21704,"left"
18878,377560,-1380.37824,"left"
18879,377580,-1380.4824,"left"
18880,377600,-1380.476,"left"
18881,377620,-1380.3796,"left"
18882,377640,-1380.22064,"left"
18883,377660,-1380.07848,"left"
18884,377680,-1379.88856,"left"
18885,377700,-1379.7592,"left"
18886,377720,-1379.66432,"left"
18887,377740,-1379.61552,"left"
18888,377760,-1379.57416,"left"
18889,377780,-1379.60216,"left"
18890,377800,-1379.61184,"left"
18891,377820,-1379.63056,"left"
18892,377840,-1379.64384,"left"
18893,377860,-1379.68304,"left"
18894,377880,-1379.70304,"left"
18895,377900,-1379.74272,"left"
18896,377920,-1379.76776,"left"
18897,377940,-1379.78912,"left"
18898,377960,-1379.76848,"left"
18899,377980,-1379.72944,"left"
18900,378000,-1379.66344,"left"
18901,378020,-1379.58768,"left"
18902,378040,-1379.47344,"left"
18903,378060,-1379.34072,"left"
18904,378080,-1379.20072,"left"
18905,378100,-1379.0312,"left"
18906,378120,-1378.84688,"left"
18907,378140,-1378.66384,"left"
18908,378160,-1378.48544,"left"
18909,378180,-1378.2536,"left"
18910,378200,-1377.992,"left"
18911,378220,-1377.67768,"left"
18912,378240,-1377.31976,"left"
18913,378260,-1376.9228,"left"
18914,378280,-1376.58536,"left"
18915,378300,-1376.34248,"left"
18916,378320,-1376.2332,"left"
18917,378340,-1376.29112,"left"
18918,378360,-1376.51384,"left"
18919,378380,-1376.79704,"left"
18920,378400,-1377.10192,"left"
18921,378420,-1377.37136,"left"
18922,378440,-1377.50248,"left"
18923,378460,-1377.50536,"left"
18924,378480,-1377.44184,"left"
18925,378500,-1377.29736,"left"
18926,378520,-1377.06696,"left"
18927,378540,-1376.8896,"left"
18928,378560,-1376.70384,"left"
18929,378580,-1376.48664,"left"
18930,378600,-1376.21328,"left"
18931,378620,-1375.98856,"left"
18932,378640,-1375.65088,"left"
18933,378660,-1375.28808,"left"
18934,378680,-1374.92752,"left"
18935,378700,-1374.67064,"left"
18936,378720,-1374.42024,"left"
18937,378740,-1374.24888,"left"
18938,378760,-1374.00176,"left"
18939,378780,-1373.66816,"left"
18940,378800,-1373.05504,"left"
18941,378820,-1372.17744,"left"
18942,378840,-1371.19608,"left"
18943,378860,-1370.40656,"left"
18944,378880,-1369.76192,"left"
18945,378900,-1369.50648,"left"
18946,378920,-1369.61368,"left"
18947,378940,-1369.7552,"left"
18948,378960,-1369.6256,"left"
18949,378980,-1369.26416,"left"
18950,379000,-1368.6348,"left"
18951,379020,-1367.83696,"left"
18952,379040,-1367.24784,"left"
18953,379060,-1367.12784,"left"
18954,379080,-1367.5556,"left"
18955,379100,-1368.42864,"left"
18956,379120,-1369.71832,"left"
18957,379140,-1371.17392,"left"
18958,379160,-1372.53264,"left"
18959,379180,-1373.68504,"left"
18960,379200,-1374.58184,"left"
18961,379220,-1375.13224,"left"
18962,379240,-1375.3356,"left"
18963,379260,-1375.384,"left"
18964,379280,-1375.2736,"left"
18965,379300,-1375.12872,"left"
18966,379320,-1375.01576,"left"
18967,379340,-1375.00232,"left"
18968,379360,-1374.9936,"left"
18969,379380,-1375.06792,"left"
18970,379400,-1375.1736,"left"
18971,379420,-1375.32784,"left"
18972,379440,-1375.52344,"left"
18973,379460,-1375.7872,"left"
18974,379480,-1376.028,"left"
18975,379500,-1376.11312,"left"
18976,379520,-1375.92216,"left"
18977,379540,-1375.36264,"left"
18978,379560,-1374.38008,"left"
18979,379580,-1372.95048,"left"
18980,379600,-1371.33784,"left"
18981,379620,-1369.64136,"left"
18982,379640,-1368.05032,"left"
18983,379660,-1366.6164,"left"
18984,379680,-1365.50448,"left"
18985,379700,-1364.58,"left"
18986,379720,-1363.91944,"left"
18987,379740,-1363.41296,"left"
18988,379760,-1363.22232,"left"
18989,379780,-1363.2624,"left"
18990,379800,-1363.5576,"left"
18991,379820,-1364.00032,"left"
