"frame","time_ms","z","hand"
8603,172060,-1360.16568,"left"
8604,172080,-1360.23216,"left"
8605,172100,-1360.26488,"left"
8606,172120,-1360.272,"left"
8607,172140,-1360.26744,"left"
8608,172160,-1360.26008,"left"
8609,172180,-1360.25504,"left"
8610,172200,-1360.25232,"left"
8611,172220,-1360.25472,"left"
8612,172240,-1360.25264,"left"
8613,172260,-1360.24848,"left"
8614,172280,-1360.2396,"left"
8615,172300,-1360.22896,"left"
8616,172320,-1360.2136,"left"
8617,172340,-1360.2132,"left"
8618,172360,-1360.2244,"left"
8619,172380,-1360.24832,"left"
8620,172400,-1360.27952,"left"
8621,172420,-1360.3196,"left"
8622,172440,-1360.34768,"left"
8623,172460,-1360.3656,"left"
8624,172480,-1360.37128,"left"
8625,172500,-1360.3696,"left"
8626,172520,-1360.35848,"left"
8627,172540,-1360.34872,"left"
8628,172560,-1360.3392,"left"
8629,172580,-1360.33352,"left"
8630,172600,-1360.32872,"left"
8631,172620,-1360.32832,"left"
8632,172640,-1360.32944,"left"
8633,172660,-1360.33392,"left"
8634,172680,-1360.3396,"left"
8635,172700,-1360.34872,"left"
8636,172720,-1360.35808,"left"
8637,172740,-1360.36816,"left"
8638,172760,-1360.37688,"left"
8639,172780,-1360.38352,"left"
8640,172800,-1360.38512,"left"
8641,172820,-1360.38328,"left"
8642,172840,-1360.37192,"left"
8643,172860,-1360.35296,"left"
8644,172880,-1360.32736,"left"
8645,172900,-1360.29832,"left"
8646,172920,-1360.26552,"left"
8647,172940,-1360.2464,"left"
8648,172960,-1360.23992,"left"
8649,172980,-1360.2468,"left"
8650,173000,-1360.26488,"left"
8651,173020,-1360.29456,"left"
8652,173040,-1360.31896,"left"
8653,173060,-1360.3388,"left"
8654,173080,-1360.3532,"left"
8655,173100,-1360.36336,"left"
8656,173120,-1360.3684,"left"
8657,173140,-1360.37352,"left"
8658,173160,-1360.37696,"left"
8659,173180,-1360.37888,"left"
8660,173200,-1360.37808,"left"
8661,173220,-1360.37552,"left"
8662,173240,-1360.37152,"left"
8663,173260,-1360.36808,"left"
8664,173280,-1360.36432,"left"
8665,173300,-1360.36136,"left"
8666,173320,-1360.35744,"left"
8667,173340,-1360.35264,"left"
8668,173360,-1360.34048,"left"
8669,173380,-1360.31816,"left"
8670,173400,-1360.28488,"left"
8671,173420,-1360.24296,"left"
8672,173440,-1360.19336,"left"
8673,173460,-1360.15272,"left"
8674,173480,-1360.13344,"left"
8675,173500,-1360.13728,"left"
8676,173520,-1360.16264,"left"
8677,173540,-1360.20808,"left"
8678,173560,-1360.25616,"left"
8679,173580,-1360.29464,"left"
8680,173600,-1360.31992,"left"
8681,173620,-1360.3344,"left"
8682,173640,-1360.34192,"left"
8683,173660,-1360.35136,"left"
8684,173680,-1360.36928,"left"
8685,173700,-1360.40104,"left"
8686,173720,-1360.44728,"left"
8687,173740,-1360.50184,"left"
8688,173760,-1360.56432,"left"
8689,173780,-1360.6296,"left"
8690,173800,-1360.69624,"left"
8691,173820,-1360.75936,"left"
8692,173840,-1360.81936,"left"
8693,173860,-1360.87192,"left"
8694,173880,-1360.90664,"left"
8695,173900,-1360.91936,"left"
8696,173920,-1360.91088,"left"
8697,173940,-1360.88624,"left"
8698,173960,-1360.84672,"left"
8699,173980,-1360.82592,"left"
8700,174000,-1360.82472,"left"
8701,174020,-1360.8448,"left"
8702,174040,-1360.89272,"left"
8703,174060,-1360.96968,"left"
8704,174080,-1361.0552,"left"
8705,174100,-1361.164,"left"
8706,174120,-1361.30744,"left"
8707,174140,-1361.466,"left"
8708,174160,-1361.65048,"left"
8709,174180,-1361.84136,"left"
8710,174200,-1362.01232,"left"
8711,174220,-1362.13304,"left"
8712,174240,-1362.2132,"left"
8713,174260,-1362.22304,"left"
8714,174280,-1362.19736,"left"
8715,174300,-1362.14216,"left"
8716,174320,-1362.09112,"left"
8717,174340,-1362.04512,"left"
8718,174360,-1362.03848,"left"
8719,174380,-1362.05656,"left"
8720,174400,-1362.12248,"left"
8721,174420,-1362.22424,"left"
8722,174440,-1362.36064,"left"
8723,174460,-1362.51832,"left"
8724,174480,-1362.67776,"left"
8725,174500,-1362.82232,"left"
8726,174520,-1362.9228,"left"
8727,174540,-1362.9976,"left"
8728,174560,-1363.04024,"left"
8729,174580,-1363.09328,"left"
8730,174600,-1363.15808,"left"
8731,174620,-1363.2908,"left"
8732,174640,-1363.44184,"left"
8733,174660,-1363.60072,"left"
8734,174680,-1363.7272,"left"
8735,174700,-1363.7904,"left"
8736,174720,-1363.74216,"left"
8737,174740,-1363.62088,"left"
8738,174760,-1363.44576,"left"
8739,174780,-1363.21096,"left"
8740,174800,-1362.97768,"left"
8741,174820,-1362.7604,"left"
8742,174840,-1362.57056,"left"
8743,174860,-1362.39888,"left"
8744,174880,-1362.28912,"left"
8745,174900,-1362.20568,"left"
8746,174920,-1362.16104,"left"
8747,174940,-1362.13304,"left"
8748,174960,-1362.13568,"left"
8749,174980,-1362.16112,"left"
8750,175000,-1362.19624,"left"
8751,175020,-1362.24648,"left"
8752,175040,-1362.29752,"left"
8753,175060,-1362.35448,"left"
8754,175080,-1362.3744,"left"
8755,175100,-1362.3888,"left"
