"","MT$time_ms","MT$y_index_right","hand"
"1",20,-1386.26,"right"
"2",40,-1386.16,"right"
"3",60,-1386.23,"right"
"4",80,-1386.62,"right"
"5",100,-1387.55,"right"
"6",120,-1389.24,"right"
"7",140,-1390.54,"right"
"8",160,-1391.9,"right"
"9",180,-1392.03,"right"
"10",200,-1392.07,"right"
"11",220,-1391.81,"right"
"12",240,-1392.77,"right"
"13",260,-1392.96,"right"
"14",280,-1392.78,"right"
"15",300,-1392.8,"right"
"16",320,-1392.94,"right"
"17",340,-1392.85,"right"
"18",360,-1393.42,"right"
"19",380,-1393.28,"right"
"20",400,-1394.37,"right"
"21",420,-1394.27,"right"
"22",440,-1395.71,"right"
"23",460,-1395.34,"right"
"24",480,-1394.19,"right"
"25",500,-1393.78,"right"
"26",520,-1395.94,"right"
"27",540,-1396.78,"right"
"28",560,-1394.82,"right"
"29",580,-1393.77,"right"
"30",600,-1396.62,"right"
"31",620,-1396.42,"right"
"32",640,-1397.04,"right"
"33",660,-1395.71,"right"
"34",680,-1397.14,"right"
"35",700,-1397.99,"right"
"36",720,-1399.24,"right"
"37",740,-1399.54,"right"
"38",760,-1398.28,"right"
"39",780,-1400.99,"right"
"40",800,-1400.09,"right"
"41",820,-1399.39,"right"
"42",840,-1402.79,"right"
"43",860,-1400.55,"right"
"44",880,-1401.83,"right"
"45",900,-1402.1,"right"
"46",920,-1402.01,"right"
"47",940,-1403.07,"right"
"48",960,-1402.6,"right"
"49",980,-1401.03,"right"
"50",1000,-1402.58,"right"
"51",1020,-1400.9,"right"
"52",1040,-1401.03,"right"
"53",1060,-1400.38,"right"
"54",1080,-1402.72,"right"
"55",1100,-1402.66,"right"
"56",1120,-1402.82,"right"
"57",1140,-1402.7,"right"
"58",1160,-1402.09,"right"
"59",1180,-1404.46,"right"
"60",1200,-1403.23,"right"
"61",1220,-1405.52,"right"
"62",1240,-1402.9,"right"
"63",1260,-1402.94,"right"
"64",1280,-1404.18,"right"
"65",1300,-1404.11,"right"
"66",1320,-1405.78,"right"
"67",1340,-1404.08,"right"
"68",1360,-1404.35,"right"
"69",1380,-1405.49,"right"
