"","time_ms","vertical_movement","hand","F0","envelope","syllable_duration","syllable_num","syllable_bs","syllable_name","STRESS_L2","STRESS_L1","stresstimeL2","stresstimeL1","stresstime","STRESS","F0_z","duration_z","envelope_z","stress_score","peakz"
"3",8,-1270.99429614165,NA,0,0,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",13,-1271.0035653926,NA,0,0,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",18,-1271.01482365312,NA,0,0,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",23,-1271.02822543618,NA,0,0,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",28,-1271.04382444904,NA,0,0,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",33,-1271.06159679851,NA,0,0,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",38,-1271.08151659527,NA,0,0,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",43,-1271.10359163505,NA,0,0,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",48,-1271.12833374221,NA,0,0.00731885821328454,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",53,-1271.15664274334,NA,0,0.0145163999170337,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",58,-1271.1894284458,NA,0,0.0141934222510128,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",63,-1271.22753556362,NA,0,0.01372088924765,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",68,-1271.27083482212,NA,0,0.0131304399570299,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",73,-1271.31844716811,NA,0,0.0124622601460978,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",78,-1271.36947426153,NA,0,0.0117615723332157,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",83,-1271.42311053045,NA,0,0.011064461736075,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",88,-1271.47993848932,NA,0,0.0103994406490906,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",93,-1271.54160920421,NA,0,0.00981320251926103,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",98,-1271.60980122808,NA,0,0.00934339813443017,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",103,-1271.68608909458,NA,0,0.008980253269044,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",108,-1271.77049090061,NA,0,0.00869891480711988,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",113,-1271.86182659503,NA,0,0.00849864694750779,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",118,-1271.95888530614,NA,0,0.00837622578920265,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",123,-1272.06049138125,NA,0,0.00831064077819853,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",128,-1272.16599614823,NA,0,0.0082940922018464,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",133,-1272.27515660565,NA,0,0.00832328989094921,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",138,-1272.38774018735,NA,0,0.00838234460479684,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",143,-1272.50343049043,NA,0,0.00847139279190025,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",148,-1272.62065666647,NA,0,0.0085979764133821,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",153,-1272.73688219236,NA,0,0.00875220752200859,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",158,-1272.84954570446,NA,0,0.00892872679955197,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",163,-1272.95618076701,NA,0,0.00913662783104019,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",168,-1273.05574134588,NA,0,0.00938031201668046,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",173,-1273.14827483493,NA,0,0.00965579758755239,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",178,-1273.2338567548,NA,0,0.0099525516668691,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",183,-1273.31247168151,NA,0,0.0102535034743156,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",188,-1273.38274339001,NA,0,0.0105319215534355,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",193,-1273.44224810794,NA,0,0.0107473053368898,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",198,-1273.48853511634,NA,0,0.0108639295118502,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",203,-1273.51929348696,NA,0,0.0108817534106643,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",208,-1273.53430397407,NA,0,0.010817074295124,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",213,-1273.53495751332,NA,0,0.0106639323870924,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",218,-1273.52268645982,NA,0,0.0104062260491043,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",223,-1273.49885590065,NA,0,0.0100526248214292,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",228,-1273.46382439371,NA,0,0.00962727694078738,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",233,-1273.41717566878,NA,0,0.0091558829726206,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",238,-1273.35847352436,NA,0,0.00867453826851864,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",243,-1273.28736703044,NA,0,0.00822650233038331,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",248,-1273.20478117109,NA,0,0.00785789885317573,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",253,-1273.11262313156,NA,0,0.00761301608891048,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",258,-1273.01282536273,NA,0,0.00751800042867449,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",263,-1272.90725979759,NA,0,0.00756303967971483,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",268,-1272.79689284194,NA,0,0.00771639330158601,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",273,-1272.68199382499,NA,0,0.00794906500376636,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",278,-1272.5628141447,NA,0,0.00823138141354217,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",283,-1272.43962537919,NA,0,0.0085354014277147,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",288,-1272.31300106114,NA,0,0.00884134820829584,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",293,-1272.18374716849,NA,0,0.00912584920647172,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",298,-1272.05267565846,NA,0,0.00936958449420008,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",303,-1271.92059556565,NA,0,0.00955307967480164,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",308,-1271.78827219349,NA,0,0.00966257327815177,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",313,-1271.65643718106,NA,0,0.00970479756961666,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",318,-1271.52582130146,NA,0,0.00970276314939911,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",323,-1271.39714737821,NA,0,0.00967693330770525,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",328,-1271.27101928489,NA,0,0.00964590523421931,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",333,-1271.14794932728,NA,0,0.00963886067814281,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",338,-1271.02844745569,NA,0,0.00967063295692753,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",343,-1270.91301541152,NA,0,0.00972341443578664,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",348,-1270.80203210693,NA,0,0.0097564537092508,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",353,-1270.69578189981,NA,0,0.00972416260829767,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",358,-1270.59454671579,NA,0,0.00959448434733075,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",363,-1270.4986020157,NA,0,0.00936097472267323,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",368,-1270.40812652738,NA,0,0.00904142437047696,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",373,-1270.32322451348,NA,0,0.00865532805921872,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",378,-1270.24399832114,NA,0,0.00821810202203597,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",383,-1270.17058760569,NA,0,0.00775952999209628,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",388,-1270.10369026356,NA,0,0.0073179689513096,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",393,-1270.04443392627,NA,0,0.0069309350613574,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",398,-1269.99395727965,NA,0,0.00663348605159336,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",403,-1269.95329890154,NA,0,0.00646111689916998,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",408,-1269.92199945839,NA,0,0.00642807971329922,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",413,-1269.89844652143,NA,0,0.00652169458751119,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",418,-1269.88099800028,NA,0,0.00671364795104711,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",423,-1269.86807414814,NA,0,0.00696330539746064,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",428,-1269.85902806287,NA,0,0.00722099871924069,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",433,-1269.85393094801,NA,0,0.00743249537675982,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",438,-1269.85287247924,NA,0,0.00756789863434047,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",444,-1269.85697073637,NA,0,0.00762777396939612,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",449,-1269.86418967202,NA,0,0.00762725515455608,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",454,-1269.8738598974,NA,0,0.00758484284026766,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",459,-1269.88502980008,NA,0,0.00751406092929538,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",464,-1269.89682933662,NA,0,0.00742534969576556,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",469,-1269.90899130926,NA,0,0.00733872126672005,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",474,-1269.92151871746,NA,0,0.00728463964170735,NA,NA,NA,"ka-B'i-na",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
