"","time_ms","vertical_movement","hand","F0","envelope","syllable_duration","syllable_num","syllable_bs","syllable_name","STRESS_L2","STRESS_L1","stresstimeL2","stresstimeL1","stresstime","STRESS","F0_z","duration_z","envelope_z","stress_score","peakz"
"3",8,-611.366176526964,NA,0,0,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",13,-611.348920784518,NA,0,0,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",18,-611.326184917611,NA,0,0,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",23,-611.298227075866,NA,0,0,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",28,-611.265169240265,NA,0,0,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",33,-611.227028568909,NA,0,0,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",38,-611.183819523488,NA,0,0,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",43,-611.135602067588,NA,0,0,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",48,-611.083117007975,NA,0,0.00464393280466758,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",53,-611.027629265845,NA,0,0.00928690509589367,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",58,-610.970417244436,NA,0,0.00932981268385837,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",63,-610.912721115783,NA,0,0.009463367127992,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",68,-610.855208999836,NA,0,0.00968067583450433,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",73,-610.798108649712,NA,0,0.00996437625007599,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",78,-610.741636490768,NA,0,0.0102911927200668,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",83,-610.686074710278,NA,0,0.0106186575507594,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",88,-610.632689488683,NA,0,0.0108924121091829,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",93,-610.583504486308,NA,0,0.0110916977647806,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",98,-610.540562848493,NA,0,0.0112397124556341,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",103,-610.505781238104,NA,0,0.0113659975914701,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",108,-610.479183765434,NA,0,0.0114815645992267,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",113,-610.459337650057,NA,0,0.0115917060844363,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",118,-610.44477263526,NA,0,0.0117086485488464,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",123,-610.434110062306,NA,0,0.0118277687251413,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",128,-610.427341849583,NA,0,0.0119274099229603,NA,NA,NA,"o-T'e-a-no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
