"","time_ms","vertical_movement","hand","F0","envelope","syllable_duration","syllable_num","syllable_bs","syllable_name","STRESS_L2","STRESS_L1","stresstimeL2","stresstimeL1","stresstime","STRESS","F0_z","duration_z","envelope_z","stress_score","peakz"
"3",8,-609.217394125794,NA,0,0,NA,NA,NA,"pa-4a-s'ol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",13,-609.145826390909,NA,0,0,NA,NA,NA,"pa-4a-s'ol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",18,-609.070639457173,NA,0,0,NA,NA,NA,"pa-4a-s'ol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",23,-608.992804850773,NA,0,0,NA,NA,NA,"pa-4a-s'ol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",28,-608.91335621197,NA,0,0,NA,NA,NA,"pa-4a-s'ol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",33,-608.833374996559,NA,0,0,NA,NA,NA,"pa-4a-s'ol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",38,-608.753943890316,NA,0,0,NA,NA,NA,"pa-4a-s'ol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",43,-608.676124823078,NA,0,0,NA,NA,NA,"pa-4a-s'ol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",48,-608.600669154324,NA,0,0.0067809950391843,NA,NA,NA,"pa-4a-s'ol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",53,-608.528089165855,NA,0,0.0136425485512296,NA,NA,NA,"pa-4a-s'ol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",58,-608.458890989563,NA,0,0.013779759261991,NA,NA,NA,"pa-4a-s'ol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",63,-608.393621154913,NA,0,0.0139091301562801,NA,NA,NA,"pa-4a-s'ol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",68,-608.333430658732,NA,0,0.0140879981276094,NA,NA,NA,"pa-4a-s'ol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",73,-608.279935818021,NA,0,0.0143182612856521,NA,NA,NA,"pa-4a-s'ol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",78,-608.234764919432,NA,0,0.0145584260391558,NA,NA,NA,"pa-4a-s'ol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",83,-608.19945706627,NA,0,0.0147657244556558,NA,NA,NA,"pa-4a-s'ol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",88,-608.174216914747,NA,0,0.0149171894667568,NA,NA,NA,"pa-4a-s'ol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",93,-608.15822186106,NA,0,0.0149841383162047,NA,NA,NA,"pa-4a-s'ol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",98,-608.15062287671,NA,0,0.0149366302026508,NA,NA,NA,"pa-4a-s'ol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",103,-608.150638653008,NA,0,0.0147635245273273,NA,NA,NA,"pa-4a-s'ol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",108,-608.15850117028,NA,0,0.0144605554387245,NA,NA,NA,"pa-4a-s'ol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",113,-608.17522244074,NA,0,0.0140393663738198,NA,NA,NA,"pa-4a-s'ol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",118,-608.20183454173,NA,0,0.0135430838494034,NA,NA,NA,"pa-4a-s'ol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",123,-608.239267126699,NA,0,0.0130164007429122,NA,NA,NA,"pa-4a-s'ol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",128,-608.286917284134,NA,0,0.0124945896528614,NA,NA,NA,"pa-4a-s'ol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
