"frame","time_ms","z","hand"
16597,331940,-1429.9444,"right"
16598,331960,-1429.68296,"right"
16599,331980,-1429.44664,"right"
16600,332000,-1429.16928,"right"
16601,332020,-1428.85784,"right"
16602,332040,-1428.51264,"right"
16603,332060,-1428.19096,"right"
16604,332080,-1427.8812,"right"
16605,332100,-1427.67096,"right"
16606,332120,-1427.59336,"right"
16607,332140,-1427.6164,"right"
16608,332160,-1427.67352,"right"
16609,332180,-1427.68976,"right"
16610,332200,-1427.56248,"right"
16611,332220,-1427.26696,"right"
16612,332240,-1426.87728,"right"
16613,332260,-1426.43024,"right"
16614,332280,-1425.98768,"right"
16615,332300,-1425.62952,"right"
16616,332320,-1425.31648,"right"
16617,332340,-1424.99432,"right"
16618,332360,-1424.65968,"right"
16619,332380,-1424.3224,"right"
16620,332400,-1423.97504,"right"
16621,332420,-1423.70856,"right"
16622,332440,-1423.56264,"right"
16623,332460,-1423.54968,"right"
16624,332480,-1423.66544,"right"
16625,332500,-1423.87016,"right"
16626,332520,-1424.10208,"right"
16627,332540,-1424.30016,"right"
16628,332560,-1424.43312,"right"
16629,332580,-1424.45992,"right"
16630,332600,-1424.41568,"right"
16631,332620,-1424.29832,"right"
16632,332640,-1424.17176,"right"
16633,332660,-1424.07688,"right"
16634,332680,-1424.04216,"right"
16635,332700,-1424.05064,"right"
16636,332720,-1424.10992,"right"
16637,332740,-1424.17424,"right"
16638,332760,-1424.19,"right"
16639,332780,-1424.15616,"right"
16640,332800,-1424.06632,"right"
16641,332820,-1423.9384,"right"
16642,332840,-1423.78584,"right"
16643,332860,-1423.63344,"right"
16644,332880,-1423.48408,"right"
16645,332900,-1423.35264,"right"
16646,332920,-1423.22224,"right"
16647,332940,-1423.09968,"right"
16648,332960,-1423.02624,"right"
16649,332980,-1423.00368,"right"
16650,333000,-1423.04024,"right"
16651,333020,-1423.13512,"right"
16652,333040,-1423.28704,"right"
16653,333060,-1423.4212,"right"
16654,333080,-1423.5084,"right"
16655,333100,-1423.52248,"right"
16656,333120,-1423.48192,"right"
16657,333140,-1423.38768,"right"
16658,333160,-1423.28712,"right"
16659,333180,-1423.22488,"right"
16660,333200,-1423.2164,"right"
16661,333220,-1423.24328,"right"
16662,333240,-1423.298,"right"
16663,333260,-1423.3848,"right"
16664,333280,-1423.4736,"right"
16665,333300,-1423.55992,"right"
16666,333320,-1423.64536,"right"
16667,333340,-1423.7488,"right"
16668,333360,-1423.84552,"right"
16669,333380,-1423.97792,"right"
16670,333400,-1424.15368,"right"
16671,333420,-1424.41096,"right"
16672,333440,-1424.7216,"right"
16673,333460,-1425.09888,"right"
16674,333480,-1425.44768,"right"
16675,333500,-1425.75232,"right"
16676,333520,-1425.92584,"right"
16677,333540,-1425.9812,"right"
16678,333560,-1425.91376,"right"
16679,333580,-1425.81904,"right"
16680,333600,-1425.69952,"right"
16681,333620,-1425.62328,"right"
16682,333640,-1425.57904,"right"
16683,333660,-1425.55472,"right"
16684,333680,-1425.49496,"right"
16685,333700,-1425.42936,"right"
16686,333720,-1425.3304,"right"
16687,333740,-1425.22112,"right"
16688,333760,-1425.1264,"right"
16689,333780,-1425.08512,"right"
16690,333800,-1425.04208,"right"
16691,333820,-1425.01896,"right"
16692,333840,-1424.99528,"right"
16693,333860,-1424.95512,"right"
16694,333880,-1424.86632,"right"
16695,333900,-1424.7676,"right"
16696,333920,-1424.64592,"right"
16697,333940,-1424.50416,"right"
16698,333960,-1424.34064,"right"
16699,333980,-1424.1596,"right"
16700,334000,-1423.9652,"right"
16701,334020,-1423.75048,"right"
16702,334040,-1423.54392,"right"
16703,334060,-1423.35872,"right"
16704,334080,-1423.24144,"right"
16705,334100,-1423.18776,"right"
16706,334120,-1423.22888,"right"
16707,334140,-1423.33664,"right"
16708,334160,-1423.53328,"right"
16709,334180,-1423.76064,"right"
16710,334200,-1424.04384,"right"
16711,334220,-1424.38032,"right"
16712,334240,-1424.78688,"right"
16713,334260,-1425.2208,"right"
16714,334280,-1425.71232,"right"
16715,334300,-1426.16536,"right"
16716,334320,-1426.5116,"right"
16717,334340,-1426.72336,"right"
16718,334360,-1426.7968,"right"
16719,334380,-1426.724,"right"
16720,334400,-1426.57816,"right"
16721,334420,-1426.46848,"right"
16722,334440,-1426.43208,"right"
16723,334460,-1426.47336,"right"
16724,334480,-1426.55824,"right"
16725,334500,-1426.73184,"right"
16726,334520,-1426.88984,"right"
16727,334540,-1426.96184,"right"
16728,334560,-1427.0072,"right"
16729,334580,-1427.10064,"right"
16730,334600,-1427.14688,"right"
16731,334620,-1427.15784,"right"
16732,334640,-1427.20072,"right"
16733,334660,-1427.198,"right"
16734,334680,-1427.0692,"right"
16735,334700,-1426.86272,"right"
16736,334720,-1426.6568,"right"
16737,334740,-1426.48288,"right"
16738,334760,-1426.3596,"right"
16739,334780,-1426.374,"right"
16740,334800,-1426.53016,"right"
16741,334820,-1426.80856,"right"
16742,334840,-1427.13392,"right"
16743,334860,-1427.558,"right"
16744,334880,-1428.02192,"right"
16745,334900,-1428.53904,"right"
16746,334920,-1429.0456,"right"
16747,334940,-1429.54856,"right"
16748,334960,-1429.99352,"right"
16749,334980,-1430.3708,"right"
