"frame","time_ms","z","hand"
4436,88720,-599.220864,"right"
4437,88740,-598.69372,"right"
4438,88760,-597.900864,"right"
4439,88780,-596.927,"right"
4440,88800,-595.872072,"right"
4441,88820,-594.853192,"right"
4442,88840,-593.955344,"right"
4443,88860,-593.213768,"right"
4444,88880,-592.62288,"right"
4445,88900,-592.17508,"right"
4446,88920,-591.881256,"right"
4447,88940,-591.715488,"right"
4448,88960,-591.626104,"right"
4449,88980,-591.610792,"right"
4450,89000,-591.66456,"right"
4451,89020,-591.72836,"right"
4452,89040,-591.775752,"right"
4453,89060,-591.83564,"right"
4454,89080,-591.891456,"right"
4455,89100,-591.940128,"right"
4456,89120,-592.0038,"right"
4457,89140,-592.120688,"right"
4458,89160,-592.272016,"right"
4459,89180,-592.494608,"right"
4460,89200,-592.735696,"right"
4461,89220,-592.973112,"right"
4462,89240,-593.134136,"right"
4463,89260,-593.19304,"right"
4464,89280,-593.07336,"right"
4465,89300,-592.84764,"right"
4466,89320,-592.535104,"right"
4467,89340,-592.203568,"right"
4468,89360,-591.873568,"right"
4469,89380,-591.587888,"right"
4470,89400,-591.28064,"right"
4471,89420,-590.897072,"right"
4472,89440,-590.341064,"right"
4473,89460,-589.52496,"right"
4474,89480,-588.257184,"right"
4475,89500,-586.292,"right"
4476,89520,-583.35584,"right"
4477,89540,-579.137056,"right"
4478,89560,-573.4092,"right"
4479,89580,-566.2088,"right"
4480,89600,-557.820344,"right"
4481,89620,-548.739368,"right"
4482,89640,-539.677392,"right"
4483,89660,-531.415408,"right"
4484,89680,-524.67888,"right"
4485,89700,-520.231792,"right"
4486,89720,-519.810064,"right"
4487,89740,-525.748624,"right"
4488,89760,-541.147672,"right"
4489,89780,-569.756576,"right"
4490,89800,-614.582424,"right"
4491,89820,-676.057168,"right"
4492,89840,-752.08272,"right"
4493,89860,-837.573392,"right"
4494,89880,-924.579728,"right"
4495,89900,-1005.885824,"right"
4496,89920,-1074.438264,"right"
4497,89940,-1125.630976,"right"
4498,89960,-1157.732504,"right"
4499,89980,-1172.188944,"right"
4500,90000,-1168.56476,"right"
4501,90020,-1149.061456,"right"
4502,90040,-1115.537416,"right"
4503,90060,-1069.633944,"right"
4504,90080,-1011.49988,"right"
4505,90100,-946.445912,"right"
4506,90120,-878.927136,"right"
4507,90140,-813.384888,"right"
4508,90160,-753.21016,"right"
4509,90180,-703.466984,"right"
4510,90200,-664.232496,"right"
4511,90220,-634.788488,"right"
4512,90240,-613.729056,"right"
4513,90260,-600.34972,"right"
4514,90280,-592.004216,"right"
4515,90300,-587.378496,"right"
4516,90320,-585.294584,"right"
4517,90340,-584.930808,"right"
4518,90360,-585.203584,"right"
4519,90380,-585.672184,"right"
4520,90400,-586.092064,"right"
4521,90420,-586.404096,"right"
4522,90440,-586.584016,"right"
4523,90460,-586.648808,"right"
4524,90480,-586.698392,"right"
4525,90500,-586.821272,"right"
4526,90520,-587.082272,"right"
4527,90540,-587.52612,"right"
4528,90560,-588.197056,"right"
4529,90580,-589.082176,"right"
4530,90600,-590.14404,"right"
4531,90620,-591.282576,"right"
4532,90640,-592.41288,"right"
4533,90660,-593.457664,"right"
4534,90680,-594.38416,"right"
4535,90700,-595.183264,"right"
4536,90720,-595.930312,"right"
4537,90740,-596.667792,"right"
4538,90760,-597.410376,"right"
4539,90780,-598.126472,"right"
4540,90800,-598.779216,"right"
4541,90820,-599.312728,"right"
4542,90840,-599.696008,"right"
4543,90860,-599.947736,"right"
4544,90880,-600.107024,"right"
4545,90900,-600.223696,"right"
4546,90920,-600.31704,"right"
4547,90940,-600.401464,"right"
4548,90960,-600.439776,"right"
4549,90980,-600.41916,"right"
4550,91000,-600.337136,"right"
4551,91020,-600.209624,"right"
4552,91040,-600.048296,"right"
4553,91060,-599.901496,"right"
4554,91080,-599.785336,"right"
4555,91100,-599.69036,"right"
4556,91120,-599.604696,"right"
4557,91140,-599.539752,"right"
4558,91160,-599.498088,"right"
4559,91180,-599.500624,"right"
4560,91200,-599.57424,"right"
4561,91220,-599.74724,"right"
4562,91240,-600.00508,"right"
4563,91260,-600.335768,"right"
4564,91280,-600.712056,"right"
4565,91300,-601.103232,"right"
4566,91320,-601.472728,"right"
4567,91340,-601.821048,"right"
4568,91360,-602.114248,"right"
4569,91380,-602.325288,"right"
4570,91400,-602.46716,"right"
4571,91420,-602.566936,"right"
4572,91440,-602.62232,"right"
4573,91460,-602.673144,"right"
4574,91480,-602.765432,"right"
4575,91500,-602.873784,"right"
4576,91520,-602.953336,"right"
4577,91540,-603.000336,"right"
4578,91560,-603.003296,"right"
4579,91580,-602.953544,"right"
4580,91600,-602.886096,"right"
4581,91620,-602.832944,"right"
4582,91640,-602.766288,"right"
4583,91660,-602.665576,"right"
4584,91680,-602.475616,"right"
4585,91700,-602.16452,"right"
4586,91720,-601.746696,"right"
4587,91740,-601.29924,"right"
4588,91760,-600.860488,"right"
4589,91780,-600.524504,"right"
