"frame","time_ms","z","hand"
20304,406080,-1251.154,"right"
20305,406100,-1251.16512,"right"
20306,406120,-1251.10576,"right"
20307,406140,-1250.98256,"right"
20308,406160,-1250.81648,"right"
20309,406180,-1250.62888,"right"
20310,406200,-1250.44792,"right"
20311,406220,-1250.31392,"right"
20312,406240,-1250.2432,"right"
20313,406260,-1250.22856,"right"
20314,406280,-1250.27712,"right"
20315,406300,-1250.3668,"right"
20316,406320,-1250.46712,"right"
20317,406340,-1250.55696,"right"
20318,406360,-1250.62696,"right"
20319,406380,-1250.65752,"right"
20320,406400,-1250.64944,"right"
20321,406420,-1250.61544,"right"
20322,406440,-1250.58384,"right"
20323,406460,-1250.58888,"right"
20324,406480,-1250.63704,"right"
20325,406500,-1250.72776,"right"
20326,406520,-1250.8524,"right"
20327,406540,-1250.98104,"right"
20328,406560,-1251.08088,"right"
20329,406580,-1251.14072,"right"
20330,406600,-1251.17264,"right"
20331,406620,-1251.1716,"right"
20332,406640,-1251.13808,"right"
20333,406660,-1251.06688,"right"
20334,406680,-1250.9764,"right"
20335,406700,-1250.84384,"right"
20336,406720,-1250.68672,"right"
20337,406740,-1250.52648,"right"
20338,406760,-1250.39072,"right"
20339,406780,-1250.27344,"right"
20340,406800,-1250.2104,"right"
20341,406820,-1250.19512,"right"
20342,406840,-1250.22872,"right"
20343,406860,-1250.29776,"right"
20344,406880,-1250.39904,"right"
20345,406900,-1250.48872,"right"
20346,406920,-1250.5652,"right"
20347,406940,-1250.59416,"right"
20348,406960,-1250.57384,"right"
20349,406980,-1250.50824,"right"
20350,407000,-1250.43392,"right"
20351,407020,-1250.3504,"right"
20352,407040,-1250.2872,"right"
20353,407060,-1250.24448,"right"
20354,407080,-1250.22016,"right"
20355,407100,-1250.19568,"right"
20356,407120,-1250.16616,"right"
20357,407140,-1250.13408,"right"
20358,407160,-1250.10448,"right"
20359,407180,-1250.07048,"right"
20360,407200,-1250.04368,"right"
20361,407220,-1250.0388,"right"
20362,407240,-1250.04256,"right"
20363,407260,-1250.0628,"right"
20364,407280,-1250.11328,"right"
20365,407300,-1250.19656,"right"
20366,407320,-1250.29656,"right"
20367,407340,-1250.41632,"right"
20368,407360,-1250.5232,"right"
20369,407380,-1250.6048,"right"
20370,407400,-1250.62552,"right"
20371,407420,-1250.59184,"right"
20372,407440,-1250.50184,"right"
20373,407460,-1250.38696,"right"
20374,407480,-1250.25528,"right"
20375,407500,-1250.15288,"right"
20376,407520,-1250.09552,"right"
20377,407540,-1250.1036,"right"
20378,407560,-1250.1808,"right"
20379,407580,-1250.3228,"right"
20380,407600,-1250.50088,"right"
20381,407620,-1250.6848,"right"
20382,407640,-1250.83144,"right"
20383,407660,-1250.91248,"right"
20384,407680,-1250.93112,"right"
20385,407700,-1250.91288,"right"
20386,407720,-1250.86392,"right"
20387,407740,-1250.83016,"right"
20388,407760,-1250.8192,"right"
20389,407780,-1250.83824,"right"
20390,407800,-1250.8576,"right"
20391,407820,-1250.90488,"right"
20392,407840,-1250.95064,"right"
20393,407860,-1251.02016,"right"
20394,407880,-1251.09656,"right"
20395,407900,-1251.18168,"right"
20396,407920,-1251.24696,"right"
20397,407940,-1251.30224,"right"
20398,407960,-1251.324,"right"
20399,407980,-1251.30624,"right"
20400,408000,-1251.28336,"right"
20401,408020,-1251.26472,"right"
20402,408040,-1251.24928,"right"
20403,408060,-1251.23784,"right"
20404,408080,-1251.26672,"right"
20405,408100,-1251.29968,"right"
20406,408120,-1251.33776,"right"
20407,408140,-1251.37264,"right"
20408,408160,-1251.41176,"right"
20409,408180,-1251.42416,"right"
20410,408200,-1251.42616,"right"
20411,408220,-1251.41624,"right"
20412,408240,-1251.4196,"right"
20413,408260,-1251.43152,"right"
20414,408280,-1251.44952,"right"
20415,408300,-1251.46944,"right"
20416,408320,-1251.48992,"right"
20417,408340,-1251.47664,"right"
20418,408360,-1251.43152,"right"
20419,408380,-1251.3708,"right"
20420,408400,-1251.29424,"right"
20421,408420,-1251.2044,"right"
20422,408440,-1251.13496,"right"
20423,408460,-1251.08592,"right"
20424,408480,-1251.066,"right"
20425,408500,-1251.076,"right"
20426,408520,-1251.1164,"right"
20427,408540,-1251.16472,"right"
20428,408560,-1251.22448,"right"
20429,408580,-1251.27288,"right"
20430,408600,-1251.30912,"right"
20431,408620,-1251.33256,"right"
20432,408640,-1251.3412,"right"
20433,408660,-1251.31888,"right"
20434,408680,-1251.27624,"right"
20435,408700,-1251.21064,"right"
20436,408720,-1251.12008,"right"
20437,408740,-1251.03048,"right"
20438,408760,-1250.9732,"right"
20439,408780,-1250.9412,"right"
20440,408800,-1250.95432,"right"
20441,408820,-1251.0148,"right"
20442,408840,-1251.096,"right"
20443,408860,-1251.1708,"right"
20444,408880,-1251.24944,"right"
20445,408900,-1251.296,"right"
20446,408920,-1251.29704,"right"
20447,408940,-1251.2524,"right"
20448,408960,-1251.15832,"right"
20449,408980,-1250.9944,"right"
20450,409000,-1250.7916,"right"
20451,409020,-1250.58776,"right"
20452,409040,-1250.402,"right"
20453,409060,-1250.26104,"right"
20454,409080,-1250.19352,"right"
20455,409100,-1250.18824,"right"
20456,409120,-1250.19864,"right"
20457,409140,-1250.22176,"right"
20458,409160,-1250.23928,"right"
