"frame","time_ms","z","hand"
25783,515660,-1270.34,"right"
25784,515680,-1270.49,"right"
25785,515700,-1271.6,"right"
25786,515720,-1272.98,"right"
25787,515740,-1270.35,"right"
25788,515760,-1270.33,"right"
25789,515780,-1271.7,"right"
25790,515800,-1270.32,"right"
25791,515820,-1275.36,"right"
25792,515840,-1272.96,"right"
25793,515860,-1275.43,"right"
25794,515880,-1274.24,"right"
25795,515900,-1274.12,"right"
25796,515920,-1272.93,"right"
25797,515940,-1271.95,"right"
25798,515960,-1271.77,"right"
25799,515980,-1271.83,"right"
25800,516000,-1271.94,"right"
25801,516020,-1269.48,"right"
25802,516040,-1269.48,"right"
25803,516060,-1269.41,"right"
25804,516080,-1269.47,"right"
25805,516100,-1269.42,"right"
25806,516120,-1270.67,"right"
25807,516140,-1269.62,"right"
25808,516160,-1270.67,"right"
25809,516180,-1269.6,"right"
25810,516200,-1270.58,"right"
25811,516220,-1269.38,"right"
25812,516240,-1269.39,"right"
25813,516260,-1270.6,"right"
25814,516280,-1269.39,"right"
25815,516300,-1270.61,"right"
25816,516320,-1269.5,"right"
25817,516340,-1268.16,"right"
25818,516360,-1269.4,"right"
25819,516380,-1268.2,"right"
25820,516400,-1269.71,"right"
25821,516420,-1269.69,"right"
25822,516440,-1269.51,"right"
25823,516460,-1269.53,"right"
25824,516480,-1269.6,"right"
25825,516500,-1268.41,"right"
25826,516520,-1269.45,"right"
25827,516540,-1268.08,"right"
25828,516560,-1270.54,"right"
25829,516580,-1269.3,"right"
25830,516600,-1270.71,"right"
25831,516620,-1266.86,"right"
25832,516640,-1268.12,"right"
25833,516660,-1269.75,"right"
25834,516680,-1269.65,"right"
25835,516700,-1268.37,"right"
25836,516720,-1270.84,"right"
25837,516740,-1271,"right"
25838,516760,-1270.87,"right"
25839,516780,-1269.64,"right"
25840,516800,-1266.96,"right"
25841,516820,-1268.37,"right"
25842,516840,-1269.62,"right"
25843,516860,-1269.59,"right"
25844,516880,-1270.81,"right"
25845,516900,-1270.78,"right"
25846,516920,-1270.79,"right"
25847,516940,-1270.75,"right"
25848,516960,-1270.79,"right"
25849,516980,-1268.12,"right"
25850,517000,-1269.84,"right"
25851,517020,-1269.76,"right"
25852,517040,-1269.73,"right"
25853,517060,-1269.73,"right"
25854,517080,-1269.75,"right"
25855,517100,-1272.07,"right"
25856,517120,-1269.65,"right"
25857,517140,-1268.45,"right"
25858,517160,-1272.05,"right"
25859,517180,-1270.88,"right"
25860,517200,-1273.34,"right"
25861,517220,-1269.7,"right"
25862,517240,-1269.76,"right"
25863,517260,-1268.38,"right"
25864,517280,-1268.29,"right"
25865,517300,-1268.27,"right"
25866,517320,-1269.72,"right"
25867,517340,-1269.77,"right"
25868,517360,-1269.75,"right"
25869,517380,-1269.86,"right"
25870,517400,-1271.98,"right"
25871,517420,-1270.95,"right"
25872,517440,-1271.94,"right"
25873,517460,-1271.97,"right"
25874,517480,-1271.99,"right"
25875,517500,-1268.23,"right"
25876,517520,-1270.75,"right"
25877,517540,-1270.81,"right"
25878,517560,-1272.01,"right"
25879,517580,-1272.04,"right"
25880,517600,-1272.22,"right"
25881,517620,-1269.45,"right"
25882,517640,-1270.64,"right"
25883,517660,-1270.65,"right"
25884,517680,-1269.37,"right"
25885,517700,-1271.75,"right"
25886,517720,-1270.54,"right"
25887,517740,-1272.96,"right"
25888,517760,-1271.81,"right"
25889,517780,-1271.74,"right"
25890,517800,-1270.57,"right"
25891,517820,-1271.96,"right"
25892,517840,-1270.74,"right"
25893,517860,-1271.81,"right"
25894,517880,-1271.9,"right"
25895,517900,-1270.79,"right"
25896,517920,-1269.55,"right"
25897,517940,-1271.98,"right"
25898,517960,-1270.8,"right"
25899,517980,-1272.05,"right"
25900,518000,-1270.84,"right"
25901,518020,-1270.88,"right"
25902,518040,-1270.81,"right"
25903,518060,-1270.63,"right"
25904,518080,-1270.56,"right"
25905,518100,-1270.66,"right"
25906,518120,-1269.64,"right"
25907,518140,-1270.69,"right"
25908,518160,-1270.8,"right"
25909,518180,-1270.56,"right"
25910,518200,-1270.76,"right"
25911,518220,-1270.5,"right"
25912,518240,-1270.72,"right"
25913,518260,-1271.95,"right"
25914,518280,-1270.77,"right"
25915,518300,-1270.57,"right"
25916,518320,-1269.33,"right"
25917,518340,-1270.55,"right"
25918,518360,-1270.53,"right"
25919,518380,-1270.58,"right"
25920,518400,-1270.56,"right"
25921,518420,-1270.53,"right"
25922,518440,-1270.48,"right"
25923,518460,-1270.49,"right"
25924,518480,-1270.53,"right"
25925,518500,-1270.52,"right"
25926,518520,-1270.71,"right"
25927,518540,-1270.55,"right"
25928,518560,-1270.62,"right"
25929,518580,-1270.63,"right"
25930,518600,-1270.58,"right"
25931,518620,-1270.63,"right"
25932,518640,-1270.56,"right"
25933,518660,-1270.57,"right"
25934,518680,-1270.61,"right"
25935,518700,-1270.61,"right"
25936,518720,-1270.54,"right"
25937,518740,-1272.03,"right"
25938,518760,-1269.36,"right"
