"frame","time_ms","z","hand"
24498,489960,-1272.03,"right"
24499,489980,-1273.71,"right"
24500,490000,-1273.3,"right"
24501,490020,-1268.64,"right"
24502,490040,-1270.08,"right"
24503,490060,-1272.54,"right"
24504,490080,-1270.09,"right"
24505,490100,-1273.83,"right"
24506,490120,-1271.34,"right"
24507,490140,-1275.16,"right"
24508,490160,-1271.44,"right"
24509,490180,-1273.89,"right"
24510,490200,-1268.66,"right"
24511,490220,-1272.29,"right"
24512,490240,-1271.06,"right"
24513,490260,-1274.61,"right"
24514,490280,-1272.52,"right"
24515,490300,-1274.68,"right"
24516,490320,-1274.76,"right"
24517,490340,-1273.39,"right"
24518,490360,-1273.43,"right"
24519,490380,-1270.99,"right"
24520,490400,-1273.41,"right"
24521,490420,-1273.1,"right"
24522,490440,-1273.4,"right"
24523,490460,-1272.47,"right"
24524,490480,-1272.07,"right"
24525,490500,-1271.28,"right"
24526,490520,-1273.15,"right"
24527,490540,-1274.85,"right"
24528,490560,-1273.08,"right"
24529,490580,-1272.06,"right"
24530,490600,-1273.23,"right"
24531,490620,-1276.11,"right"
24532,490640,-1276.88,"right"
24533,490660,-1274.89,"right"
24534,490680,-1275.71,"right"
24535,490700,-1272.03,"right"
24536,490720,-1273.23,"right"
24537,490740,-1272.05,"right"
24538,490760,-1274.42,"right"
24539,490780,-1272.02,"right"
24540,490800,-1273.25,"right"
24541,490820,-1275.64,"right"
24542,490840,-1275.58,"right"
24543,490860,-1273.04,"right"
24544,490880,-1272.02,"right"
24545,490900,-1274.85,"right"
24546,490920,-1272,"right"
24547,490940,-1270.62,"right"
24548,490960,-1272,"right"
24549,490980,-1271.97,"right"
24550,491000,-1272,"right"
24551,491020,-1271.32,"right"
24552,491040,-1272.04,"right"
24553,491060,-1268.9,"right"
24554,491080,-1270.9,"right"
24555,491100,-1272.05,"right"
24556,491120,-1273.19,"right"
24557,491140,-1273.2,"right"
24558,491160,-1274.33,"right"
24559,491180,-1274.38,"right"
24560,491200,-1270.82,"right"
24561,491220,-1270.81,"right"
24562,491240,-1270.81,"right"
24563,491260,-1270.77,"right"
24564,491280,-1269.64,"right"
24565,491300,-1270.75,"right"
24566,491320,-1270.88,"right"
24567,491340,-1271.92,"right"
24568,491360,-1271.94,"right"
24569,491380,-1274.38,"right"
24570,491400,-1270.84,"right"
24571,491420,-1269.68,"right"
24572,491440,-1269.71,"right"
24573,491460,-1270.9,"right"
24574,491480,-1270.89,"right"
24575,491500,-1272.12,"right"
24576,491520,-1270.85,"right"
24577,491540,-1272.04,"right"
24578,491560,-1270.78,"right"
24579,491580,-1274.37,"right"
24580,491600,-1271.97,"right"
24581,491620,-1273.22,"right"
24582,491640,-1272.01,"right"
24583,491660,-1272.01,"right"
24584,491680,-1270.83,"right"
24585,491700,-1270.61,"right"
24586,491720,-1270.79,"right"
24587,491740,-1269.31,"right"
24588,491760,-1269.33,"right"
24589,491780,-1268.11,"right"
24590,491800,-1269.39,"right"
24591,491820,-1269.33,"right"
24592,491840,-1269.35,"right"
24593,491860,-1270.56,"right"
24594,491880,-1273.15,"right"
24595,491900,-1270.54,"right"
24596,491920,-1274.33,"right"
24597,491940,-1274.19,"right"
24598,491960,-1274.15,"right"
24599,491980,-1274.17,"right"
24600,492000,-1275.29,"right"
24601,492020,-1273.05,"right"
24602,492040,-1276.65,"right"
24603,492060,-1271.79,"right"
24604,492080,-1271.91,"right"
24605,492100,-1273.02,"right"
24606,492120,-1276.67,"right"
24607,492140,-1275.55,"right"
24608,492160,-1275.58,"right"
24609,492180,-1271.85,"right"
24610,492200,-1271.84,"right"
24611,492220,-1274.21,"right"
24612,492240,-1273.15,"right"
24613,492260,-1275.38,"right"
24614,492280,-1275.38,"right"
24615,492300,-1275.38,"right"
24616,492320,-1274.18,"right"
24617,492340,-1275.42,"right"
24618,492360,-1275.47,"right"
24619,492380,-1275.86,"right"
24620,492400,-1275.44,"right"
24621,492420,-1274.6,"right"
24622,492440,-1274.27,"right"
24623,492460,-1274.29,"right"
24624,492480,-1275.48,"right"
24625,492500,-1275.82,"right"
24626,492520,-1275.89,"right"
24627,492540,-1275.86,"right"
24628,492560,-1275.97,"right"
24629,492580,-1275.88,"right"
24630,492600,-1275.96,"right"
24631,492620,-1275.95,"right"
24632,492640,-1275.94,"right"
24633,492660,-1275.9,"right"
24634,492680,-1276.22,"right"
24635,492700,-1274.63,"right"
24636,492720,-1274.67,"right"
24637,492740,-1274.65,"right"
24638,492760,-1274.68,"right"
24639,492780,-1274.63,"right"
24640,492800,-1273.47,"right"
24641,492820,-1274.63,"right"
24642,492840,-1274.69,"right"
24643,492860,-1274.63,"right"
24644,492880,-1274.65,"right"
24645,492900,-1274.66,"right"
24646,492920,-1276.15,"right"
24647,492940,-1274.67,"right"
24648,492960,-1274.88,"right"
24649,492980,-1273.77,"right"
