"frame","time_ms","z","hand"
23834,476680,-1271.36,"right"
23835,476700,-1272.51,"right"
23836,476720,-1274.73,"right"
23837,476740,-1274.67,"right"
23838,476760,-1273.81,"right"
23839,476780,-1273.79,"right"
23840,476800,-1272.62,"right"
23841,476820,-1274.77,"right"
23842,476840,-1272.63,"right"
23843,476860,-1272.28,"right"
23844,476880,-1273.53,"right"
23845,476900,-1273.45,"right"
23846,476920,-1272.59,"right"
23847,476940,-1274.29,"right"
23848,476960,-1273.72,"right"
23849,476980,-1276.67,"right"
23850,477000,-1275.77,"right"
23851,477020,-1269.82,"right"
23852,477040,-1268.88,"right"
23853,477060,-1268.91,"right"
23854,477080,-1268.92,"right"
23855,477100,-1269.71,"right"
23856,477120,-1269.66,"right"
23857,477140,-1270.12,"right"
23858,477160,-1271.32,"right"
23859,477180,-1270.89,"right"
23860,477200,-1273.73,"right"
23861,477220,-1271.39,"right"
23862,477240,-1271.41,"right"
23863,477260,-1271.36,"right"
23864,477280,-1272.59,"right"
23865,477300,-1272.6,"right"
23866,477320,-1273.71,"right"
23867,477340,-1272.11,"right"
23868,477360,-1272.1,"right"
23869,477380,-1272.59,"right"
23870,477400,-1270.88,"right"
23871,477420,-1272.51,"right"
23872,477440,-1272.08,"right"
23873,477460,-1274.9,"right"
23874,477480,-1272.5,"right"
23875,477500,-1272.51,"right"
23876,477520,-1274.9,"right"
23877,477540,-1272.06,"right"
23878,477560,-1274.9,"right"
23879,477580,-1272.06,"right"
23880,477600,-1272.09,"right"
23881,477620,-1270.86,"right"
23882,477640,-1270.78,"right"
23883,477660,-1271.94,"right"
23884,477680,-1271.78,"right"
23885,477700,-1273,"right"
23886,477720,-1273.04,"right"
23887,477740,-1274.6,"right"
23888,477760,-1272.97,"right"
23889,477780,-1274.22,"right"
23890,477800,-1274.11,"right"
23891,477820,-1274.26,"right"
23892,477840,-1274.25,"right"
23893,477860,-1275.89,"right"
23894,477880,-1274.22,"right"
23895,477900,-1273.04,"right"
23896,477920,-1272.96,"right"
23897,477940,-1276.63,"right"
23898,477960,-1271.77,"right"
23899,477980,-1277.09,"right"
23900,478000,-1276.56,"right"
23901,478020,-1270.55,"right"
23902,478040,-1269.25,"right"
23903,478060,-1269.31,"right"
23904,478080,-1268.04,"right"
23905,478100,-1271.99,"right"
23906,478120,-1269.32,"right"
23907,478140,-1269.38,"right"
23908,478160,-1271.67,"right"
23909,478180,-1271.8,"right"
23910,478200,-1273.17,"right"
23911,478220,-1270.58,"right"
23912,478240,-1272.97,"right"
23913,478260,-1274.19,"right"
23914,478280,-1272.94,"right"
23915,478300,-1272.93,"right"
23916,478320,-1273.19,"right"
23917,478340,-1271.95,"right"
23918,478360,-1271.85,"right"
23919,478380,-1271.89,"right"
23920,478400,-1271.85,"right"
23921,478420,-1271.84,"right"
23922,478440,-1269.23,"right"
23923,478460,-1272.92,"right"
23924,478480,-1271.73,"right"
23925,478500,-1274.2,"right"
23926,478520,-1273.04,"right"
23927,478540,-1273.02,"right"
23928,478560,-1271.84,"right"
23929,478580,-1273.12,"right"
23930,478600,-1273.12,"right"
23931,478620,-1274.28,"right"
23932,478640,-1275.38,"right"
23933,478660,-1274.2,"right"
23934,478680,-1275.42,"right"
23935,478700,-1273.06,"right"
23936,478720,-1274.22,"right"
23937,478740,-1273.11,"right"
23938,478760,-1273.22,"right"
23939,478780,-1273.2,"right"
23940,478800,-1273.21,"right"
23941,478820,-1270.72,"right"
23942,478840,-1273.15,"right"
23943,478860,-1273.18,"right"
23944,478880,-1273.25,"right"
23945,478900,-1273.28,"right"
23946,478920,-1275.56,"right"
23947,478940,-1273.3,"right"
23948,478960,-1274.9,"right"
23949,478980,-1275.07,"right"
23950,479000,-1273.27,"right"
23951,479020,-1276.16,"right"
23952,479040,-1276.14,"right"
23953,479060,-1276.22,"right"
23954,479080,-1274.49,"right"
23955,479100,-1275.72,"right"
23956,479120,-1276.16,"right"
23957,479140,-1276.17,"right"
23958,479160,-1273.83,"right"
23959,479180,-1274.96,"right"
23960,479200,-1271.32,"right"
23961,479220,-1270.92,"right"
23962,479240,-1272.48,"right"
23963,479260,-1270.9,"right"
23964,479280,-1274.64,"right"
23965,479300,-1274.63,"right"
23966,479320,-1275.89,"right"
23967,479340,-1275.89,"right"
23968,479360,-1275.84,"right"
23969,479380,-1275.91,"right"
23970,479400,-1275.88,"right"
23971,479420,-1275.98,"right"
23972,479440,-1275.94,"right"
23973,479460,-1276.24,"right"
23974,479480,-1273.84,"right"
23975,479500,-1276.19,"right"
23976,479520,-1273.34,"right"
23977,479540,-1276.18,"right"
23978,479560,-1272.09,"right"
23979,479580,-1272.07,"right"
23980,479600,-1272.11,"right"
23981,479620,-1272.56,"right"
23982,479640,-1273.25,"right"
23983,479660,-1273.21,"right"
23984,479680,-1276.88,"right"
23985,479700,-1273.14,"right"
23986,479720,-1275.65,"right"
23987,479740,-1273.2,"right"
23988,479760,-1277.3,"right"
23989,479780,-1273.15,"right"
23990,479800,-1275.72,"right"
23991,479820,-1273.22,"right"
23992,479840,-1277.29,"right"
23993,479860,-1272.02,"right"
23994,479880,-1270.74,"right"
23995,479900,-1271.94,"right"
23996,479920,-1270.75,"right"
23997,479940,-1271.91,"right"
23998,479960,-1270.73,"right"
23999,479980,-1273.21,"right"
24000,480000,-1273.2,"right"
24001,480020,-1272.04,"right"
24002,480040,-1272.03,"right"
24003,480060,-1272.01,"right"
24004,480080,-1272.02,"right"
24005,480100,-1271.97,"right"
24006,480120,-1270.76,"right"
24007,480140,-1271.91,"right"
24008,480160,-1273.31,"right"
24009,480180,-1271.9,"right"
24010,480200,-1272.01,"right"
24011,480220,-1271.98,"right"
24012,480240,-1272.16,"right"
24013,480260,-1272.01,"right"
24014,480280,-1272.21,"right"
24015,480300,-1272.05,"right"
24016,480320,-1272.05,"right"
24017,480340,-1272.22,"right"
24018,480360,-1272.21,"right"
24019,480380,-1272.25,"right"
24020,480400,-1272.2,"right"
24021,480420,-1272.18,"right"
24022,480440,-1272.18,"right"
