"frame","time_ms","z","hand"
30351,607020,-654.612,"right"
30352,607040,-655.692,"right"
30353,607060,-654.471,"right"
30354,607080,-659.657,"right"
30355,607100,-660.488,"right"
30356,607120,-656.827,"right"
30357,607140,-656.829,"right"
30358,607160,-660.433,"right"
30359,607180,-660.66,"right"
30360,607200,-657.681,"right"
30361,607220,-659.703,"right"
30362,607240,-662.115,"right"
30363,607260,-661.679,"right"
30364,607280,-660.625,"right"
30365,607300,-660.625,"right"
30366,607320,-660.559,"right"
30367,607340,-658.069,"right"
30368,607360,-660.504,"right"
30369,607380,-660.399,"right"
30370,607400,-660.165,"right"
30371,607420,-662.504,"right"
30372,607440,-661.337,"right"
30373,607460,-664.858,"right"
30374,607480,-660.084,"right"
30375,607500,-659.752,"right"
30376,607520,-660.168,"right"
30377,607540,-660.148,"right"
30378,607560,-658.928,"right"
30379,607580,-658.512,"right"
30380,607600,-658.525,"right"
30381,607620,-653.763,"right"
30382,607640,-656.099,"right"
30383,607660,-654.972,"right"
30384,607680,-657.544,"right"
30385,607700,-656.335,"right"
30386,607720,-657.437,"right"
30387,607740,-656.202,"right"
30388,607760,-652.711,"right"
30389,607780,-657.18,"right"
30390,607800,-658.237,"right"
30391,607820,-658.429,"right"
30392,607840,-653.811,"right"
30393,607860,-654.585,"right"
30394,607880,-655.26,"right"
30395,607900,-648.968,"right"
30396,607920,-644.085,"right"
30397,607940,-636.089,"right"
30398,607960,-624.508,"right"
30399,607980,-618.577,"right"
30400,608000,-610.179,"right"
30401,608020,-608.878,"right"
30402,608040,-606.627,"right"
30403,608060,-602.675,"right"
30404,608080,-861.831,"right"
30405,608100,-844.378,"right"
30406,608120,-1051.62,"right"
30407,608140,-1146.24,"right"
30408,608160,-1206.95,"right"
30409,608180,-1221.21,"right"
30410,608200,-1205.71,"right"
30411,608220,-1152.98,"right"
30412,608240,-1152.29,"right"
30413,608260,-1135.22,"right"
30414,608280,-1023.77,"right"
30415,608300,-949.394,"right"
30416,608320,-956.165,"right"
30417,608340,-878.058,"right"
30418,608360,-906.299,"right"
30419,608380,-856.541,"right"
30420,608400,-853.207,"right"
30421,608420,-819.439,"right"
30422,608440,-747.329,"right"
30423,608460,-731.852,"right"
30424,608480,-727.198,"right"
30425,608500,-724.54,"right"
30426,608520,-720.215,"right"
30427,608540,-716.729,"right"
30428,608560,-715.417,"right"
30429,608580,-712.958,"right"
30430,608600,-709.766,"right"
30431,608620,-706.442,"right"
30432,608640,-704.392,"right"
30433,608660,-703.287,"right"
30434,608680,-702.132,"right"
30435,608700,-701.75,"right"
30436,608720,-701.681,"right"
30437,608740,-703.826,"right"
30438,608760,-704.956,"right"
30439,608780,-707.443,"right"
30440,608800,-706.738,"right"
30441,608820,-708.203,"right"
30442,608840,-710.114,"right"
30443,608860,-709.051,"right"
30444,608880,-713.373,"right"
30445,608900,-713.515,"right"
30446,608920,-711.313,"right"
30447,608940,-711.379,"right"
30448,608960,-711.756,"right"
30449,608980,-710.575,"right"
30450,609000,-710.245,"right"
30451,609020,-711.881,"right"
30452,609040,-711.779,"right"
30453,609060,-711.778,"right"
30454,609080,-712.884,"right"
30455,609100,-714.053,"right"
30456,609120,-714.048,"right"
30457,609140,-714.149,"right"
30458,609160,-713.02,"right"
30459,609180,-711.832,"right"
30460,609200,-711.767,"right"
30461,609220,-712.15,"right"
30462,609240,-713.245,"right"
30463,609260,-711.041,"right"
30464,609280,-712.235,"right"
30465,609300,-714.54,"right"
30466,609320,-716.848,"right"
30467,609340,-716.953,"right"
30468,609360,-719.17,"right"
30469,609380,-718.192,"right"
30470,609400,-719.468,"right"
30471,609420,-719.418,"right"
30472,609440,-719.431,"right"
30473,609460,-720.492,"right"
30474,609480,-718.375,"right"
30475,609500,-720.187,"right"
30476,609520,-718.884,"right"
30477,609540,-718.944,"right"
30478,609560,-718.521,"right"
30479,609580,-718.528,"right"
30480,609600,-716.405,"right"
30481,609620,-716.401,"right"
30482,609640,-716.344,"right"
30483,609660,-716.47,"right"
30484,609680,-714.916,"right"
30485,609700,-713.854,"right"
30486,609720,-712.65,"right"
30487,609740,-711.965,"right"
30488,609760,-711.633,"right"
30489,609780,-709.227,"right"
30490,609800,-709.588,"right"
30491,609820,-707.147,"right"
30492,609840,-708.335,"right"
30493,609860,-706.283,"right"
30494,609880,-706.694,"right"
30495,609900,-705.932,"right"
30496,609920,-706.769,"right"
30497,609940,-707.108,"right"
30498,609960,-709.889,"right"
30499,609980,-709.934,"right"
30500,610000,-708.419,"right"
30501,610020,-710.752,"right"
30502,610040,-711.573,"right"
30503,610060,-710.744,"right"
