"frame","time_ms","z","hand"
8957,179140,-620.197,"right"
8958,179160,-621.837,"right"
8959,179180,-621.543,"right"
8960,179200,-621.861,"right"
8961,179220,-622.081,"right"
8962,179240,-622.078,"right"
8963,179260,-622.134,"right"
8964,179280,-622.101,"right"
8965,179300,-622.132,"right"
8966,179320,-623.302,"right"
8967,179340,-623.452,"right"
8968,179360,-623.367,"right"
8969,179380,-622.222,"right"
8970,179400,-623.465,"right"
8971,179420,-623.417,"right"
8972,179440,-625.885,"right"
8973,179460,-623.854,"right"
8974,179480,-623.807,"right"
8975,179500,-622.468,"right"
8976,179520,-623.89,"right"
8977,179540,-622.569,"right"
8978,179560,-623.355,"right"
8979,179580,-622.075,"right"
8980,179600,-623.337,"right"
8981,179620,-623.33,"right"
8982,179640,-623.528,"right"
8983,179660,-623.968,"right"
8984,179680,-623.489,"right"
8985,179700,-622.614,"right"
8986,179720,-623.444,"right"
8987,179740,-622.149,"right"
8988,179760,-620.958,"right"
8989,179780,-621.007,"right"
8990,179800,-622.118,"right"
8991,179820,-620.997,"right"
8992,179840,-620.923,"right"
8993,179860,-620.873,"right"
8994,179880,-620.763,"right"
8995,179900,-620.299,"right"
8996,179920,-620.067,"right"
8997,179940,-619.014,"right"
8998,179960,-620.125,"right"
8999,179980,-618.784,"right"
9000,180000,-619.436,"right"
9001,180020,-618.794,"right"
9002,180040,-618.797,"right"
9003,180060,-618.739,"right"
9004,180080,-618.872,"right"
9005,180100,-621.26,"right"
9006,180120,-614.945,"right"
9007,180140,-619.482,"right"
9008,180160,-612.29,"right"
9009,180180,-604.592,"right"
9010,180200,-586.254,"right"
9011,180220,-575.907,"right"
9012,180240,-564.957,"right"
9013,180260,-553.087,"right"
9014,180280,-543.662,"right"
9015,180300,-551.309,"right"
9016,180320,-648.494,"right"
9017,180340,-698.498,"right"
9018,180360,-804.021,"right"
9019,180380,-778.612,"right"
9020,180400,-1058.61,"right"
9021,180420,-1186.82,"right"
9022,180440,-1260.5,"right"
9023,180460,-1282,"right"
9024,180480,-1271.98,"right"
9025,180500,-1267.2,"right"
9026,180520,-1168.79,"right"
9027,180540,-1115.47,"right"
9028,180560,-1040.92,"right"
9029,180580,-980.403,"right"
9030,180600,-1053.08,"right"
9031,180620,-838.039,"right"
9032,180640,-823.948,"right"
9033,180660,-742.181,"right"
9034,180680,-751.196,"right"
9035,180700,-721.599,"right"
9036,180720,-628.806,"right"
9037,180740,-622.663,"right"
9038,180760,-613.294,"right"
9039,180780,-602.334,"right"
9040,180800,-597.121,"right"
9041,180820,-603.6,"right"
9042,180840,-605.836,"right"
9043,180860,-606.579,"right"
9044,180880,-606.402,"right"
9045,180900,-607.782,"right"
9046,180920,-611.352,"right"
9047,180940,-612.04,"right"
9048,180960,-611.559,"right"
9049,180980,-611.891,"right"
9050,181000,-610.819,"right"
9051,181020,-612.497,"right"
9052,181040,-614.423,"right"
9053,181060,-612.643,"right"
9054,181080,-611.511,"right"
9055,181100,-610.489,"right"
9056,181120,-611.814,"right"
9057,181140,-611.232,"right"
9058,181160,-614.11,"right"
9059,181180,-615.69,"right"
9060,181200,-614.798,"right"
9061,181220,-614.504,"right"
9062,181240,-614.673,"right"
9063,181260,-610.899,"right"
9064,181280,-614.776,"right"
9065,181300,-614.852,"right"
9066,181320,-615.337,"right"
9067,181340,-616.531,"right"
9068,181360,-619.708,"right"
9069,181380,-620.248,"right"
9070,181400,-616.94,"right"
9071,181420,-620.146,"right"
9072,181440,-618.844,"right"
9073,181460,-620.769,"right"
9074,181480,-618.271,"right"
9075,181500,-618.971,"right"
9076,181520,-618.97,"right"
9077,181540,-618.372,"right"
9078,181560,-617.189,"right"
9079,181580,-612.046,"right"
9080,181600,-613.303,"right"
9081,181620,-613.243,"right"
9082,181640,-610.862,"right"
9083,181660,-613.782,"right"
9084,181680,-615.705,"right"
9085,181700,-610.93,"right"
9086,181720,-615.732,"right"
9087,181740,-612.021,"right"
9088,181760,-614.28,"right"
9089,181780,-614.606,"right"
9090,181800,-612.797,"right"
9091,181820,-612.714,"right"
9092,181840,-612.269,"right"
9093,181860,-612.756,"right"
9094,181880,-612.357,"right"
9095,181900,-611.952,"right"
9096,181920,-611.363,"right"
9097,181940,-611.917,"right"
9098,181960,-613.09,"right"
9099,181980,-610.921,"right"
9100,182000,-615.61,"right"
9101,182020,-613.926,"right"
9102,182040,-614.53,"right"
9103,182060,-615.755,"right"
9104,182080,-614.457,"right"
9105,182100,-614.537,"right"
9106,182120,-616.812,"right"
9107,182140,-612.625,"right"
9108,182160,-613.742,"right"
9109,182180,-614.292,"right"
9110,182200,-613.653,"right"
9111,182220,-616.111,"right"
9112,182240,-614.037,"right"
9113,182260,-612.923,"right"
9114,182280,-615.765,"right"
9115,182300,-614.624,"right"
9116,182320,-614.406,"right"
9117,182340,-614.814,"right"
9118,182360,-614.642,"right"
9119,182380,-612.756,"right"
9120,182400,-611.669,"right"
9121,182420,-611.671,"right"
