"frame","time_ms","z","hand"
31639,632780,-689.607,"right"
31640,632800,-687.294,"right"
31641,632820,-689.27,"right"
31642,632840,-686.015,"right"
31643,632860,-684.906,"right"
31644,632880,-684.896,"right"
31645,632900,-684.767,"right"
31646,632920,-685.316,"right"
31647,632940,-684.886,"right"
31648,632960,-686.026,"right"
31649,632980,-682.868,"right"
31650,633000,-683.326,"right"
31651,633020,-685.015,"right"
31652,633040,-683.267,"right"
31653,633060,-682.435,"right"
31654,633080,-681.07,"right"
31655,633100,-682.263,"right"
31656,633120,-682.28,"right"
31657,633140,-682.897,"right"
31658,633160,-682.945,"right"
31659,633180,-681.683,"right"
31660,633200,-679.968,"right"
31661,633220,-680.631,"right"
31662,633240,-680.706,"right"
31663,633260,-681.156,"right"
31664,633280,-681.139,"right"
31665,633300,-680.884,"right"
31666,633320,-678.793,"right"
31667,633340,-679.91,"right"
31668,633360,-679.453,"right"
31669,633380,-680.888,"right"
31670,633400,-679.068,"right"
31671,633420,-678.39,"right"
31672,633440,-677.231,"right"
31673,633460,-677.791,"right"
31674,633480,-676.416,"right"
31675,633500,-676.799,"right"
31676,633520,-676.402,"right"
31677,633540,-674.728,"right"
31678,633560,-672.83,"right"
31679,633580,-670.985,"right"
31680,633600,-670.885,"right"
31681,633620,-667.722,"right"
31682,633640,-667.017,"right"
31683,633660,-664.677,"right"
31684,633680,-665.56,"right"
31685,633700,-661.014,"right"
31686,633720,-659.241,"right"
31687,633740,-654.279,"right"
31688,633760,-646.614,"right"
31689,633780,-641.531,"right"
31690,633800,-633.464,"right"
31691,633820,-625.035,"right"
31692,633840,-622.455,"right"
31693,633860,-625.144,"right"
31694,633880,-709.439,"right"
31695,633900,-878.967,"right"
31696,633920,-981.766,"right"
31697,633940,-1095.83,"right"
31698,633960,-1227.23,"right"
31699,633980,-1160.48,"right"
31700,634000,-1268.9,"right"
31701,634020,-1265.81,"right"
31702,634040,-1187.45,"right"
31703,634060,-1154.33,"right"
31704,634080,-1174.17,"right"
31705,634100,-1047.68,"right"
31706,634120,-982.492,"right"
31707,634140,-977.364,"right"
31708,634160,-936.099,"right"
31709,634180,-860.287,"right"
31710,634200,-828.175,"right"
31711,634220,-782.606,"right"
31712,634240,-781.044,"right"
31713,634260,-734.925,"right"
31714,634280,-698.226,"right"
31715,634300,-677.597,"right"
31716,634320,-675.636,"right"
31717,634340,-673.103,"right"
31718,634360,-670.657,"right"
31719,634380,-670.734,"right"
31720,634400,-673.76,"right"
31721,634420,-674.74,"right"
31722,634440,-675.406,"right"
31723,634460,-676.952,"right"
31724,634480,-677.935,"right"
31725,634500,-679.436,"right"
31726,634520,-682.366,"right"
31727,634540,-688.077,"right"
31728,634560,-688.74,"right"
31729,634580,-692.354,"right"
31730,634600,-693.522,"right"
31731,634620,-694.983,"right"
31732,634640,-696.279,"right"
31733,634660,-696.274,"right"
31734,634680,-696.674,"right"
31735,634700,-696.71,"right"
31736,634720,-692.052,"right"
31737,634740,-694.756,"right"
31738,634760,-691.9,"right"
31739,634780,-693.128,"right"
31740,634800,-695.606,"right"
31741,634820,-696.391,"right"
31742,634840,-696.421,"right"
31743,634860,-695.291,"right"
31744,634880,-695.238,"right"
31745,634900,-695.142,"right"
31746,634920,-693.157,"right"
31747,634940,-694.986,"right"
31748,634960,-694.917,"right"
31749,634980,-691.544,"right"
31750,635000,-693.747,"right"
31751,635020,-693.459,"right"
31752,635040,-691.61,"right"
31753,635060,-691.669,"right"
31754,635080,-691.56,"right"
31755,635100,-691.123,"right"
31756,635120,-691.605,"right"
31757,635140,-689.412,"right"
31758,635160,-692.35,"right"
31759,635180,-693.11,"right"
31760,635200,-692.96,"right"
31761,635220,-691.636,"right"
31762,635240,-689.185,"right"
31763,635260,-691.544,"right"
31764,635280,-689.182,"right"
31765,635300,-690.99,"right"
31766,635320,-691.567,"right"
31767,635340,-689.553,"right"
31768,635360,-689.671,"right"
31769,635380,-688.121,"right"
31770,635400,-689.854,"right"
31771,635420,-689.486,"right"
31772,635440,-687.694,"right"
31773,635460,-687.934,"right"
31774,635480,-686.825,"right"
31775,635500,-686.965,"right"
31776,635520,-685.653,"right"
31777,635540,-687.952,"right"
31778,635560,-685.577,"right"
31779,635580,-686.547,"right"
31780,635600,-687.09,"right"
31781,635620,-681.674,"right"
31782,635640,-682.379,"right"
31783,635660,-683.959,"right"
31784,635680,-682.399,"right"
31785,635700,-682.742,"right"
31786,635720,-682.421,"right"
31787,635740,-680.874,"right"
31788,635760,-681.761,"right"
31789,635780,-683.234,"right"
31790,635800,-683.644,"right"
31791,635820,-682.016,"right"
31792,635840,-683.558,"right"
31793,635860,-680.925,"right"
