"frame","time_ms","z","hand"
27228,544560,-656.874,"right"
27229,544580,-655.877,"right"
27230,544600,-655.933,"right"
27231,544620,-658.44,"right"
27232,544640,-657.953,"right"
27233,544660,-658.71,"right"
27234,544680,-658.482,"right"
27235,544700,-656.206,"right"
27236,544720,-658.582,"right"
27237,544740,-657.17,"right"
27238,544760,-658.064,"right"
27239,544780,-656.743,"right"
27240,544800,-657.229,"right"
27241,544820,-656.307,"right"
27242,544840,-655.522,"right"
27243,544860,-655.974,"right"
27244,544880,-656.06,"right"
27245,544900,-655.954,"right"
27246,544920,-653.906,"right"
27247,544940,-654.28,"right"
27248,544960,-653.877,"right"
27249,544980,-654.268,"right"
27250,545000,-653.911,"right"
27251,545020,-653.788,"right"
27252,545040,-653.911,"right"
27253,545060,-653.883,"right"
27254,545080,-653.925,"right"
27255,545100,-655.641,"right"
27256,545120,-654.832,"right"
27257,545140,-654.403,"right"
27258,545160,-656.041,"right"
27259,545180,-654.776,"right"
27260,545200,-655.202,"right"
27261,545220,-654.032,"right"
27262,545240,-653.936,"right"
27263,545260,-654.822,"right"
27264,545280,-653.448,"right"
27265,545300,-650.163,"right"
27266,545320,-645.172,"right"
27267,545340,-637.068,"right"
27268,545360,-622.922,"right"
27269,545380,-602.137,"right"
27270,545400,-598.574,"right"
27271,545420,-579.145,"right"
27272,545440,-562.203,"right"
27273,545460,-560.294,"right"
27274,545480,-645.059,"right"
27275,545500,-607.438,"right"
27276,545520,-611.105,"right"
27277,545540,-732.735,"right"
27278,545560,-984.914,"right"
27279,545580,-1103.11,"right"
27280,545600,-1196.16,"right"
27281,545620,-1251.03,"right"
27282,545640,-1262.11,"right"
27283,545660,-1254.76,"right"
27284,545680,-1243.65,"right"
27285,545700,-1208.25,"right"
27286,545720,-1123.57,"right"
27287,545740,-1095.18,"right"
27288,545760,-1087.22,"right"
27289,545780,-1038.91,"right"
27290,545800,-887.321,"right"
27291,545820,-863.289,"right"
27292,545840,-821.708,"right"
27293,545860,-804.583,"right"
27294,545880,-794.307,"right"
27295,545900,-723.32,"right"
27296,545920,-751.966,"right"
27297,545940,-675.913,"right"
27298,545960,-669.589,"right"
27299,545980,-662.637,"right"
27300,546000,-657.747,"right"
27301,546020,-656.497,"right"
27302,546040,-654.332,"right"
27303,546060,-652.988,"right"
27304,546080,-652.247,"right"
27305,546100,-652.778,"right"
27306,546120,-652.893,"right"
27307,546140,-654.093,"right"
27308,546160,-652.43,"right"
27309,546180,-654.885,"right"
27310,546200,-656.21,"right"
27311,546220,-657.476,"right"
27312,546240,-658.777,"right"
27313,546260,-658.697,"right"
27314,546280,-659.196,"right"
27315,546300,-658.396,"right"
27316,546320,-660.249,"right"
27317,546340,-661.009,"right"
27318,546360,-660.899,"right"
27319,546380,-661.039,"right"
27320,546400,-661.621,"right"
27321,546420,-662.038,"right"
27322,546440,-664.622,"right"
27323,546460,-665.596,"right"
27324,546480,-665.173,"right"
27325,546500,-665.292,"right"
27326,546520,-663.501,"right"
27327,546540,-665.039,"right"
27328,546560,-665.788,"right"
27329,546580,-664.513,"right"
27330,546600,-662.99,"right"
27331,546620,-662.922,"right"
27332,546640,-663.34,"right"
27333,546660,-665.05,"right"
27334,546680,-662.505,"right"
27335,546700,-665.219,"right"
27336,546720,-665.739,"right"
27337,546740,-665.645,"right"
27338,546760,-665.898,"right"
27339,546780,-665.627,"right"
27340,546800,-665.806,"right"
27341,546820,-665.704,"right"
27342,546840,-665.723,"right"
27343,546860,-665.247,"right"
27344,546880,-665.307,"right"
27345,546900,-666.669,"right"
27346,546920,-665.391,"right"
27347,546940,-666.999,"right"
27348,546960,-667.01,"right"
27349,546980,-666.942,"right"
27350,547000,-666.888,"right"
27351,547020,-664.395,"right"
27352,547040,-663.218,"right"
27353,547060,-663.174,"right"
27354,547080,-663.909,"right"
27355,547100,-663.124,"right"
27356,547120,-663.268,"right"
27357,547140,-663.156,"right"
27358,547160,-663.324,"right"
27359,547180,-663.27,"right"
27360,547200,-663.192,"right"
27361,547220,-662.87,"right"
27362,547240,-662.772,"right"
27363,547260,-661.604,"right"
27364,547280,-663.965,"right"
27365,547300,-661.831,"right"
27366,547320,-663.818,"right"
27367,547340,-663.849,"right"
27368,547360,-663.833,"right"
27369,547380,-663.248,"right"
27370,547400,-663.311,"right"
27371,547420,-663.374,"right"
27372,547440,-662.175,"right"
27373,547460,-662.572,"right"
27374,547480,-663.823,"right"
27375,547500,-662.556,"right"
27376,547520,-662.088,"right"
27377,547540,-662.127,"right"
27378,547560,-662.002,"right"
27379,547580,-662.096,"right"
