"frame","time_ms","z","hand"
31484,629680,-689.882416,"right"
31485,629700,-689.79944,"right"
31486,629720,-689.792696,"right"
31487,629740,-689.850496,"right"
31488,629760,-689.989104,"right"
31489,629780,-690.122864,"right"
31490,629800,-690.217304,"right"
31491,629820,-690.228712,"right"
31492,629840,-690.160272,"right"
31493,629860,-689.999536,"right"
31494,629880,-689.782224,"right"
31495,629900,-689.525544,"right"
31496,629920,-689.28892,"right"
31497,629940,-689.03008,"right"
31498,629960,-688.723576,"right"
31499,629980,-688.371632,"right"
31500,630000,-687.953624,"right"
31501,630020,-687.411144,"right"
31502,630040,-686.826408,"right"
31503,630060,-686.23964,"right"
31504,630080,-685.678552,"right"
31505,630100,-685.193944,"right"
31506,630120,-684.86096,"right"
31507,630140,-684.644048,"right"
31508,630160,-684.575808,"right"
31509,630180,-684.618304,"right"
31510,630200,-684.763504,"right"
31511,630220,-684.96336,"right"
31512,630240,-685.206488,"right"
31513,630260,-685.39124,"right"
31514,630280,-685.522392,"right"
31515,630300,-685.534088,"right"
31516,630320,-685.415048,"right"
31517,630340,-685.158008,"right"
31518,630360,-684.81044,"right"
31519,630380,-684.348952,"right"
31520,630400,-683.806608,"right"
31521,630420,-683.165552,"right"
31522,630440,-682.34996,"right"
31523,630460,-681.256032,"right"
31524,630480,-679.60644,"right"
31525,630500,-677.004296,"right"
31526,630520,-673.13148,"right"
31527,630540,-667.684912,"right"
31528,630560,-660.59348,"right"
31529,630580,-652.477536,"right"
31530,630600,-645.63884,"right"
31531,630620,-643.630264,"right"
31532,630640,-651.396544,"right"
31533,630660,-673.911488,"right"
31534,630680,-714.842232,"right"
31535,630700,-774.030752,"right"
31536,630720,-848.1026,"right"
31537,630740,-929.286112,"right"
31538,630760,-1008.476704,"right"
31539,630780,-1077.487128,"right"
31540,630800,-1131.225328,"right"
31541,630820,-1165.361464,"right"
31542,630840,-1180.532336,"right"
31543,630860,-1179.717768,"right"
31544,630880,-1165.732336,"right"
31545,630900,-1139.773872,"right"
31546,630920,-1106.165784,"right"
31547,630940,-1067.831816,"right"
31548,630960,-1024.963536,"right"
31549,630980,-979.306448,"right"
31550,631000,-934.039536,"right"
31551,631020,-890.722736,"right"
31552,631040,-849.523416,"right"
31553,631060,-813.60708,"right"
31554,631080,-783.764104,"right"
31555,631100,-760.124992,"right"
31556,631120,-741.880824,"right"
31557,631140,-729.269112,"right"
31558,631160,-720.382352,"right"
31559,631180,-714.043944,"right"
31560,631200,-709.040488,"right"
31561,631220,-704.716824,"right"
31562,631240,-700.262224,"right"
31563,631260,-695.627168,"right"
31564,631280,-690.915288,"right"
31565,631300,-686.378048,"right"
31566,631320,-682.290768,"right"
31567,631340,-678.958352,"right"
31568,631360,-676.501968,"right"
31569,631380,-674.997448,"right"
31570,631400,-674.339248,"right"
31571,631420,-674.396992,"right"
31572,631440,-674.936752,"right"
31573,631460,-675.737064,"right"
31574,631480,-676.652976,"right"
31575,631500,-677.55032,"right"
31576,631520,-678.360848,"right"
31577,631540,-679.043944,"right"
31578,631560,-679.614984,"right"
31579,631580,-680.038848,"right"
31580,631600,-680.385584,"right"
31581,631620,-680.625064,"right"
31582,631640,-680.790736,"right"
31583,631660,-680.923072,"right"
31584,631680,-681.039072,"right"
31585,631700,-681.105872,"right"
31586,631720,-681.172664,"right"
31587,631740,-681.217864,"right"
31588,631760,-681.189568,"right"
31589,631780,-681.10584,"right"
31590,631800,-680.955792,"right"
31591,631820,-680.726472,"right"
31592,631840,-680.457056,"right"
31593,631860,-680.205008,"right"
31594,631880,-679.986464,"right"
31595,631900,-679.871216,"right"
31596,631920,-679.907848,"right"
31597,631940,-680.16656,"right"
31598,631960,-680.702304,"right"
31599,631980,-681.589248,"right"
31600,632000,-682.85084,"right"
31601,632020,-684.438744,"right"
31602,632040,-686.2098,"right"
31603,632060,-688.007632,"right"
31604,632080,-689.647544,"right"
31605,632100,-690.951016,"right"
31606,632120,-691.884848,"right"
31607,632140,-692.457384,"right"
31608,632160,-692.712464,"right"
31609,632180,-692.70792,"right"
31610,632200,-692.570824,"right"
31611,632220,-692.324328,"right"
31612,632240,-692.032352,"right"
31613,632260,-691.698592,"right"
31614,632280,-691.350912,"right"
31615,632300,-690.928216,"right"
31616,632320,-690.411448,"right"
31617,632340,-689.732112,"right"
31618,632360,-688.95196,"right"
31619,632380,-688.1016,"right"
31620,632400,-687.258664,"right"
31621,632420,-686.49712,"right"
31622,632440,-685.92064,"right"
31623,632460,-685.505112,"right"
31624,632480,-685.235048,"right"
31625,632500,-685.089,"right"
31626,632520,-685.02824,"right"
31627,632540,-685.028744,"right"
31628,632560,-685.084968,"right"
31629,632580,-685.223368,"right"
31630,632600,-685.455272,"right"
31631,632620,-685.815056,"right"
31632,632640,-686.229656,"right"
31633,632660,-686.724496,"right"
31634,632680,-687.216576,"right"
31635,632700,-687.662392,"right"
31636,632720,-687.949552,"right"
31637,632740,-688.132448,"right"
31638,632760,-688.11004,"right"
