"frame","time_ms","z","hand"
7679,153580,-588.514424,"right"
7680,153600,-589.156976,"right"
7681,153620,-590.022632,"right"
7682,153640,-591.082968,"right"
7683,153660,-592.2426,"right"
7684,153680,-593.318896,"right"
7685,153700,-594.14344,"right"
7686,153720,-594.60216,"right"
7687,153740,-594.5886,"right"
7688,153760,-594.139432,"right"
7689,153780,-593.416312,"right"
7690,153800,-592.57144,"right"
7691,153820,-591.685232,"right"
7692,153840,-590.876136,"right"
7693,153860,-590.195184,"right"
7694,153880,-589.58536,"right"
7695,153900,-589.035984,"right"
7696,153920,-588.632048,"right"
7697,153940,-588.384056,"right"
7698,153960,-588.244584,"right"
7699,153980,-588.218176,"right"
7700,154000,-588.226224,"right"
7701,154020,-588.182952,"right"
7702,154040,-588.042656,"right"
7703,154060,-587.861848,"right"
7704,154080,-587.688616,"right"
7705,154100,-587.633816,"right"
7706,154120,-587.743096,"right"
7707,154140,-588.046248,"right"
7708,154160,-588.505016,"right"
7709,154180,-589.060296,"right"
7710,154200,-589.623984,"right"
7711,154220,-590.10008,"right"
7712,154240,-590.431656,"right"
7713,154260,-590.612672,"right"
7714,154280,-590.62528,"right"
7715,154300,-590.439856,"right"
7716,154320,-590.068352,"right"
7717,154340,-589.464312,"right"
7718,154360,-588.481528,"right"
7719,154380,-587.01996,"right"
7720,154400,-585.011688,"right"
7721,154420,-582.318336,"right"
7722,154440,-578.766472,"right"
7723,154460,-574.278752,"right"
7724,154480,-568.734384,"right"
7725,154500,-562.005088,"right"
7726,154520,-554.209752,"right"
7727,154540,-545.738984,"right"
7728,154560,-537.17436,"right"
7729,154580,-530.129344,"right"
7730,154600,-526.990544,"right"
7731,154620,-530.346936,"right"
7732,154640,-543.81448,"right"
7733,154660,-571.418408,"right"
7734,154680,-615.186624,"right"
7735,154700,-675.41296,"right"
7736,154720,-750.980672,"right"
7737,154740,-836.871368,"right"
7738,154760,-925.521008,"right"
7739,154780,-1008.617856,"right"
7740,154800,-1078.69412,"right"
7741,154820,-1129.778704,"right"
7742,154840,-1159.375592,"right"
7743,154860,-1166.950296,"right"
7744,154880,-1155.46716,"right"
7745,154900,-1127.664688,"right"
7746,154920,-1085.614976,"right"
7747,154940,-1031.268576,"right"
7748,154960,-968.569968,"right"
7749,154980,-900.433504,"right"
7750,155000,-831.180336,"right"
7751,155020,-766.01432,"right"
7752,155040,-709.530528,"right"
7753,155060,-663.573008,"right"
7754,155080,-628.64076,"right"
7755,155100,-603.918416,"right"
7756,155120,-587.497792,"right"
7757,155140,-577.167432,"right"
7758,155160,-571.218496,"right"
7759,155180,-568.411368,"right"
7760,155200,-567.535896,"right"
7761,155220,-567.771544,"right"
7762,155240,-568.502632,"right"
7763,155260,-569.266648,"right"
7764,155280,-569.75364,"right"
7765,155300,-569.968432,"right"
7766,155320,-569.975816,"right"
7767,155340,-569.8706,"right"
7768,155360,-569.830488,"right"
7769,155380,-570.051392,"right"
7770,155400,-570.602448,"right"
7771,155420,-571.458064,"right"
7772,155440,-572.588584,"right"
7773,155460,-573.946464,"right"
7774,155480,-575.42092,"right"
7775,155500,-576.938352,"right"
7776,155520,-578.484984,"right"
7777,155540,-580.016544,"right"
7778,155560,-581.45904,"right"
7779,155580,-582.776264,"right"
7780,155600,-583.914616,"right"
7781,155620,-584.824776,"right"
7782,155640,-585.49336,"right"
7783,155660,-585.937232,"right"
7784,155680,-586.194536,"right"
7785,155700,-586.327192,"right"
7786,155720,-586.358832,"right"
7787,155740,-586.3232,"right"
7788,155760,-586.257544,"right"
7789,155780,-586.162192,"right"
7790,155800,-586.03356,"right"
7791,155820,-585.915568,"right"
7792,155840,-585.817488,"right"
7793,155860,-585.754504,"right"
7794,155880,-585.754632,"right"
7795,155900,-585.81928,"right"
7796,155920,-585.931856,"right"
7797,155940,-586.08512,"right"
7798,155960,-586.242128,"right"
7799,155980,-586.382024,"right"
7800,156000,-586.495232,"right"
7801,156020,-586.5804,"right"
7802,156040,-586.631744,"right"
7803,156060,-586.649456,"right"
7804,156080,-586.61236,"right"
7805,156100,-586.524672,"right"
7806,156120,-586.352136,"right"
7807,156140,-586.129096,"right"
7808,156160,-585.907416,"right"
7809,156180,-585.743928,"right"
7810,156200,-585.666176,"right"
7811,156220,-585.744696,"right"
7812,156240,-585.929512,"right"
7813,156260,-586.174224,"right"
7814,156280,-586.413432,"right"
7815,156300,-586.611696,"right"
7816,156320,-586.71192,"right"
7817,156340,-586.75208,"right"
7818,156360,-586.730816,"right"
7819,156380,-586.712264,"right"
7820,156400,-586.710304,"right"
7821,156420,-586.730136,"right"
7822,156440,-586.750392,"right"
7823,156460,-586.775392,"right"
7824,156480,-586.741296,"right"
7825,156500,-586.631232,"right"
7826,156520,-586.47044,"right"
7827,156540,-586.263376,"right"
7828,156560,-586.032104,"right"
7829,156580,-585.811576,"right"
7830,156600,-585.635904,"right"
