"frame","time_ms","z","hand"
15769,315380,-1439.07,"right"
15770,315400,-1438.94,"right"
15771,315420,-1438.58,"right"
15772,315440,-1438.38,"right"
15773,315460,-1437.45,"right"
15774,315480,-1437.29,"right"
15775,315500,-1437.9,"right"
15776,315520,-1438.34,"right"
15777,315540,-1435.93,"right"
15778,315560,-1437.08,"right"
15779,315580,-1438.13,"right"
15780,315600,-1437.53,"right"
15781,315620,-1438.83,"right"
15782,315640,-1437.71,"right"
15783,315660,-1438.04,"right"
15784,315680,-1437.57,"right"
15785,315700,-1437.49,"right"
15786,315720,-1436.14,"right"
15787,315740,-1437.7,"right"
15788,315760,-1435.06,"right"
15789,315780,-1436.42,"right"
15790,315800,-1432.64,"right"
15791,315820,-1435,"right"
15792,315840,-1432.73,"right"
15793,315860,-1432.69,"right"
15794,315880,-1432.52,"right"
15795,315900,-1432.67,"right"
15796,315920,-1433.71,"right"
15797,315940,-1433.9,"right"
15798,315960,-1432.17,"right"
15799,315980,-1432.65,"right"
15800,316000,-1432.24,"right"
15801,316020,-1433.53,"right"
15802,316040,-1435.19,"right"
15803,316060,-1435.63,"right"
15804,316080,-1433.8,"right"
15805,316100,-1435.96,"right"
15806,316120,-1434.75,"right"
15807,316140,-1434.47,"right"
15808,316160,-1433.66,"right"
15809,316180,-1433.49,"right"
15810,316200,-1433.48,"right"
15811,316220,-1432.53,"right"
15812,316240,-1433.09,"right"
15813,316260,-1432.71,"right"
15814,316280,-1434.63,"right"
15815,316300,-1433.25,"right"
15816,316320,-1433.26,"right"
15817,316340,-1432.18,"right"
15818,316360,-1433.29,"right"
15819,316380,-1431.95,"right"
15820,316400,-1433.27,"right"
15821,316420,-1433.28,"right"
15822,316440,-1433.05,"right"
15823,316460,-1433.58,"right"
15824,316480,-1432.56,"right"
15825,316500,-1432.14,"right"
15826,316520,-1434.87,"right"
15827,316540,-1434.65,"right"
15828,316560,-1433.21,"right"
15829,316580,-1432.1,"right"
15830,316600,-1433.21,"right"
15831,316620,-1431.62,"right"
15832,316640,-1433.35,"right"
15833,316660,-1432.14,"right"
15834,316680,-1433.36,"right"
15835,316700,-1432.08,"right"
15836,316720,-1433.36,"right"
15837,316740,-1432.86,"right"
15838,316760,-1434.67,"right"
15839,316780,-1432.32,"right"
15840,316800,-1433.47,"right"
15841,316820,-1433.92,"right"
15842,316840,-1436.41,"right"
15843,316860,-1435.32,"right"
15844,316880,-1432.86,"right"
15845,316900,-1433.62,"right"
15846,316920,-1434.25,"right"
15847,316940,-1433.65,"right"
15848,316960,-1434.02,"right"
15849,316980,-1433.44,"right"
15850,317000,-1434.17,"right"
15851,317020,-1433.59,"right"
15852,317040,-1434.82,"right"
15853,317060,-1431.65,"right"
15854,317080,-1435.42,"right"
15855,317100,-1434.65,"right"
15856,317120,-1432.96,"right"
15857,317140,-1432.94,"right"
15858,317160,-1434.03,"right"
15859,317180,-1435.13,"right"
15860,317200,-1431.72,"right"
15861,317220,-1433.59,"right"
15862,317240,-1432.31,"right"
15863,317260,-1435.79,"right"
15864,317280,-1432.82,"right"
15865,317300,-1432.18,"right"
15866,317320,-1434.56,"right"
15867,317340,-1436.39,"right"
15868,317360,-1432.84,"right"
15869,317380,-1435.27,"right"
15870,317400,-1434.06,"right"
15871,317420,-1435.49,"right"
15872,317440,-1434.05,"right"
15873,317460,-1433.39,"right"
15874,317480,-1435.02,"right"
15875,317500,-1435,"right"
15876,317520,-1433.62,"right"
15877,317540,-1435.1,"right"
15878,317560,-1435.09,"right"
15879,317580,-1436.59,"right"
15880,317600,-1436.39,"right"
15881,317620,-1437.6,"right"
15882,317640,-1436.35,"right"
15883,317660,-1436.18,"right"
15884,317680,-1434.92,"right"
15885,317700,-1436.39,"right"
15886,317720,-1436.45,"right"
15887,317740,-1436.31,"right"
15888,317760,-1437.35,"right"
15889,317780,-1437.29,"right"
15890,317800,-1436.72,"right"
15891,317820,-1437.21,"right"
15892,317840,-1434.55,"right"
15893,317860,-1436.8,"right"
15894,317880,-1436.74,"right"
15895,317900,-1435.9,"right"
15896,317920,-1435.97,"right"
15897,317940,-1434.5,"right"
15898,317960,-1435.87,"right"
15899,317980,-1435.8,"right"
15900,318000,-1435.73,"right"
15901,318020,-1437.44,"right"
15902,318040,-1435.61,"right"
15903,318060,-1435.73,"right"
15904,318080,-1436.59,"right"
15905,318100,-1435.76,"right"
15906,318120,-1436.11,"right"
15907,318140,-1435.78,"right"
15908,318160,-1438.19,"right"
15909,318180,-1435.44,"right"
15910,318200,-1437.93,"right"
15911,318220,-1438.32,"right"
15912,318240,-1436.18,"right"
15913,318260,-1437.24,"right"
15914,318280,-1435.75,"right"
15915,318300,-1435.61,"right"
15916,318320,-1436,"right"
15917,318340,-1435.68,"right"
15918,318360,-1436,"right"
15919,318380,-1435.81,"right"
15920,318400,-1435.91,"right"
15921,318420,-1435.4,"right"
