"frame","time_ms","z","hand"
27739,554780,-1269.4572,"right"
27740,554800,-1269.55672,"right"
27741,554820,-1269.60864,"right"
27742,554840,-1269.622,"right"
27743,554860,-1269.60488,"right"
27744,554880,-1269.59872,"right"
27745,554900,-1269.60336,"right"
27746,554920,-1269.65144,"right"
27747,554940,-1269.71552,"right"
27748,554960,-1269.768,"right"
27749,554980,-1269.77728,"right"
27750,555000,-1269.77112,"right"
27751,555020,-1269.75536,"right"
27752,555040,-1269.7848,"right"
27753,555060,-1269.91456,"right"
27754,555080,-1270.19408,"right"
27755,555100,-1270.62424,"right"
27756,555120,-1271.18688,"right"
27757,555140,-1271.82496,"right"
27758,555160,-1272.48168,"right"
27759,555180,-1273.07896,"right"
27760,555200,-1273.57648,"right"
27761,555220,-1273.96376,"right"
27762,555240,-1274.26048,"right"
27763,555260,-1274.48552,"right"
27764,555280,-1274.65824,"right"
27765,555300,-1274.78928,"right"
27766,555320,-1274.86224,"right"
27767,555340,-1274.8568,"right"
27768,555360,-1274.7556,"right"
27769,555380,-1274.61696,"right"
27770,555400,-1274.45272,"right"
27771,555420,-1274.32864,"right"
27772,555440,-1274.28768,"right"
27773,555460,-1274.37656,"right"
27774,555480,-1274.5388,"right"
27775,555500,-1274.78176,"right"
27776,555520,-1275.0384,"right"
27777,555540,-1275.2748,"right"
27778,555560,-1275.42464,"right"
27779,555580,-1275.49584,"right"
27780,555600,-1275.45976,"right"
27781,555620,-1275.3628,"right"
27782,555640,-1275.20536,"right"
27783,555660,-1275.04176,"right"
27784,555680,-1274.89056,"right"
27785,555700,-1274.77048,"right"
27786,555720,-1274.65408,"right"
27787,555740,-1274.56328,"right"
27788,555760,-1274.48344,"right"
27789,555780,-1274.40704,"right"
27790,555800,-1274.35608,"right"
27791,555820,-1274.33112,"right"
27792,555840,-1274.322,"right"
27793,555860,-1274.3156,"right"
27794,555880,-1274.30152,"right"
27795,555900,-1274.22592,"right"
27796,555920,-1274.1264,"right"
27797,555940,-1274.01064,"right"
27798,555960,-1273.89888,"right"
27799,555980,-1273.82624,"right"
27800,556000,-1273.8556,"right"
27801,556020,-1273.89992,"right"
27802,556040,-1273.93144,"right"
27803,556060,-1273.95368,"right"
27804,556080,-1273.90712,"right"
27805,556100,-1273.74576,"right"
27806,556120,-1273.59784,"right"
27807,556140,-1273.47432,"right"
27808,556160,-1273.36216,"right"
27809,556180,-1273.34208,"right"
27810,556200,-1273.44728,"right"
27811,556220,-1273.58896,"right"
27812,556240,-1273.83448,"right"
27813,556260,-1274.19328,"right"
27814,556280,-1274.57992,"right"
27815,556300,-1274.98688,"right"
27816,556320,-1275.4116,"right"
27817,556340,-1275.75408,"right"
27818,556360,-1275.96568,"right"
27819,556380,-1276.09432,"right"
27820,556400,-1276.11008,"right"
27821,556420,-1276.04576,"right"
27822,556440,-1275.93352,"right"
27823,556460,-1275.83312,"right"
27824,556480,-1275.73496,"right"
27825,556500,-1275.65064,"right"
27826,556520,-1275.55872,"right"
27827,556540,-1275.47856,"right"
27828,556560,-1275.3904,"right"
27829,556580,-1275.29408,"right"
27830,556600,-1275.2044,"right"
27831,556620,-1275.1404,"right"
27832,556640,-1275.08992,"right"
27833,556660,-1275.05096,"right"
27834,556680,-1275.0244,"right"
27835,556700,-1274.99592,"right"
27836,556720,-1274.95696,"right"
27837,556740,-1274.89032,"right"
27838,556760,-1274.77896,"right"
27839,556780,-1274.61192,"right"
27840,556800,-1274.41736,"right"
27841,556820,-1274.21496,"right"
27842,556840,-1274.06304,"right"
27843,556860,-1274.01848,"right"
27844,556880,-1274.10272,"right"
27845,556900,-1274.24552,"right"
27846,556920,-1274.37808,"right"
27847,556940,-1274.41168,"right"
27848,556960,-1274.2608,"right"
27849,556980,-1273.904,"right"
27850,557000,-1273.45048,"right"
27851,557020,-1272.97944,"right"
27852,557040,-1272.58928,"right"
27853,557060,-1272.35648,"right"
27854,557080,-1272.28232,"right"
27855,557100,-1272.28824,"right"
27856,557120,-1272.32328,"right"
27857,557140,-1272.31008,"right"
27858,557160,-1272.23736,"right"
27859,557180,-1272.1524,"right"
27860,557200,-1272.09368,"right"
27861,557220,-1272.14032,"right"
27862,557240,-1272.33792,"right"
27863,557260,-1272.66016,"right"
27864,557280,-1273.05176,"right"
27865,557300,-1273.466,"right"
27866,557320,-1273.79816,"right"
27867,557340,-1274.00392,"right"
27868,557360,-1274.07168,"right"
27869,557380,-1274.01568,"right"
27870,557400,-1273.87104,"right"
27871,557420,-1273.68024,"right"
27872,557440,-1273.50792,"right"
27873,557460,-1273.3844,"right"
27874,557480,-1273.31408,"right"
27875,557500,-1273.2716,"right"
27876,557520,-1273.28176,"right"
27877,557540,-1273.27808,"right"
27878,557560,-1273.24952,"right"
27879,557580,-1273.19432,"right"
27880,557600,-1273.15864,"right"
27881,557620,-1273.11144,"right"
27882,557640,-1273.1004,"right"
27883,557660,-1273.1264,"right"
27884,557680,-1273.19928,"right"
27885,557700,-1273.2904,"right"
27886,557720,-1273.41024,"right"
27887,557740,-1273.52168,"right"
27888,557760,-1273.63384,"right"
27889,557780,-1273.72872,"right"
27890,557800,-1273.81632,"right"
27891,557820,-1273.91472,"right"
