"frame","time_ms","z","hand"
23221,464420,-1281.43,"right"
23222,464440,-1281.35,"right"
23223,464460,-1281.3,"right"
23224,464480,-1282.43,"right"
23225,464500,-1281.28,"right"
23226,464520,-1281.18,"right"
23227,464540,-1282.47,"right"
23228,464560,-1282.39,"right"
23229,464580,-1282.38,"right"
23230,464600,-1282.04,"right"
23231,464620,-1283.72,"right"
23232,464640,-1282.48,"right"
23233,464660,-1283.75,"right"
23234,464680,-1281.07,"right"
23235,464700,-1282.45,"right"
23236,464720,-1282.39,"right"
23237,464740,-1281.29,"right"
23238,464760,-1280.81,"right"
23239,464780,-1281.25,"right"
23240,464800,-1280.78,"right"
23241,464820,-1280.83,"right"
23242,464840,-1280.82,"right"
23243,464860,-1282.36,"right"
23244,464880,-1280.87,"right"
23245,464900,-1281.19,"right"
23246,464920,-1280.86,"right"
23247,464940,-1282.49,"right"
23248,464960,-1280.86,"right"
23249,464980,-1282.35,"right"
23250,465000,-1282.37,"right"
23251,465020,-1280.98,"right"
23252,465040,-1279.61,"right"
23253,465060,-1281.18,"right"
23254,465080,-1280.77,"right"
23255,465100,-1282.06,"right"
23256,465120,-1282.01,"right"
23257,465140,-1282.06,"right"
23258,465160,-1279.96,"right"
23259,465180,-1279.97,"right"
23260,465200,-1279.96,"right"
23261,465220,-1282.07,"right"
23262,465240,-1281.99,"right"
23263,465260,-1280.82,"right"
23264,465280,-1279.49,"right"
23265,465300,-1278.05,"right"
23266,465320,-1277.95,"right"
23267,465340,-1277.93,"right"
23268,465360,-1279.16,"right"
23269,465380,-1275.61,"right"
23270,465400,-1277.96,"right"
23271,465420,-1278,"right"
23272,465440,-1280.38,"right"
23273,465460,-1279.17,"right"
23274,465480,-1279.25,"right"
23275,465500,-1279.26,"right"
23276,465520,-1277.93,"right"
23277,465540,-1279.27,"right"
23278,465560,-1280.95,"right"
23279,465580,-1279.54,"right"
23280,465600,-1279.56,"right"
23281,465620,-1279.6,"right"
23282,465640,-1279.56,"right"
23283,465660,-1279.64,"right"
23284,465680,-1278.73,"right"
23285,465700,-1279.57,"right"
23286,465720,-1279.53,"right"
23287,465740,-1278.35,"right"
23288,465760,-1278.25,"right"
23289,465780,-1278.29,"right"
23290,465800,-1280.79,"right"
23291,465820,-1277.05,"right"
23292,465840,-1277.04,"right"
23293,465860,-1277.03,"right"
23294,465880,-1279.19,"right"
23295,465900,-1277.01,"right"
23296,465920,-1276.83,"right"
23297,465940,-1276.73,"right"
23298,465960,-1279.15,"right"
23299,465980,-1275.56,"right"
23300,466000,-1277.11,"right"
23301,466020,-1276.9,"right"
23302,466040,-1278.09,"right"
23303,466060,-1276.9,"right"
23304,466080,-1278.59,"right"
23305,466100,-1278.12,"right"
23306,466120,-1278.13,"right"
23307,466140,-1278.06,"right"
23308,466160,-1278.14,"right"
23309,466180,-1279.31,"right"
23310,466200,-1280,"right"
23311,466220,-1279.17,"right"
23312,466240,-1279.57,"right"
23313,466260,-1278.25,"right"
23314,466280,-1278.28,"right"
23315,466300,-1278.26,"right"
23316,466320,-1279.48,"right"
23317,466340,-1279.23,"right"
23318,466360,-1277.04,"right"
23319,466380,-1279.3,"right"
23320,466400,-1279.61,"right"
23321,466420,-1277.55,"right"
23322,466440,-1278.75,"right"
23323,466460,-1278.58,"right"
23324,466480,-1278.1,"right"
23325,466500,-1277.1,"right"
23326,466520,-1278.36,"right"
23327,466540,-1277.51,"right"
23328,466560,-1280.77,"right"
23329,466580,-1278.7,"right"
23330,466600,-1280.81,"right"
23331,466620,-1277.2,"right"
23332,466640,-1278.09,"right"
23333,466660,-1278.08,"right"
23334,466680,-1276.13,"right"
23335,466700,-1278.11,"right"
23336,466720,-1277.31,"right"
23337,466740,-1279.79,"right"
23338,466760,-1277.13,"right"
23339,466780,-1278.37,"right"
23340,466800,-1277.21,"right"
23341,466820,-1277.13,"right"
23342,466840,-1279.51,"right"
23343,466860,-1278.3,"right"
23344,466880,-1276.7,"right"
23345,466900,-1275.88,"right"
23346,466920,-1277.05,"right"
23347,466940,-1275.92,"right"
23348,466960,-1274.54,"right"
23349,466980,-1277.17,"right"
23350,467000,-1278.26,"right"
23351,467020,-1279.62,"right"
23352,467040,-1278.34,"right"
23353,467060,-1275.65,"right"
23354,467080,-1276.78,"right"
23355,467100,-1277.07,"right"
23356,467120,-1276.81,"right"
23357,467140,-1277.13,"right"
23358,467160,-1278.2,"right"
23359,467180,-1278.26,"right"
23360,467200,-1280.32,"right"
23361,467220,-1279.24,"right"
23362,467240,-1279.39,"right"
23363,467260,-1280.44,"right"
23364,467280,-1279.09,"right"
23365,467300,-1279.5,"right"
23366,467320,-1279.15,"right"
23367,467340,-1279.46,"right"
23368,467360,-1279.44,"right"
23369,467380,-1278.25,"right"
23370,467400,-1279.5,"right"
23371,467420,-1278.27,"right"
23372,467440,-1280.52,"right"
