"frame","time_ms","z","hand"
19324,386480,-679.129136,"right"
19325,386500,-679.08264,"right"
19326,386520,-679.290864,"right"
19327,386540,-679.641456,"right"
19328,386560,-680.183632,"right"
19329,386580,-680.726152,"right"
19330,386600,-681.158424,"right"
19331,386620,-681.381144,"right"
19332,386640,-681.423104,"right"
19333,386660,-681.203648,"right"
19334,386680,-680.829832,"right"
19335,386700,-680.275376,"right"
19336,386720,-679.560872,"right"
19337,386740,-678.658352,"right"
19338,386760,-677.633368,"right"
19339,386780,-676.45548,"right"
19340,386800,-675.19168,"right"
19341,386820,-673.925288,"right"
19342,386840,-672.803136,"right"
19343,386860,-671.842408,"right"
19344,386880,-671.105016,"right"
19345,386900,-670.668232,"right"
19346,386920,-670.494432,"right"
19347,386940,-670.470512,"right"
19348,386960,-670.584048,"right"
19349,386980,-670.805224,"right"
19350,387000,-670.995608,"right"
19351,387020,-671.150496,"right"
19352,387040,-671.289224,"right"
19353,387060,-671.489136,"right"
19354,387080,-671.735192,"right"
19355,387100,-672.081224,"right"
19356,387120,-672.546888,"right"
19357,387140,-673.061496,"right"
19358,387160,-673.375432,"right"
19359,387180,-673.436736,"right"
19360,387200,-673.189912,"right"
19361,387220,-672.473552,"right"
19362,387240,-671.390888,"right"
19363,387260,-670.034456,"right"
19364,387280,-668.305984,"right"
19365,387300,-665.980648,"right"
19366,387320,-662.936832,"right"
19367,387340,-658.73036,"right"
19368,387360,-653.16308,"right"
19369,387380,-646.16052,"right"
19370,387400,-637.897448,"right"
19371,387420,-628.427312,"right"
19372,387440,-613.694216,"right"
19373,387460,-593.856712,"right"
19374,387480,-569.253424,"right"
19375,387500,-540.34128,"right"
19376,387520,-508.040056,"right"
19377,387540,-487.339824,"right"
19378,387560,-481.106128,"right"
19379,387580,-491.702088,"right"
19380,387600,-522.965384,"right"
19381,387620,-579.318896,"right"
19382,387640,-648.955312,"right"
19383,387660,-730.207248,"right"
19384,387680,-821.922848,"right"
19385,387700,-916.241104,"right"
19386,387720,-1001.808784,"right"
19387,387740,-1074.462144,"right"
19388,387760,-1128.289944,"right"
19389,387780,-1156.947952,"right"
19390,387800,-1161.90932,"right"
19391,387820,-1148.253376,"right"
19392,387840,-1120.162248,"right"
19393,387860,-1081.809136,"right"
19394,387880,-1037.363976,"right"
19395,387900,-989.480656,"right"
19396,387920,-940.08552,"right"
19397,387940,-891.715856,"right"
19398,387960,-846.17112,"right"
19399,387980,-805.966136,"right"
19400,388000,-771.360144,"right"
19401,388020,-742.318456,"right"
19402,388040,-718.339512,"right"
19403,388060,-699.088112,"right"
19404,388080,-683.538816,"right"
19405,388100,-671.473056,"right"
19406,388120,-662.614016,"right"
19407,388140,-656.482176,"right"
19408,388160,-652.452624,"right"
19409,388180,-650.113424,"right"
19410,388200,-649.169672,"right"
19411,388220,-649.269104,"right"
19412,388240,-650.316536,"right"
19413,388260,-652.291832,"right"
19414,388280,-655.073488,"right"
19415,388300,-658.592552,"right"
19416,388320,-662.81816,"right"
19417,388340,-667.485944,"right"
19418,388360,-672.31348,"right"
19419,388380,-677.016168,"right"
19420,388400,-681.230096,"right"
19421,388420,-684.66528,"right"
19422,388440,-687.268744,"right"
19423,388460,-689.075728,"right"
19424,388480,-690.265832,"right"
19425,388500,-691.10512,"right"
19426,388520,-691.786728,"right"
19427,388540,-692.428536,"right"
19428,388560,-693.073104,"right"
19429,388580,-693.679528,"right"
19430,388600,-694.1546,"right"
19431,388620,-694.46836,"right"
19432,388640,-694.605696,"right"
19433,388660,-694.597816,"right"
19434,388680,-694.484616,"right"
19435,388700,-694.33116,"right"
19436,388720,-694.162504,"right"
19437,388740,-693.96152,"right"
19438,388760,-693.70492,"right"
19439,388780,-693.371144,"right"
19440,388800,-692.874848,"right"
19441,388820,-692.120296,"right"
19442,388840,-691.067712,"right"
19443,388860,-689.640784,"right"
19444,388880,-687.76412,"right"
19445,388900,-685.490584,"right"
