"frame","time_ms","z","hand"
15301,306020,-1439.2184,"right"
15302,306040,-1439.59496,"right"
15303,306060,-1439.76872,"right"
15304,306080,-1439.7412,"right"
15305,306100,-1439.51056,"right"
15306,306120,-1439.16568,"right"
15307,306140,-1438.79952,"right"
15308,306160,-1438.4968,"right"
15309,306180,-1438.23896,"right"
15310,306200,-1438.04544,"right"
15311,306220,-1437.86192,"right"
15312,306240,-1437.67032,"right"
15313,306260,-1437.43608,"right"
15314,306280,-1437.1524,"right"
15315,306300,-1436.79648,"right"
15316,306320,-1436.4276,"right"
15317,306340,-1436.02736,"right"
15318,306360,-1435.62448,"right"
15319,306380,-1435.27,"right"
15320,306400,-1434.95976,"right"
15321,306420,-1434.63056,"right"
15322,306440,-1434.306,"right"
15323,306460,-1433.9952,"right"
15324,306480,-1433.70224,"right"
15325,306500,-1433.50072,"right"
15326,306520,-1433.46736,"right"
15327,306540,-1433.60776,"right"
15328,306560,-1433.89272,"right"
15329,306580,-1434.288,"right"
15330,306600,-1434.72208,"right"
15331,306620,-1435.16064,"right"
15332,306640,-1435.60808,"right"
15333,306660,-1436.09104,"right"
15334,306680,-1436.59328,"right"
15335,306700,-1437.13064,"right"
15336,306720,-1437.65616,"right"
15337,306740,-1438.12672,"right"
15338,306760,-1438.49312,"right"
15339,306780,-1438.76784,"right"
15340,306800,-1438.95376,"right"
15341,306820,-1439.06632,"right"
15342,306840,-1439.11208,"right"
15343,306860,-1439.0928,"right"
15344,306880,-1438.96912,"right"
15345,306900,-1438.71968,"right"
15346,306920,-1438.36664,"right"
15347,306940,-1437.9416,"right"
15348,306960,-1437.49832,"right"
15349,306980,-1437.1444,"right"
15350,307000,-1436.89928,"right"
15351,307020,-1436.8104,"right"
15352,307040,-1436.85312,"right"
15353,307060,-1436.9896,"right"
15354,307080,-1437.13792,"right"
15355,307100,-1437.3,"right"
15356,307120,-1437.37624,"right"
15357,307140,-1437.37824,"right"
15358,307160,-1437.30072,"right"
15359,307180,-1437.14832,"right"
15360,307200,-1436.90584,"right"
15361,307220,-1436.65256,"right"
15362,307240,-1436.38872,"right"
15363,307260,-1436.17704,"right"
15364,307280,-1436.07584,"right"
15365,307300,-1436.14456,"right"
15366,307320,-1436.34064,"right"
15367,307340,-1436.67792,"right"
15368,307360,-1437.08064,"right"
15369,307380,-1437.46376,"right"
15370,307400,-1437.74552,"right"
15371,307420,-1437.94128,"right"
15372,307440,-1438.04296,"right"
15373,307460,-1438.0804,"right"
15374,307480,-1438.1076,"right"
15375,307500,-1438.14032,"right"
15376,307520,-1438.1732,"right"
15377,307540,-1438.15304,"right"
15378,307560,-1438.05896,"right"
15379,307580,-1437.85952,"right"
15380,307600,-1437.58744,"right"
15381,307620,-1437.23424,"right"
15382,307640,-1436.86968,"right"
15383,307660,-1436.54464,"right"
15384,307680,-1436.30976,"right"
15385,307700,-1436.16008,"right"
15386,307720,-1436.13696,"right"
15387,307740,-1436.22096,"right"
15388,307760,-1436.38368,"right"
15389,307780,-1436.59408,"right"
15390,307800,-1436.83904,"right"
15391,307820,-1437.08064,"right"
15392,307840,-1437.31424,"right"
15393,307860,-1437.51952,"right"
15394,307880,-1437.664,"right"
15395,307900,-1437.74424,"right"
15396,307920,-1437.73824,"right"
15397,307940,-1437.61136,"right"
15398,307960,-1437.35816,"right"
15399,307980,-1437.01264,"right"
15400,308000,-1436.574,"right"
15401,308020,-1436.08544,"right"
15402,308040,-1435.62448,"right"
15403,308060,-1435.22904,"right"
15404,308080,-1434.91128,"right"
15405,308100,-1434.71104,"right"
15406,308120,-1434.64944,"right"
15407,308140,-1434.67256,"right"
15408,308160,-1434.81008,"right"
15409,308180,-1435.082,"right"
15410,308200,-1435.4572,"right"
15411,308220,-1435.89016,"right"
15412,308240,-1436.39712,"right"
15413,308260,-1436.89376,"right"
15414,308280,-1437.30312,"right"
15415,308300,-1437.60944,"right"
15416,308320,-1437.81024,"right"
15417,308340,-1437.88896,"right"
15418,308360,-1437.89496,"right"
15419,308380,-1437.86928,"right"
15420,308400,-1437.79344,"right"
15421,308420,-1437.69448,"right"
15422,308440,-1437.5876,"right"
15423,308460,-1437.43408,"right"
15424,308480,-1437.24576,"right"
15425,308500,-1437.10288,"right"
15426,308520,-1436.96,"right"
15427,308540,-1436.80016,"right"
15428,308560,-1436.69056,"right"
15429,308580,-1436.60568,"right"
15430,308600,-1436.48656,"right"
15431,308620,-1436.37224,"right"
15432,308640,-1436.29408,"right"
15433,308660,-1436.19256,"right"
15434,308680,-1436.11312,"right"
15435,308700,-1436.06376,"right"
15436,308720,-1436.07736,"right"
15437,308740,-1436.12928,"right"
15438,308760,-1436.25152,"right"
15439,308780,-1436.39576,"right"
15440,308800,-1436.57856,"right"
15441,308820,-1436.72816,"right"
15442,308840,-1436.8476,"right"
15443,308860,-1436.9164,"right"
15444,308880,-1436.95888,"right"
15445,308900,-1436.94984,"right"
15446,308920,-1436.92808,"right"
15447,308940,-1436.896,"right"
15448,308960,-1436.87112,"right"
15449,308980,-1436.84576,"right"
15450,309000,-1436.83776,"right"
15451,309020,-1436.8452,"right"
15452,309040,-1436.8608,"right"
15453,309060,-1436.88184,"right"
15454,309080,-1436.90896,"right"
15455,309100,-1436.94816,"right"
15456,309120,-1436.9948,"right"
15457,309140,-1437.08856,"right"
15458,309160,-1437.22744,"right"
15459,309180,-1437.42016,"right"
15460,309200,-1437.6332,"right"
15461,309220,-1437.86784,"right"
