"frame","time_ms","z","hand"
2000,40000,-1428.5356,"right"
2001,40020,-1428.60496,"right"
2002,40040,-1428.618,"right"
2003,40060,-1428.58008,"right"
2004,40080,-1428.47424,"right"
2005,40100,-1428.37504,"right"
2006,40120,-1428.33144,"right"
2007,40140,-1428.3752,"right"
2008,40160,-1428.52408,"right"
2009,40180,-1428.80776,"right"
2010,40200,-1429.16008,"right"
2011,40220,-1429.51408,"right"
2012,40240,-1429.84632,"right"
2013,40260,-1430.11744,"right"
2014,40280,-1430.29648,"right"
2015,40300,-1430.40296,"right"
2016,40320,-1430.45704,"right"
2017,40340,-1430.45352,"right"
2018,40360,-1430.42056,"right"
2019,40380,-1430.37848,"right"
2020,40400,-1430.35104,"right"
2021,40420,-1430.36608,"right"
2022,40440,-1430.43048,"right"
2023,40460,-1430.52256,"right"
2024,40480,-1430.61664,"right"
2025,40500,-1430.67464,"right"
2026,40520,-1430.65576,"right"
2027,40540,-1430.53048,"right"
2028,40560,-1430.29968,"right"
2029,40580,-1429.96352,"right"
2030,40600,-1429.52728,"right"
2031,40620,-1429.00048,"right"
2032,40640,-1428.44888,"right"
2033,40660,-1427.91264,"right"
2034,40680,-1427.43584,"right"
2035,40700,-1427.06416,"right"
2036,40720,-1426.83232,"right"
2037,40740,-1426.70616,"right"
2038,40760,-1426.66512,"right"
2039,40780,-1426.69168,"right"
2040,40800,-1426.7524,"right"
2041,40820,-1426.82192,"right"
2042,40840,-1426.9056,"right"
2043,40860,-1426.9924,"right"
2044,40880,-1427.07232,"right"
2045,40900,-1427.14664,"right"
2046,40920,-1427.24104,"right"
2047,40940,-1427.3556,"right"
2048,40960,-1427.496,"right"
2049,40980,-1427.65648,"right"
2050,41000,-1427.8444,"right"
2051,41020,-1428.00632,"right"
2052,41040,-1428.12464,"right"
2053,41060,-1428.2088,"right"
2054,41080,-1428.24168,"right"
2055,41100,-1428.20392,"right"
2056,41120,-1428.14832,"right"
2057,41140,-1428.09352,"right"
2058,41160,-1428.01896,"right"
2059,41180,-1427.99648,"right"
2060,41200,-1428.046,"right"
2061,41220,-1428.13296,"right"
2062,41240,-1428.24552,"right"
2063,41260,-1428.38192,"right"
2064,41280,-1428.4564,"right"
2065,41300,-1428.45968,"right"
2066,41320,-1428.39648,"right"
2067,41340,-1428.27424,"right"
2068,41360,-1428.1284,"right"
2069,41380,-1428.01032,"right"
2070,41400,-1427.9172,"right"
2071,41420,-1427.84936,"right"
2072,41440,-1427.7708,"right"
2073,41460,-1427.65088,"right"
2074,41480,-1427.47288,"right"
2075,41500,-1427.25752,"right"
2076,41520,-1427.03472,"right"
2077,41540,-1426.9032,"right"
2078,41560,-1426.86784,"right"
2079,41580,-1426.944,"right"
2080,41600,-1427.12152,"right"
2081,41620,-1427.37736,"right"
2082,41640,-1427.60592,"right"
2083,41660,-1427.79744,"right"
2084,41680,-1427.93384,"right"
2085,41700,-1428.00024,"right"
2086,41720,-1427.99544,"right"
2087,41740,-1427.96944,"right"
2088,41760,-1427.95464,"right"
2089,41780,-1427.9516,"right"
2090,41800,-1427.9612,"right"
2091,41820,-1427.96624,"right"
2092,41840,-1427.95824,"right"
2093,41860,-1427.90864,"right"
2094,41880,-1427.8128,"right"
2095,41900,-1427.69624,"right"
2096,41920,-1427.60008,"right"
2097,41940,-1427.53904,"right"
2098,41960,-1427.52712,"right"
2099,41980,-1427.59832,"right"
2100,42000,-1427.71704,"right"
2101,42020,-1427.84344,"right"
2102,42040,-1427.92848,"right"
2103,42060,-1427.9604,"right"
2104,42080,-1427.8868,"right"
2105,42100,-1427.73664,"right"
2106,42120,-1427.53,"right"
2107,42140,-1427.32656,"right"
2108,42160,-1427.14632,"right"
2109,42180,-1427.04904,"right"
2110,42200,-1427.02288,"right"
2111,42220,-1427.07384,"right"
2112,42240,-1427.16736,"right"
2113,42260,-1427.28648,"right"
2114,42280,-1427.37208,"right"
2115,42300,-1427.42648,"right"
2116,42320,-1427.42784,"right"
2117,42340,-1427.38584,"right"
2118,42360,-1427.28384,"right"
2119,42380,-1427.15688,"right"
2120,42400,-1427.00776,"right"
2121,42420,-1426.85896,"right"
2122,42440,-1426.71208,"right"
2123,42460,-1426.6072,"right"
2124,42480,-1426.55048,"right"
2125,42500,-1426.55712,"right"
2126,42520,-1426.6252,"right"
2127,42540,-1426.74544,"right"
2128,42560,-1426.89936,"right"
2129,42580,-1427.06216,"right"
2130,42600,-1427.18512,"right"
2131,42620,-1427.25952,"right"
2132,42640,-1427.30232,"right"
2133,42660,-1427.31568,"right"
2134,42680,-1427.3156,"right"
2135,42700,-1427.34576,"right"
2136,42720,-1427.39312,"right"
2137,42740,-1427.44976,"right"
2138,42760,-1427.4952,"right"
2139,42780,-1427.53048,"right"
2140,42800,-1427.54312,"right"
2141,42820,-1427.5624,"right"
2142,42840,-1427.57072,"right"
2143,42860,-1427.596,"right"
2144,42880,-1427.62056,"right"
2145,42900,-1427.63272,"right"
2146,42920,-1427.59648,"right"
2147,42940,-1427.52928,"right"
2148,42960,-1427.42392,"right"
2149,42980,-1427.29272,"right"
2150,43000,-1427.16096,"right"
2151,43020,-1427.0776,"right"
2152,43040,-1427.062,"right"
2153,43060,-1427.10472,"right"
2154,43080,-1427.2204,"right"
