"frame","time_ms","z","hand"
11083,221660,-1437.29,"right"
11084,221680,-1437.32,"right"
11085,221700,-1437.28,"right"
11086,221720,-1437.42,"right"
11087,221740,-1437.3,"right"
11088,221760,-1437.6,"right"
11089,221780,-1437.28,"right"
11090,221800,-1437.73,"right"
11091,221820,-1437.69,"right"
11092,221840,-1437.42,"right"
11093,221860,-1437.43,"right"
11094,221880,-1437.49,"right"
11095,221900,-1437.38,"right"
11096,221920,-1437.51,"right"
11097,221940,-1437.57,"right"
11098,221960,-1437.48,"right"
11099,221980,-1437.29,"right"
11100,222000,-1437.54,"right"
11101,222020,-1437.42,"right"
11102,222040,-1439.96,"right"
11103,222060,-1439.34,"right"
11104,222080,-1439.8,"right"
11105,222100,-1439.12,"right"
11106,222120,-1439.87,"right"
11107,222140,-1439.25,"right"
11108,222160,-1439.39,"right"
11109,222180,-1439.37,"right"
11110,222200,-1441.04,"right"
11111,222220,-1439.77,"right"
11112,222240,-1439.98,"right"
11113,222260,-1439.84,"right"
11114,222280,-1437.82,"right"
11115,222300,-1437.25,"right"
11116,222320,-1438.03,"right"
11117,222340,-1439.8,"right"
11118,222360,-1437.84,"right"
11119,222380,-1437.81,"right"
11120,222400,-1438.21,"right"
11121,222420,-1437.86,"right"
11122,222440,-1437.66,"right"
11123,222460,-1437.97,"right"
11124,222480,-1437.31,"right"
11125,222500,-1439.7,"right"
11126,222520,-1439.95,"right"
11127,222540,-1439.67,"right"
11128,222560,-1438.5,"right"
11129,222580,-1437.11,"right"
11130,222600,-1439.99,"right"
11131,222620,-1437.34,"right"
11132,222640,-1438.03,"right"
11133,222660,-1437.91,"right"
11134,222680,-1438.06,"right"
11135,222700,-1438.15,"right"
11136,222720,-1438.1,"right"
11137,222740,-1437.58,"right"
11138,222760,-1437.6,"right"
11139,222780,-1437.64,"right"
11140,222800,-1437.56,"right"
11141,222820,-1437.58,"right"
11142,222840,-1437.57,"right"
11143,222860,-1438.8,"right"
11144,222880,-1437.67,"right"
11145,222900,-1437.55,"right"
11146,222920,-1438.22,"right"
11147,222940,-1437.84,"right"
11148,222960,-1438.53,"right"
11149,222980,-1438.28,"right"
11150,223000,-1438.2,"right"
11151,223020,-1437.24,"right"
11152,223040,-1437.3,"right"
11153,223060,-1437.35,"right"
11154,223080,-1437.66,"right"
11155,223100,-1437.3,"right"
11156,223120,-1437.31,"right"
11157,223140,-1437.38,"right"
11158,223160,-1437.97,"right"
11159,223180,-1439.98,"right"
11160,223200,-1439.96,"right"
11161,223220,-1439.94,"right"
11162,223240,-1439.96,"right"
11163,223260,-1439.92,"right"
11164,223280,-1439.92,"right"
11165,223300,-1440.18,"right"
11166,223320,-1438.01,"right"
11167,223340,-1438.02,"right"
11168,223360,-1440,"right"
11169,223380,-1438,"right"
11170,223400,-1440.11,"right"
11171,223420,-1439.95,"right"
11172,223440,-1440.1,"right"
11173,223460,-1439.96,"right"
11174,223480,-1439.89,"right"
11175,223500,-1439.94,"right"
11176,223520,-1439.91,"right"
11177,223540,-1439.98,"right"
11178,223560,-1438.86,"right"
11179,223580,-1439.98,"right"
11180,223600,-1437.97,"right"
11181,223620,-1437.98,"right"
11182,223640,-1437.97,"right"
11183,223660,-1437.3,"right"
11184,223680,-1440.01,"right"
11185,223700,-1438.03,"right"
11186,223720,-1438.06,"right"
11187,223740,-1438.01,"right"
11188,223760,-1437.4,"right"
11189,223780,-1438.09,"right"
11190,223800,-1437.51,"right"
11191,223820,-1438.23,"right"
11192,223840,-1437.55,"right"
11193,223860,-1438.2,"right"
11194,223880,-1437.61,"right"
11195,223900,-1438.21,"right"
11196,223920,-1437.55,"right"
11197,223940,-1437.78,"right"
11198,223960,-1437.55,"right"
11199,223980,-1437.87,"right"
11200,224000,-1437.5,"right"
11201,224020,-1438.74,"right"
11202,224040,-1438.79,"right"
11203,224060,-1438.73,"right"
11204,224080,-1438.75,"right"
11205,224100,-1437.87,"right"
11206,224120,-1437.58,"right"
11207,224140,-1437.67,"right"
11208,224160,-1438.29,"right"
11209,224180,-1438.32,"right"
11210,224200,-1438.72,"right"
11211,224220,-1439.12,"right"
11212,224240,-1439.44,"right"
11213,224260,-1438.89,"right"
11214,224280,-1438.28,"right"
11215,224300,-1438.86,"right"
11216,224320,-1439.44,"right"
11217,224340,-1439.04,"right"
11218,224360,-1439.51,"right"
11219,224380,-1439.02,"right"
11220,224400,-1438.77,"right"
11221,224420,-1438.85,"right"
11222,224440,-1439.48,"right"
11223,224460,-1438.81,"right"
11224,224480,-1439.47,"right"
11225,224500,-1438.73,"right"
11226,224520,-1439.36,"right"
11227,224540,-1439.35,"right"
11228,224560,-1439.34,"right"
11229,224580,-1439.49,"right"
11230,224600,-1439.51,"right"
11231,224620,-1439.01,"right"
11232,224640,-1439.54,"right"
11233,224660,-1438.93,"right"
11234,224680,-1439.56,"right"
11235,224700,-1438.91,"right"
11236,224720,-1439.55,"right"
11237,224740,-1440.06,"right"
