"frame","time_ms","z","hand"
16289,325780,-1428.36992,"right"
16290,325800,-1428.15784,"right"
16291,325820,-1427.97632,"right"
16292,325840,-1427.78328,"right"
16293,325860,-1427.52544,"right"
16294,325880,-1427.2152,"right"
16295,325900,-1426.87728,"right"
16296,325920,-1426.58008,"right"
16297,325940,-1426.33296,"right"
16298,325960,-1426.18456,"right"
16299,325980,-1426.11552,"right"
16300,326000,-1426.05232,"right"
16301,326020,-1425.94984,"right"
16302,326040,-1425.82224,"right"
16303,326060,-1425.64168,"right"
16304,326080,-1425.42248,"right"
16305,326100,-1425.23808,"right"
16306,326120,-1425.10504,"right"
16307,326140,-1425.00256,"right"
16308,326160,-1424.926,"right"
16309,326180,-1424.85944,"right"
16310,326200,-1424.76424,"right"
16311,326220,-1424.63072,"right"
16312,326240,-1424.47056,"right"
16313,326260,-1424.3028,"right"
16314,326280,-1424.15136,"right"
16315,326300,-1424.03136,"right"
16316,326320,-1423.9568,"right"
16317,326340,-1423.92792,"right"
16318,326360,-1423.94024,"right"
16319,326380,-1423.95824,"right"
16320,326400,-1423.97672,"right"
16321,326420,-1423.98976,"right"
16322,326440,-1423.99536,"right"
16323,326460,-1423.96712,"right"
16324,326480,-1423.93528,"right"
16325,326500,-1423.89112,"right"
16326,326520,-1423.832,"right"
16327,326540,-1423.75728,"right"
16328,326560,-1423.7012,"right"
16329,326580,-1423.6436,"right"
16330,326600,-1423.60984,"right"
16331,326620,-1423.59928,"right"
16332,326640,-1423.60824,"right"
16333,326660,-1423.6192,"right"
16334,326680,-1423.65824,"right"
16335,326700,-1423.69848,"right"
16336,326720,-1423.74496,"right"
16337,326740,-1423.80168,"right"
16338,326760,-1423.8688,"right"
16339,326780,-1423.92168,"right"
16340,326800,-1423.96816,"right"
16341,326820,-1424.00088,"right"
16342,326840,-1424.01816,"right"
16343,326860,-1424.02576,"right"
16344,326880,-1424.03696,"right"
16345,326900,-1424.0452,"right"
16346,326920,-1424.0568,"right"
16347,326940,-1424.07088,"right"
16348,326960,-1424.10456,"right"
16349,326980,-1424.15216,"right"
16350,327000,-1424.25208,"right"
16351,327020,-1424.3924,"right"
16352,327040,-1424.5948,"right"
16353,327060,-1424.816,"right"
16354,327080,-1425.07136,"right"
16355,327100,-1425.31208,"right"
16356,327120,-1425.56872,"right"
16357,327140,-1425.82488,"right"
16358,327160,-1426.10672,"right"
16359,327180,-1426.35584,"right"
16360,327200,-1426.60808,"right"
16361,327220,-1426.82448,"right"
16362,327240,-1426.95832,"right"
16363,327260,-1427.00752,"right"
16364,327280,-1427.04088,"right"
16365,327300,-1427.02104,"right"
16366,327320,-1426.9684,"right"
16367,327340,-1426.95552,"right"
16368,327360,-1426.98688,"right"
16369,327380,-1427.02656,"right"
16370,327400,-1427.0804,"right"
16371,327420,-1427.15176,"right"
16372,327440,-1427.21432,"right"
16373,327460,-1427.26712,"right"
16374,327480,-1427.32552,"right"
16375,327500,-1427.402,"right"
16376,327520,-1427.45176,"right"
16377,327540,-1427.41808,"right"
16378,327560,-1427.2392,"right"
16379,327580,-1426.91368,"right"
16380,327600,-1426.4416,"right"
16381,327620,-1425.88296,"right"
16382,327640,-1425.3388,"right"
16383,327660,-1424.92168,"right"
16384,327680,-1424.61064,"right"
16385,327700,-1424.42112,"right"
16386,327720,-1424.354,"right"
16387,327740,-1424.35424,"right"
16388,327760,-1424.36416,"right"
16389,327780,-1424.40032,"right"
16390,327800,-1424.46104,"right"
16391,327820,-1424.52552,"right"
16392,327840,-1424.62104,"right"
16393,327860,-1424.75112,"right"
16394,327880,-1424.93456,"right"
16395,327900,-1425.17784,"right"
16396,327920,-1425.472,"right"
16397,327940,-1425.76464,"right"
16398,327960,-1426.05048,"right"
16399,327980,-1426.32832,"right"
16400,328000,-1426.53448,"right"
16401,328020,-1426.65864,"right"
16402,328040,-1426.74376,"right"
16403,328060,-1426.80816,"right"
16404,328080,-1426.80464,"right"
16405,328100,-1426.78632,"right"
16406,328120,-1426.80704,"right"
16407,328140,-1426.86008,"right"
16408,328160,-1426.89464,"right"
16409,328180,-1426.9604,"right"
16410,328200,-1427.0636,"right"
16411,328220,-1427.12464,"right"
16412,328240,-1427.14752,"right"
16413,328260,-1427.19088,"right"
16414,328280,-1427.2228,"right"
16415,328300,-1427.22008,"right"
16416,328320,-1427.24336,"right"
16417,328340,-1427.27336,"right"
16418,328360,-1427.29472,"right"
16419,328380,-1427.3124,"right"
16420,328400,-1427.34224,"right"
16421,328420,-1427.3572,"right"
16422,328440,-1427.35944,"right"
16423,328460,-1427.33536,"right"
16424,328480,-1427.29736,"right"
16425,328500,-1427.22568,"right"
16426,328520,-1427.14632,"right"
16427,328540,-1427.09112,"right"
16428,328560,-1427.0536,"right"
16429,328580,-1427.04344,"right"
16430,328600,-1427.07936,"right"
16431,328620,-1427.13008,"right"
16432,328640,-1427.16016,"right"
16433,328660,-1427.19512,"right"
16434,328680,-1427.22216,"right"
16435,328700,-1427.22512,"right"
16436,328720,-1427.22576,"right"
16437,328740,-1427.22992,"right"
16438,328760,-1427.2144,"right"
16439,328780,-1427.1512,"right"
16440,328800,-1427.07056,"right"
16441,328820,-1426.97216,"right"
16442,328840,-1426.89144,"right"
