"frame","time_ms","z","hand"
8343,166860,-608.552,"right"
8344,166880,-609.509,"right"
8345,166900,-606.113,"right"
8346,166920,-611.26,"right"
8347,166940,-608.395,"right"
8348,166960,-606.12,"right"
8349,166980,-607.411,"right"
8350,167000,-606.398,"right"
8351,167020,-609.584,"right"
8352,167040,-611.45,"right"
8353,167060,-608.506,"right"
8354,167080,-609.56,"right"
8355,167100,-610.544,"right"
8356,167120,-609.598,"right"
8357,167140,-609.624,"right"
8358,167160,-609.039,"right"
8359,167180,-609.722,"right"
8360,167200,-609.546,"right"
8361,167220,-610.269,"right"
8362,167240,-610.279,"right"
8363,167260,-607.202,"right"
8364,167280,-610.12,"right"
8365,167300,-607.131,"right"
8366,167320,-610.044,"right"
8367,167340,-609.109,"right"
8368,167360,-607.733,"right"
8369,167380,-606.561,"right"
8370,167400,-607.611,"right"
8371,167420,-607.843,"right"
8372,167440,-605.281,"right"
8373,167460,-606.112,"right"
8374,167480,-606.609,"right"
8375,167500,-601.291,"right"
8376,167520,-604.967,"right"
8377,167540,-603.773,"right"
8378,167560,-603.745,"right"
8379,167580,-607.596,"right"
8380,167600,-604.695,"right"
8381,167620,-608.438,"right"
8382,167640,-605.344,"right"
8383,167660,-605.193,"right"
8384,167680,-603.428,"right"
8385,167700,-602.806,"right"
8386,167720,-602.752,"right"
8387,167740,-603.957,"right"
8388,167760,-598.986,"right"
8389,167780,-597.589,"right"
8390,167800,-596.064,"right"
8391,167820,-593.58,"right"
8392,167840,-585.67,"right"
8393,167860,-583.168,"right"
8394,167880,-574.438,"right"
8395,167900,-565.466,"right"
8396,167920,-560.485,"right"
8397,167940,-545.784,"right"
8398,167960,-535.278,"right"
8399,167980,-522.423,"right"
8400,168000,-508.559,"right"
8401,168020,-497.538,"right"
8402,168040,-488.793,"right"
8403,168060,-483.545,"right"
8404,168080,-482.59,"right"
8405,168100,-480.41,"right"
8406,168120,-484.492,"right"
8407,168140,-499.751,"right"
8408,168160,-580.203,"right"
8409,168180,-541.974,"right"
8410,168200,-617.175,"right"
8411,168220,-901.894,"right"
8412,168240,-1055.63,"right"
8413,168260,-1164.81,"right"
8414,168280,-1226.08,"right"
8415,168300,-1241.83,"right"
8416,168320,-1241.54,"right"
8417,168340,-1133.55,"right"
8418,168360,-1088.13,"right"
8419,168380,-1052.13,"right"
8420,168400,-1051.92,"right"
8421,168420,-871.591,"right"
8422,168440,-756.235,"right"
8423,168460,-691.487,"right"
8424,168480,-879.866,"right"
8425,168500,-593.991,"right"
8426,168520,-580.164,"right"
8427,168540,-555.868,"right"
8428,168560,-541.607,"right"
8429,168580,-540.366,"right"
8430,168600,-542.676,"right"
8431,168620,-540.966,"right"
8432,168640,-544.616,"right"
8433,168660,-547.237,"right"
8434,168680,-553.106,"right"
8435,168700,-552.451,"right"
8436,168720,-557.954,"right"
8437,168740,-557.742,"right"
8438,168760,-555.113,"right"
8439,168780,-555.946,"right"
8440,168800,-554.733,"right"
8441,168820,-557.683,"right"
8442,168840,-561.23,"right"
8443,168860,-561.438,"right"
8444,168880,-561.295,"right"
8445,168900,-569.28,"right"
8446,168920,-569.284,"right"
8447,168940,-572.152,"right"
8448,168960,-573.262,"right"
8449,168980,-575.614,"right"
8450,169000,-579.054,"right"
8451,169020,-581.35,"right"
8452,169040,-583.908,"right"
8453,169060,-586.259,"right"
8454,169080,-589.419,"right"
8455,169100,-588.386,"right"
8456,169120,-588.254,"right"
8457,169140,-590.017,"right"
8458,169160,-587.122,"right"
8459,169180,-588.526,"right"
8460,169200,-588.339,"right"
8461,169220,-588.351,"right"
8462,169240,-589.412,"right"
8463,169260,-589.522,"right"
8464,169280,-587.021,"right"
8465,169300,-588.772,"right"
8466,169320,-586.471,"right"
8467,169340,-584.475,"right"
8468,169360,-582.896,"right"
8469,169380,-585.823,"right"
8470,169400,-585.019,"right"
8471,169420,-583.845,"right"
8472,169440,-587.459,"right"
8473,169460,-583.97,"right"
8474,169480,-586.449,"right"
8475,169500,-584.126,"right"
8476,169520,-583.203,"right"
8477,169540,-584.494,"right"
8478,169560,-585.772,"right"
8479,169580,-582.169,"right"
8480,169600,-582.191,"right"
8481,169620,-582.095,"right"
8482,169640,-581.195,"right"
8483,169660,-580.942,"right"
8484,169680,-582.077,"right"
8485,169700,-582.769,"right"
8486,169720,-582.484,"right"
8487,169740,-584.465,"right"
8488,169760,-583.778,"right"
8489,169780,-583.75,"right"
8490,169800,-583.784,"right"
8491,169820,-582.536,"right"
8492,169840,-582.563,"right"
8493,169860,-582.183,"right"
8494,169880,-581.948,"right"
8495,169900,-581.67,"right"
8496,169920,-582.089,"right"
