"frame","time_ms","z","hand"
24190,483800,-1271.71872,"right"
24191,483820,-1271.92488,"right"
24192,483840,-1272.02208,"right"
24193,483860,-1272.02928,"right"
24194,483880,-1272.03584,"right"
24195,483900,-1272.06528,"right"
24196,483920,-1272.17344,"right"
24197,483940,-1272.44352,"right"
24198,483960,-1272.8912,"right"
24199,483980,-1273.44688,"right"
24200,484000,-1274.05312,"right"
24201,484020,-1274.65104,"right"
24202,484040,-1275.1584,"right"
24203,484060,-1275.50352,"right"
24204,484080,-1275.6832,"right"
24205,484100,-1275.74376,"right"
24206,484120,-1275.72904,"right"
24207,484140,-1275.66072,"right"
24208,484160,-1275.60792,"right"
24209,484180,-1275.59752,"right"
24210,484200,-1275.58944,"right"
24211,484220,-1275.5552,"right"
24212,484240,-1275.54904,"right"
24213,484260,-1275.54232,"right"
24214,484280,-1275.53304,"right"
24215,484300,-1275.57896,"right"
24216,484320,-1275.68992,"right"
24217,484340,-1275.80264,"right"
24218,484360,-1275.91952,"right"
24219,484380,-1276.04368,"right"
24220,484400,-1276.12504,"right"
24221,484420,-1276.15384,"right"
24222,484440,-1276.14592,"right"
24223,484460,-1276.08512,"right"
24224,484480,-1275.93736,"right"
24225,484500,-1275.73456,"right"
24226,484520,-1275.50208,"right"
24227,484540,-1275.25696,"right"
24228,484560,-1275.06232,"right"
24229,484580,-1274.95008,"right"
24230,484600,-1274.91784,"right"
24231,484620,-1274.95832,"right"
24232,484640,-1275.05624,"right"
24233,484660,-1275.1328,"right"
24234,484680,-1275.21864,"right"
24235,484700,-1275.28496,"right"
24236,484720,-1275.29448,"right"
24237,484740,-1275.27232,"right"
24238,484760,-1275.25896,"right"
24239,484780,-1275.1872,"right"
24240,484800,-1275.07448,"right"
24241,484820,-1274.98272,"right"
24242,484840,-1274.86736,"right"
24243,484860,-1274.7348,"right"
24244,484880,-1274.61768,"right"
24245,484900,-1274.51368,"right"
24246,484920,-1274.35296,"right"
24247,484940,-1274.14288,"right"
24248,484960,-1273.838,"right"
24249,484980,-1273.4236,"right"
24250,485000,-1272.90824,"right"
24251,485020,-1272.34928,"right"
24252,485040,-1271.78936,"right"
24253,485060,-1271.2936,"right"
24254,485080,-1270.90888,"right"
24255,485100,-1270.664,"right"
24256,485120,-1270.56952,"right"
24257,485140,-1270.61464,"right"
24258,485160,-1270.79024,"right"
24259,485180,-1271.05336,"right"
24260,485200,-1271.35256,"right"
24261,485220,-1271.63896,"right"
24262,485240,-1271.8876,"right"
24263,485260,-1272.05632,"right"
24264,485280,-1272.15488,"right"
24265,485300,-1272.20112,"right"
24266,485320,-1272.21456,"right"
24267,485340,-1272.20696,"right"
24268,485360,-1272.1976,"right"
24269,485380,-1272.21664,"right"
24270,485400,-1272.27504,"right"
24271,485420,-1272.38272,"right"
24272,485440,-1272.53848,"right"
24273,485460,-1272.75464,"right"
24274,485480,-1272.95248,"right"
24275,485500,-1273.11312,"right"
24276,485520,-1273.22704,"right"
24277,485540,-1273.31416,"right"
24278,485560,-1273.36328,"right"
24279,485580,-1273.45232,"right"
24280,485600,-1273.60872,"right"
24281,485620,-1273.838,"right"
24282,485640,-1274.10152,"right"
24283,485660,-1274.38744,"right"
24284,485680,-1274.64648,"right"
24285,485700,-1274.8112,"right"
24286,485720,-1274.82272,"right"
24287,485740,-1274.67952,"right"
24288,485760,-1274.3752,"right"
24289,485780,-1273.93128,"right"
24290,485800,-1273.44976,"right"
24291,485820,-1273.02144,"right"
24292,485840,-1272.67688,"right"
24293,485860,-1272.43584,"right"
24294,485880,-1272.31984,"right"
24295,485900,-1272.18896,"right"
24296,485920,-1272.00424,"right"
24297,485940,-1271.76744,"right"
24298,485960,-1271.50768,"right"
24299,485980,-1271.17584,"right"
24300,486000,-1270.95416,"right"
24301,486020,-1270.83264,"right"
24302,486040,-1270.80736,"right"
24303,486060,-1270.8356,"right"
24304,486080,-1270.95776,"right"
24305,486100,-1271.05664,"right"
24306,486120,-1271.15704,"right"
24307,486140,-1271.21816,"right"
24308,486160,-1271.25328,"right"
24309,486180,-1271.23648,"right"
24310,486200,-1271.17072,"right"
24311,486220,-1271.0404,"right"
24312,486240,-1270.91888,"right"
24313,486260,-1270.78896,"right"
24314,486280,-1270.6736,"right"
24315,486300,-1270.60456,"right"
24316,486320,-1270.57688,"right"
24317,486340,-1270.52808,"right"
24318,486360,-1270.51496,"right"
24319,486380,-1270.5108,"right"
24320,486400,-1270.50528,"right"
24321,486420,-1270.51848,"right"
24322,486440,-1270.59392,"right"
24323,486460,-1270.66536,"right"
24324,486480,-1270.78744,"right"
24325,486500,-1270.95088,"right"
24326,486520,-1271.15304,"right"
24327,486540,-1271.36664,"right"
24328,486560,-1271.6264,"right"
24329,486580,-1271.87,"right"
24330,486600,-1272.11288,"right"
24331,486620,-1272.31864,"right"
24332,486640,-1272.47296,"right"
24333,486660,-1272.54736,"right"
24334,486680,-1272.57352,"right"
24335,486700,-1272.53544,"right"
24336,486720,-1272.4776,"right"
24337,486740,-1272.4424,"right"
24338,486760,-1272.4596,"right"
24339,486780,-1272.49432,"right"
24340,486800,-1272.52872,"right"
24341,486820,-1272.5456,"right"
24342,486840,-1272.52272,"right"
24343,486860,-1272.47232,"right"
