"frame","time_ms","z","hand"
2820,56400,-1429.14456,"right"
2821,56420,-1428.95936,"right"
2822,56440,-1428.72608,"right"
2823,56460,-1428.42784,"right"
2824,56480,-1428.10632,"right"
2825,56500,-1427.79856,"right"
2826,56520,-1427.51384,"right"
2827,56540,-1427.30784,"right"
2828,56560,-1427.20256,"right"
2829,56580,-1427.18224,"right"
2830,56600,-1427.16536,"right"
2831,56620,-1427.1556,"right"
2832,56640,-1427.11576,"right"
2833,56660,-1427.05192,"right"
2834,56680,-1426.9668,"right"
2835,56700,-1426.93424,"right"
2836,56720,-1426.94184,"right"
2837,56740,-1427.00608,"right"
2838,56760,-1427.09776,"right"
2839,56780,-1427.18696,"right"
2840,56800,-1427.24792,"right"
2841,56820,-1427.28448,"right"
2842,56840,-1427.30032,"right"
2843,56860,-1427.32464,"right"
2844,56880,-1427.40784,"right"
2845,56900,-1427.54912,"right"
2846,56920,-1427.74808,"right"
2847,56940,-1427.97464,"right"
2848,56960,-1428.23496,"right"
2849,56980,-1428.48744,"right"
2850,57000,-1428.72088,"right"
2851,57020,-1428.89904,"right"
2852,57040,-1429.02592,"right"
2853,57060,-1429.04864,"right"
2854,57080,-1428.974,"right"
2855,57100,-1428.78608,"right"
2856,57120,-1428.54104,"right"
2857,57140,-1428.25408,"right"
2858,57160,-1427.95424,"right"
2859,57180,-1427.6444,"right"
2860,57200,-1427.37752,"right"
2861,57220,-1427.14328,"right"
2862,57240,-1426.9688,"right"
2863,57260,-1426.89744,"right"
2864,57280,-1426.9572,"right"
2865,57300,-1427.13368,"right"
2866,57320,-1427.394,"right"
2867,57340,-1427.67872,"right"
2868,57360,-1427.9076,"right"
2869,57380,-1428.03728,"right"
2870,57400,-1428.03544,"right"
2871,57420,-1427.94296,"right"
2872,57440,-1427.81328,"right"
2873,57460,-1427.71432,"right"
2874,57480,-1427.67016,"right"
2875,57500,-1427.72984,"right"
2876,57520,-1427.86288,"right"
2877,57540,-1428.036,"right"
2878,57560,-1428.2012,"right"
2879,57580,-1428.35392,"right"
2880,57600,-1428.41488,"right"
2881,57620,-1428.42008,"right"
2882,57640,-1428.39888,"right"
2883,57660,-1428.4096,"right"
2884,57680,-1428.47512,"right"
2885,57700,-1428.69544,"right"
2886,57720,-1429.02104,"right"
2887,57740,-1429.42736,"right"
2888,57760,-1429.84968,"right"
2889,57780,-1430.24192,"right"
2890,57800,-1430.51888,"right"
2891,57820,-1430.704,"right"
2892,57840,-1430.78456,"right"
2893,57860,-1430.78992,"right"
2894,57880,-1430.74544,"right"
2895,57900,-1430.67512,"right"
2896,57920,-1430.54936,"right"
2897,57940,-1430.37344,"right"
2898,57960,-1430.1144,"right"
2899,57980,-1429.73704,"right"
2900,58000,-1429.27192,"right"
2901,58020,-1428.7996,"right"
2902,58040,-1428.37448,"right"
2903,58060,-1428.0692,"right"
2904,58080,-1427.96576,"right"
2905,58100,-1428.06416,"right"
2906,58120,-1428.2832,"right"
2907,58140,-1428.57224,"right"
2908,58160,-1428.88952,"right"
2909,58180,-1429.15304,"right"
2910,58200,-1429.30912,"right"
2911,58220,-1429.38936,"right"
2912,58240,-1429.36416,"right"
2913,58260,-1429.21392,"right"
2914,58280,-1428.99752,"right"
2915,58300,-1428.75784,"right"
2916,58320,-1428.5056,"right"
2917,58340,-1428.31064,"right"
2918,58360,-1428.1844,"right"
2919,58380,-1428.08888,"right"
2920,58400,-1428.01984,"right"
2921,58420,-1427.95936,"right"
2922,58440,-1427.886,"right"
2923,58460,-1427.84952,"right"
2924,58480,-1427.85024,"right"
2925,58500,-1427.89608,"right"
2926,58520,-1428.00272,"right"
2927,58540,-1428.162,"right"
2928,58560,-1428.32032,"right"
2929,58580,-1428.52264,"right"
2930,58600,-1428.76072,"right"
2931,58620,-1429.04448,"right"
2932,58640,-1429.36056,"right"
2933,58660,-1429.70928,"right"
2934,58680,-1430.0368,"right"
2935,58700,-1430.322,"right"
2936,58720,-1430.49688,"right"
2937,58740,-1430.54464,"right"
2938,58760,-1430.45008,"right"
2939,58780,-1430.2044,"right"
2940,58800,-1429.80672,"right"
2941,58820,-1429.33808,"right"
2942,58840,-1428.87536,"right"
2943,58860,-1428.49512,"right"
2944,58880,-1428.28456,"right"
2945,58900,-1428.28184,"right"
2946,58920,-1428.44576,"right"
2947,58940,-1428.70344,"right"
2948,58960,-1428.99152,"right"
2949,58980,-1429.21264,"right"
2950,59000,-1429.35144,"right"
2951,59020,-1429.42872,"right"
2952,59040,-1429.49352,"right"
2953,59060,-1429.55296,"right"
2954,59080,-1429.66656,"right"
2955,59100,-1429.82392,"right"
2956,59120,-1430.00448,"right"
2957,59140,-1430.15984,"right"
2958,59160,-1430.2968,"right"
2959,59180,-1430.38584,"right"
2960,59200,-1430.438,"right"
2961,59220,-1430.46856,"right"
2962,59240,-1430.51616,"right"
2963,59260,-1430.5832,"right"
2964,59280,-1430.6804,"right"
2965,59300,-1430.79464,"right"
2966,59320,-1430.89248,"right"
2967,59340,-1430.94392,"right"
2968,59360,-1430.9428,"right"
2969,59380,-1430.87736,"right"
2970,59400,-1430.75384,"right"
2971,59420,-1430.62816,"right"
2972,59440,-1430.51304,"right"
2973,59460,-1430.41128,"right"
