"frame","time_ms","z","hand"
12519,250380,-646.577088,"right"
12520,250400,-648.665104,"right"
12521,250420,-650.533792,"right"
12522,250440,-651.898136,"right"
12523,250460,-652.941248,"right"
12524,250480,-653.66804,"right"
12525,250500,-654.081232,"right"
12526,250520,-654.3804,"right"
12527,250540,-654.77436,"right"
12528,250560,-655.091576,"right"
12529,250580,-655.299488,"right"
12530,250600,-655.45736,"right"
12531,250620,-655.487992,"right"
12532,250640,-655.29332,"right"
12533,250660,-655.109112,"right"
12534,250680,-655.074928,"right"
12535,250700,-655.183104,"right"
12536,250720,-655.43232,"right"
12537,250740,-655.724712,"right"
12538,250760,-655.804664,"right"
12539,250780,-655.512344,"right"
12540,250800,-654.774288,"right"
12541,250820,-653.550568,"right"
12542,250840,-652.014464,"right"
12543,250860,-650.334528,"right"
12544,250880,-648.620776,"right"
12545,250900,-646.959912,"right"
12546,250920,-645.499312,"right"
12547,250940,-644.185112,"right"
12548,250960,-642.998472,"right"
12549,250980,-641.95,"right"
12550,251000,-641.052784,"right"
12551,251020,-640.20372,"right"
12552,251040,-639.41356,"right"
12553,251060,-638.747104,"right"
12554,251080,-638.168328,"right"
12555,251100,-637.675728,"right"
12556,251120,-637.331504,"right"
12557,251140,-637.116552,"right"
12558,251160,-636.824752,"right"
12559,251180,-636.318984,"right"
12560,251200,-635.34384,"right"
12561,251220,-633.519888,"right"
12562,251240,-630.445104,"right"
12563,251260,-625.913008,"right"
12564,251280,-619.784024,"right"
12565,251300,-612.056848,"right"
12566,251320,-603.03708,"right"
12567,251340,-593.274288,"right"
12568,251360,-583.387616,"right"
12569,251380,-574.953584,"right"
12570,251400,-569.149048,"right"
12571,251420,-569.140376,"right"
12572,251440,-578.708856,"right"
12573,251460,-602.154984,"right"
12574,251480,-641.858256,"right"
12575,251500,-701.60868,"right"
12576,251520,-778.259128,"right"
12577,251540,-866.24336,"right"
12578,251560,-956.499472,"right"
12579,251580,-1039.643072,"right"
12580,251600,-1104.324152,"right"
12581,251620,-1146.383144,"right"
12582,251640,-1162.510152,"right"
12583,251660,-1155.222728,"right"
12584,251680,-1129.202784,"right"
12585,251700,-1089.6536,"right"
12586,251720,-1039.51244,"right"
12587,251740,-985.269536,"right"
12588,251760,-929.462008,"right"
12589,251780,-874.12832,"right"
12590,251800,-822.73852,"right"
12591,251820,-778.629576,"right"
12592,251840,-741.203192,"right"
12593,251860,-711.047744,"right"
12594,251880,-688.215072,"right"
12595,251900,-671.271352,"right"
12596,251920,-658.679272,"right"
12597,251940,-649.967736,"right"
12598,251960,-644.27,"right"
12599,251980,-640.721608,"right"
12600,252000,-638.935744,"right"
12601,252020,-638.448592,"right"
12602,252040,-638.88932,"right"
12603,252060,-639.9786,"right"
12604,252080,-641.52852,"right"
12605,252100,-643.21424,"right"
12606,252120,-644.942008,"right"
12607,252140,-646.61676,"right"
12608,252160,-648.29556,"right"
12609,252180,-649.948952,"right"
12610,252200,-651.69964,"right"
12611,252220,-653.557992,"right"
12612,252240,-655.502568,"right"
12613,252260,-657.34788,"right"
12614,252280,-659.151136,"right"
12615,252300,-660.86264,"right"
12616,252320,-662.4524,"right"
12617,252340,-663.955784,"right"
12618,252360,-665.562024,"right"
12619,252380,-667.236528,"right"
12620,252400,-668.997288,"right"
12621,252420,-670.882248,"right"
12622,252440,-672.841568,"right"
12623,252460,-674.755904,"right"
12624,252480,-676.51328,"right"
12625,252500,-677.995432,"right"
12626,252520,-679.063248,"right"
12627,252540,-679.635336,"right"
12628,252560,-679.583792,"right"
12629,252580,-678.870064,"right"
12630,252600,-677.536832,"right"
12631,252620,-675.549592,"right"
12632,252640,-672.976576,"right"
12633,252660,-669.98508,"right"
12634,252680,-666.933424,"right"
12635,252700,-664.012288,"right"
12636,252720,-661.568936,"right"
12637,252740,-659.834552,"right"
12638,252760,-659.006176,"right"
12639,252780,-658.804576,"right"
12640,252800,-659.04152,"right"
12641,252820,-659.555808,"right"
12642,252840,-660.074912,"right"
12643,252860,-660.276792,"right"
12644,252880,-660.263984,"right"
12645,252900,-660.230272,"right"
12646,252920,-660.143144,"right"
12647,252940,-660.138632,"right"
12648,252960,-660.406832,"right"
12649,252980,-660.926272,"right"
12650,253000,-661.524216,"right"
12651,253020,-662.159376,"right"
12652,253040,-662.776752,"right"
12653,253060,-663.285232,"right"
12654,253080,-663.653008,"right"
12655,253100,-663.886288,"right"
12656,253120,-664.047544,"right"
12657,253140,-664.098656,"right"
12658,253160,-664.110616,"right"
12659,253180,-664.185248,"right"
12660,253200,-664.466424,"right"
12661,253220,-664.99992,"right"
12662,253240,-665.985936,"right"
12663,253260,-667.385096,"right"
12664,253280,-669.092872,"right"
12665,253300,-670.958808,"right"
12666,253320,-672.815984,"right"
12667,253340,-674.362968,"right"
12668,253360,-675.562752,"right"
12669,253380,-676.338664,"right"
12670,253400,-676.640664,"right"
12671,253420,-676.572592,"right"
12672,253440,-676.33708,"right"
12673,253460,-675.91236,"right"
12674,253480,-675.403936,"right"
12675,253500,-674.963944,"right"
12676,253520,-674.603264,"right"
12677,253540,-674.198768,"right"
12678,253560,-673.819192,"right"
12679,253580,-673.490912,"right"
12680,253600,-673.17764,"right"
12681,253620,-672.856928,"right"
12682,253640,-672.621512,"right"
12683,253660,-672.48568,"right"
12684,253680,-672.390152,"right"
12685,253700,-672.28388,"right"
12686,253720,-672.1688,"right"
12687,253740,-672.038488,"right"
12688,253760,-671.854784,"right"
12689,253780,-671.663656,"right"
