"frame","time_ms","z","hand"
13186,263720,-626.856,"right"
13187,263740,-625.594,"right"
13188,263760,-631.415,"right"
13189,263780,-628.967,"right"
13190,263800,-628.701,"right"
13191,263820,-626.441,"right"
13192,263840,-625.223,"right"
13193,263860,-628.818,"right"
13194,263880,-628.838,"right"
13195,263900,-628.874,"right"
13196,263920,-628.852,"right"
13197,263940,-630.143,"right"
13198,263960,-634.305,"right"
13199,263980,-635.09,"right"
13200,264000,-633.736,"right"
13201,264020,-630.678,"right"
13202,264040,-631.895,"right"
13203,264060,-631.983,"right"
13204,264080,-632.405,"right"
13205,264100,-632.455,"right"
13206,264120,-633.147,"right"
13207,264140,-633.603,"right"
13208,264160,-632.703,"right"
13209,264180,-632.719,"right"
13210,264200,-630.582,"right"
13211,264220,-633.63,"right"
13212,264240,-632.367,"right"
13213,264260,-633.606,"right"
13214,264280,-632.442,"right"
13215,264300,-632.329,"right"
13216,264320,-632.359,"right"
13217,264340,-630.585,"right"
13218,264360,-629.456,"right"
13219,264380,-630.588,"right"
13220,264400,-629.237,"right"
13221,264420,-631.014,"right"
13222,264440,-630.118,"right"
13223,264460,-629.763,"right"
13224,264480,-628.876,"right"
13225,264500,-632.691,"right"
13226,264520,-631.237,"right"
13227,264540,-631.871,"right"
13228,264560,-630.633,"right"
13229,264580,-627.626,"right"
13230,264600,-620.692,"right"
13231,264620,-620.792,"right"
13232,264640,-623.491,"right"
13233,264660,-621.126,"right"
13234,264680,-622.353,"right"
13235,264700,-616.619,"right"
13236,264720,-617.142,"right"
13237,264740,-613.833,"right"
13238,264760,-612.187,"right"
13239,264780,-607.301,"right"
13240,264800,-601.242,"right"
13241,264820,-595.31,"right"
13242,264840,-588.031,"right"
13243,264860,-583.107,"right"
13244,264880,-577.069,"right"
13245,264900,-563.266,"right"
13246,264920,-556.443,"right"
13247,264940,-555.265,"right"
13248,264960,-551.957,"right"
13249,264980,-659.975,"right"
13250,265000,-667.128,"right"
13251,265020,-758.164,"right"
13252,265040,-843.49,"right"
13253,265060,-999.214,"right"
13254,265080,-1132.22,"right"
13255,265100,-1217.26,"right"
13256,265120,-1247.1,"right"
13257,265140,-1212.89,"right"
13258,265160,-1238.11,"right"
13259,265180,-1122.13,"right"
13260,265200,-1044.48,"right"
13261,265220,-1002.14,"right"
13262,265240,-1031.25,"right"
13263,265260,-997.538,"right"
13264,265280,-850.048,"right"
13265,265300,-793.776,"right"
13266,265320,-735.857,"right"
13267,265340,-703.226,"right"
13268,265360,-658.036,"right"
13269,265380,-628.784,"right"
13270,265400,-608.072,"right"
13271,265420,-602.915,"right"
13272,265440,-595.976,"right"
13273,265460,-595.345,"right"
13274,265480,-590.125,"right"
13275,265500,-589.383,"right"
13276,265520,-592.598,"right"
13277,265540,-598.645,"right"
13278,265560,-600.672,"right"
13279,265580,-602.702,"right"
13280,265600,-607.637,"right"
13281,265620,-613.132,"right"
13282,265640,-615.213,"right"
13283,265660,-615.158,"right"
13284,265680,-618.242,"right"
13285,265700,-621.581,"right"
13286,265720,-620.107,"right"
13287,265740,-620.405,"right"
13288,265760,-621.766,"right"
13289,265780,-626.141,"right"
13290,265800,-625.227,"right"
13291,265820,-627.478,"right"
13292,265840,-624.444,"right"
13293,265860,-624.43,"right"
13294,265880,-624.357,"right"
13295,265900,-624.382,"right"
13296,265920,-637.325,"right"
13297,265940,-634.902,"right"
13298,265960,-627.573,"right"
13299,265980,-632.003,"right"
13300,266000,-626.315,"right"
13301,266020,-638.637,"right"
13302,266040,-633.865,"right"
13303,266060,-636.278,"right"
13304,266080,-629.005,"right"
13305,266100,-627.811,"right"
13306,266120,-627.856,"right"
13307,266140,-627.696,"right"
13308,266160,-627.66,"right"
13309,266180,-624.482,"right"
13310,266200,-624.499,"right"
13311,266220,-619.598,"right"
13312,266240,-620.378,"right"
13313,266260,-619.086,"right"
13314,266280,-622.12,"right"
13315,266300,-618.268,"right"
13316,266320,-616.324,"right"
13317,266340,-615.825,"right"
13318,266360,-618.792,"right"
13319,266380,-615.53,"right"
13320,266400,-618.773,"right"
13321,266420,-617.68,"right"
13322,266440,-617.228,"right"
13323,266460,-618.891,"right"
13324,266480,-617.122,"right"
13325,266500,-619.553,"right"
13326,266520,-623.791,"right"
13327,266540,-628.029,"right"
13328,266560,-621.228,"right"
13329,266580,-620.097,"right"
13330,266600,-620.171,"right"
13331,266620,-621.901,"right"
13332,266640,-620.795,"right"
13333,266660,-620.745,"right"
13334,266680,-618.762,"right"
13335,266700,-619.368,"right"
13336,266720,-619.472,"right"
13337,266740,-620.559,"right"
13338,266760,-621.481,"right"
