"frame","time_ms","z","hand"
21438,428760,-715.532,"right"
21439,428780,-702.808,"right"
21440,428800,-697.421,"right"
21441,428820,-703.834,"right"
21442,428840,-715.068,"right"
21443,428860,-712.513,"right"
21444,428880,-716.364,"right"
21445,428900,-713.771,"right"
21446,428920,-707.392,"right"
21447,428940,-699.003,"right"
21448,428960,-704.039,"right"
21449,428980,-704.955,"right"
21450,429000,-702.391,"right"
21451,429020,-713.423,"right"
21452,429040,-718.332,"right"
21453,429060,-718.312,"right"
21454,429080,-718.073,"right"
21455,429100,-718.287,"right"
21456,429120,-699.25,"right"
21457,429140,-694.244,"right"
21458,429160,-713.329,"right"
21459,429180,-715.91,"right"
21460,429200,-708.267,"right"
21461,429220,-713.076,"right"
21462,429240,-715.671,"right"
21463,429260,-710.732,"right"
21464,429280,-716.885,"right"
21465,429300,-709.347,"right"
21466,429320,-707.026,"right"
21467,429340,-714.462,"right"
21468,429360,-701.577,"right"
21469,429380,-693.258,"right"
21470,429400,-708.958,"right"
21471,429420,-693.165,"right"
21472,429440,-693.921,"right"
21473,429460,-699.382,"right"
21474,429480,-693.831,"right"
21475,429500,-691.361,"right"
21476,429520,-702.526,"right"
21477,429540,-705.575,"right"
21478,429560,-694.474,"right"
21479,429580,-687.484,"right"
21480,429600,-691.545,"right"
21481,429620,-675.181,"right"
21482,429640,-668.82,"right"
21483,429660,-654.604,"right"
21484,429680,-615.619,"right"
21485,429700,-634.444,"right"
21486,429720,-624.54,"right"
21487,429740,-611.096,"right"
21488,429760,-594.782,"right"
21489,429780,-589.667,"right"
21490,429800,-581.449,"right"
21491,429820,-586.295,"right"
21492,429840,-594.758,"right"
21493,429860,-789.917,"right"
21494,429880,-855.748,"right"
21495,429900,-1108.33,"right"
21496,429920,-1168.61,"right"
21497,429940,-1247.74,"right"
21498,429960,-1300.56,"right"
21499,429980,-1295.9,"right"
21500,430000,-1295.01,"right"
21501,430020,-1278.07,"right"
21502,430040,-1268.59,"right"
21503,430060,-1168.27,"right"
21504,430080,-1099.19,"right"
21505,430100,-1079.03,"right"
21506,430120,-961.697,"right"
21507,430140,-884.607,"right"
21508,430160,-830.117,"right"
21509,430180,-809.602,"right"
21510,430200,-774.665,"right"
21511,430220,-757.071,"right"
21512,430240,-695.965,"right"
21513,430260,-687.259,"right"
21514,430280,-690.786,"right"
21515,430300,-689.065,"right"
21516,430320,-684.001,"right"
21517,430340,-682.308,"right"
21518,430360,-695.505,"right"
21519,430380,-687.634,"right"
21520,430400,-685.236,"right"
21521,430420,-683.035,"right"
21522,430440,-686.2,"right"
21523,430460,-685.602,"right"
21524,430480,-685.534,"right"
21525,430500,-679.852,"right"
21526,430520,-680.11,"right"
21527,430540,-679.142,"right"
21528,430560,-682.177,"right"
21529,430580,-682.192,"right"
21530,430600,-686.901,"right"
21531,430620,-683.095,"right"
21532,430640,-683.038,"right"
21533,430660,-683.652,"right"
21534,430680,-687.722,"right"
21535,430700,-687.939,"right"
21536,430720,-713.359,"right"
21537,430740,-689.761,"right"
21538,430760,-687.495,"right"
21539,430780,-689.303,"right"
21540,430800,-689.426,"right"
21541,430820,-688.232,"right"
21542,430840,-687.827,"right"
21543,430860,-687.819,"right"
21544,430880,-712.57,"right"
21545,430900,-681.422,"right"
21546,430920,-682.578,"right"
21547,430940,-681.501,"right"
21548,430960,-681.063,"right"
21549,430980,-681.437,"right"
21550,431000,-680.312,"right"
21551,431020,-684.916,"right"
21552,431040,-681.166,"right"
21553,431060,-683.154,"right"
21554,431080,-681.081,"right"
21555,431100,-683.515,"right"
21556,431120,-681.105,"right"
21557,431140,-680.695,"right"
21558,431160,-682.289,"right"
21559,431180,-684.815,"right"
21560,431200,-681.085,"right"
21561,431220,-680.249,"right"
21562,431240,-680.143,"right"
21563,431260,-678.979,"right"
21564,431280,-680.283,"right"
21565,431300,-681.515,"right"
21566,431320,-680.154,"right"
21567,431340,-677.657,"right"
21568,431360,-676.181,"right"
21569,431380,-673.504,"right"
21570,431400,-673.212,"right"
21571,431420,-672.804,"right"
21572,431440,-671.538,"right"
21573,431460,-672.816,"right"
21574,431480,-672.836,"right"
21575,431500,-673.208,"right"
21576,431520,-672.679,"right"
21577,431540,-674.406,"right"
21578,431560,-674.303,"right"
21579,431580,-674.756,"right"
21580,431600,-679.025,"right"
21581,431620,-681.113,"right"
21582,431640,-681.61,"right"
21583,431660,-681.192,"right"
21584,431680,-679.974,"right"
21585,431700,-681.627,"right"
21586,431720,-680.411,"right"
21587,431740,-676.661,"right"
21588,431760,-676.439,"right"
21589,431780,-677.438,"right"
21590,431800,-676.053,"right"
