"frame","time_ms","z","hand"
13495,269900,-621.277024,"right"
13496,269920,-621.348384,"right"
13497,269940,-621.4378,"right"
13498,269960,-621.532912,"right"
13499,269980,-621.642672,"right"
13500,270000,-621.705624,"right"
13501,270020,-621.71628,"right"
13502,270040,-621.657616,"right"
13503,270060,-621.534208,"right"
13504,270080,-621.31804,"right"
13505,270100,-621.049208,"right"
13506,270120,-620.753888,"right"
13507,270140,-620.451632,"right"
13508,270160,-620.155528,"right"
13509,270180,-619.907296,"right"
13510,270200,-619.727072,"right"
13511,270220,-619.58672,"right"
13512,270240,-619.476656,"right"
13513,270260,-619.383824,"right"
13514,270280,-619.286912,"right"
13515,270300,-619.164112,"right"
13516,270320,-619.045448,"right"
13517,270340,-618.912744,"right"
13518,270360,-618.754056,"right"
13519,270380,-618.56268,"right"
13520,270400,-618.331088,"right"
13521,270420,-618.018056,"right"
13522,270440,-617.662528,"right"
13523,270460,-617.29308,"right"
13524,270480,-616.913368,"right"
13525,270500,-616.533168,"right"
13526,270520,-616.196304,"right"
13527,270540,-615.882504,"right"
13528,270560,-615.583344,"right"
13529,270580,-615.320432,"right"
13530,270600,-615.100704,"right"
13531,270620,-614.920624,"right"
13532,270640,-614.781368,"right"
13533,270660,-614.687256,"right"
13534,270680,-614.626512,"right"
13535,270700,-614.593472,"right"
13536,270720,-614.555328,"right"
13537,270740,-614.486504,"right"
13538,270760,-614.33408,"right"
13539,270780,-614.025264,"right"
13540,270800,-613.470536,"right"
13541,270820,-612.52504,"right"
13542,270840,-611.031416,"right"
13543,270860,-608.76752,"right"
13544,270880,-605.461872,"right"
13545,270900,-600.89044,"right"
13546,270920,-595.06388,"right"
13547,270940,-588.845624,"right"
13548,270960,-583.601656,"right"
13549,270980,-580.473208,"right"
13550,271000,-582.505608,"right"
13551,271020,-593.770864,"right"
13552,271040,-616.531496,"right"
13553,271060,-652.476544,"right"
13554,271080,-704.355408,"right"
13555,271100,-770.450104,"right"
13556,271120,-845.391232,"right"
13557,271140,-924.4998,"right"
13558,271160,-1001.85764,"right"
13559,271180,-1070.917616,"right"
13560,271200,-1125.496272,"right"
13561,271220,-1162.699616,"right"
13562,271240,-1179.980616,"right"
13563,271260,-1177.538648,"right"
13564,271280,-1154.07172,"right"
13565,271300,-1114.794152,"right"
13566,271320,-1064.294256,"right"
13567,271340,-1007.466792,"right"
13568,271360,-947.789576,"right"
13569,271380,-891.29772,"right"
13570,271400,-837.835264,"right"
13571,271420,-787.787128,"right"
13572,271440,-741.527464,"right"
13573,271460,-700.107264,"right"
13574,271480,-663.269904,"right"
13575,271500,-633.088056,"right"
13576,271520,-610.46752,"right"
13577,271540,-595.711088,"right"
13578,271560,-587.868864,"right"
13579,271580,-585.875736,"right"
13580,271600,-587.962,"right"
13581,271620,-592.489912,"right"
13582,271640,-597.913504,"right"
13583,271660,-603.27184,"right"
13584,271680,-607.832608,"right"
13585,271700,-611.103928,"right"
13586,271720,-613.093808,"right"
13587,271740,-614.031296,"right"
13588,271760,-614.22048,"right"
13589,271780,-614.014584,"right"
13590,271800,-613.77228,"right"
13591,271820,-613.599272,"right"
13592,271840,-613.550976,"right"
13593,271860,-613.668088,"right"
13594,271880,-613.936152,"right"
13595,271900,-614.293448,"right"
13596,271920,-614.722296,"right"
13597,271940,-615.190208,"right"
13598,271960,-615.659,"right"
13599,271980,-616.093232,"right"
13600,272000,-616.44672,"right"
13601,272020,-616.753696,"right"
13602,272040,-616.98876,"right"
13603,272060,-617.158032,"right"
13604,272080,-617.275568,"right"
13605,272100,-617.466696,"right"
13606,272120,-617.67308,"right"
13607,272140,-617.970656,"right"
13608,272160,-618.354072,"right"
13609,272180,-618.810744,"right"
13610,272200,-619.179704,"right"
13611,272220,-619.49916,"right"
13612,272240,-619.70068,"right"
13613,272260,-619.782736,"right"
13614,272280,-619.756688,"right"
13615,272300,-619.748952,"right"
13616,272320,-619.748368,"right"
13617,272340,-619.77292,"right"
13618,272360,-619.861672,"right"
13619,272380,-620.044912,"right"
13620,272400,-620.277936,"right"
13621,272420,-620.58384,"right"
13622,272440,-620.9732,"right"
13623,272460,-621.369592,"right"
13624,272480,-621.73892,"right"
13625,272500,-622.081904,"right"
13626,272520,-622.378488,"right"
13627,272540,-622.662568,"right"
13628,272560,-623.029416,"right"
13629,272580,-623.501152,"right"
13630,272600,-624.10548,"right"
13631,272620,-624.842184,"right"
13632,272640,-625.588424,"right"
13633,272660,-626.226512,"right"
13634,272680,-626.629696,"right"
13635,272700,-626.685712,"right"
13636,272720,-626.320176,"right"
13637,272740,-625.633672,"right"
13638,272760,-624.716536,"right"
13639,272780,-623.754576,"right"
13640,272800,-622.902344,"right"
13641,272820,-622.30696,"right"
13642,272840,-621.997664,"right"
13643,272860,-621.955088,"right"
13644,272880,-622.105592,"right"
13645,272900,-622.347952,"right"
13646,272920,-622.608136,"right"
13647,272940,-622.783192,"right"
