"frame","time_ms","z","hand"
10930,218600,-1438.34,"right"
10931,218620,-1437.53,"right"
10932,218640,-1438.43,"right"
10933,218660,-1437.55,"right"
10934,218680,-1438.43,"right"
10935,218700,-1438.37,"right"
10936,218720,-1437.64,"right"
10937,218740,-1437.64,"right"
10938,218760,-1437.65,"right"
10939,218780,-1437.64,"right"
10940,218800,-1438.23,"right"
10941,218820,-1438.17,"right"
10942,218840,-1440.21,"right"
10943,218860,-1440.14,"right"
10944,218880,-1438.4,"right"
10945,218900,-1438.4,"right"
10946,218920,-1438.19,"right"
10947,218940,-1438.91,"right"
10948,218960,-1438.91,"right"
10949,218980,-1440.04,"right"
10950,219000,-1439.23,"right"
10951,219020,-1438.8,"right"
10952,219040,-1438.18,"right"
10953,219060,-1438.18,"right"
10954,219080,-1438.25,"right"
10955,219100,-1438.25,"right"
10956,219120,-1437.46,"right"
10957,219140,-1438.82,"right"
10958,219160,-1438.98,"right"
10959,219180,-1438.24,"right"
10960,219200,-1439.03,"right"
10961,219220,-1438.81,"right"
10962,219240,-1438.02,"right"
10963,219260,-1438.83,"right"
10964,219280,-1438.75,"right"
10965,219300,-1438.82,"right"
10966,219320,-1438.72,"right"
10967,219340,-1438.77,"right"
10968,219360,-1438.94,"right"
10969,219380,-1437.89,"right"
10970,219400,-1437.61,"right"
10971,219420,-1437.92,"right"
10972,219440,-1438.72,"right"
10973,219460,-1437.91,"right"
10974,219480,-1438.2,"right"
10975,219500,-1437.96,"right"
10976,219520,-1437.99,"right"
10977,219540,-1437.98,"right"
10978,219560,-1438.2,"right"
10979,219580,-1438.26,"right"
10980,219600,-1438.23,"right"
10981,219620,-1438.81,"right"
10982,219640,-1437.28,"right"
10983,219660,-1437.03,"right"
10984,219680,-1438.45,"right"
10985,219700,-1438.34,"right"
10986,219720,-1437,"right"
10987,219740,-1438.87,"right"
10988,219760,-1436.93,"right"
10989,219780,-1437.99,"right"
10990,219800,-1437.01,"right"
10991,219820,-1438.81,"right"
10992,219840,-1435.77,"right"
10993,219860,-1437.57,"right"
10994,219880,-1438.2,"right"
10995,219900,-1436.98,"right"
10996,219920,-1438.21,"right"
10997,219940,-1437.6,"right"
10998,219960,-1435.77,"right"
10999,219980,-1435.81,"right"
11000,220000,-1437.2,"right"
11001,220020,-1438.39,"right"
11002,220040,-1437.02,"right"
11003,220060,-1436.82,"right"
11004,220080,-1437.07,"right"
11005,220100,-1437.03,"right"
11006,220120,-1437.09,"right"
11007,220140,-1437.05,"right"
11008,220160,-1437.08,"right"
11009,220180,-1437.01,"right"
11010,220200,-1437.07,"right"
11011,220220,-1437.09,"right"
11012,220240,-1437.14,"right"
11013,220260,-1438.95,"right"
11014,220280,-1439.03,"right"
11015,220300,-1438.96,"right"
11016,220320,-1438.95,"right"
11017,220340,-1438.82,"right"
11018,220360,-1438.81,"right"
11019,220380,-1438.96,"right"
11020,220400,-1438.78,"right"
11021,220420,-1438.78,"right"
11022,220440,-1439.76,"right"
11023,220460,-1437.61,"right"
11024,220480,-1438.87,"right"
11025,220500,-1438.21,"right"
11026,220520,-1439.02,"right"
11027,220540,-1438.09,"right"
11028,220560,-1438.15,"right"
11029,220580,-1438.09,"right"
11030,220600,-1438.89,"right"
11031,220620,-1438.82,"right"
11032,220640,-1439.72,"right"
11033,220660,-1438.51,"right"
11034,220680,-1439.68,"right"
11035,220700,-1439.68,"right"
11036,220720,-1439.62,"right"
11037,220740,-1438.83,"right"
11038,220760,-1438.49,"right"
11039,220780,-1438.83,"right"
11040,220800,-1437.32,"right"
11041,220820,-1438.02,"right"
11042,220840,-1438.81,"right"
11043,220860,-1438.07,"right"
11044,220880,-1438.05,"right"
11045,220900,-1438.21,"right"
11046,220920,-1438.28,"right"
11047,220940,-1438.15,"right"
11048,220960,-1438.26,"right"
11049,220980,-1438.18,"right"
11050,221000,-1438.2,"right"
11051,221020,-1438.32,"right"
11052,221040,-1438.25,"right"
11053,221060,-1438.22,"right"
11054,221080,-1438.97,"right"
11055,221100,-1438.01,"right"
11056,221120,-1438.05,"right"
11057,221140,-1437.98,"right"
11058,221160,-1438.02,"right"
11059,221180,-1438,"right"
11060,221200,-1438.95,"right"
11061,221220,-1438.2,"right"
11062,221240,-1438.71,"right"
11063,221260,-1439,"right"
11064,221280,-1438.69,"right"
11065,221300,-1438.8,"right"
11066,221320,-1440,"right"
11067,221340,-1438.76,"right"
11068,221360,-1438.02,"right"
11069,221380,-1438.11,"right"
11070,221400,-1437.37,"right"
11071,221420,-1437.39,"right"
11072,221440,-1437.61,"right"
11073,221460,-1437.38,"right"
11074,221480,-1437.37,"right"
11075,221500,-1438.1,"right"
11076,221520,-1437.58,"right"
11077,221540,-1438.31,"right"
11078,221560,-1438.16,"right"
11079,221580,-1437.25,"right"
11080,221600,-1440.17,"right"
11081,221620,-1437.27,"right"
11082,221640,-1438.19,"right"
