"frame","time_ms","z","hand"
28352,567040,-1277.49,"right"
28353,567060,-1277.49,"right"
28354,567080,-1278.74,"right"
28355,567100,-1277.5,"right"
28356,567120,-1277.56,"right"
28357,567140,-1276.41,"right"
28358,567160,-1276.53,"right"
28359,567180,-1276.41,"right"
28360,567200,-1276.52,"right"
28361,567220,-1276.25,"right"
28362,567240,-1275.23,"right"
28363,567260,-1273.82,"right"
28364,567280,-1276.24,"right"
28365,567300,-1276.21,"right"
28366,567320,-1277.52,"right"
28367,567340,-1278.67,"right"
28368,567360,-1276.44,"right"
28369,567380,-1278.6,"right"
28370,567400,-1278.63,"right"
28371,567420,-1277.42,"right"
28372,567440,-1277.41,"right"
28373,567460,-1277.45,"right"
28374,567480,-1277.44,"right"
28375,567500,-1276.45,"right"
28376,567520,-1277.5,"right"
28377,567540,-1276.23,"right"
28378,567560,-1277.53,"right"
28379,567580,-1277.53,"right"
28380,567600,-1277.52,"right"
28381,567620,-1278.7,"right"
28382,567640,-1277.52,"right"
28383,567660,-1277.52,"right"
28384,567680,-1277.61,"right"
28385,567700,-1277.57,"right"
28386,567720,-1277.58,"right"
28387,567740,-1277.53,"right"
28388,567760,-1276.29,"right"
28389,567780,-1276.26,"right"
28390,567800,-1276.33,"right"
28391,567820,-1276.34,"right"
28392,567840,-1276.34,"right"
28393,567860,-1276.35,"right"
28394,567880,-1277.52,"right"
28395,567900,-1276.33,"right"
28396,567920,-1277.5,"right"
28397,567940,-1276.32,"right"
28398,567960,-1277.48,"right"
28399,567980,-1277.74,"right"
28400,568000,-1276.25,"right"
28401,568020,-1271.6,"right"
28402,568040,-1273.86,"right"
28403,568060,-1273.92,"right"
28404,568080,-1273.82,"right"
28405,568100,-1272.8,"right"
28406,568120,-1273.89,"right"
28407,568140,-1272.82,"right"
28408,568160,-1272.64,"right"
28409,568180,-1272.77,"right"
28410,568200,-1273.83,"right"
28411,568220,-1272.81,"right"
28412,568240,-1273.98,"right"
28413,568260,-1275.25,"right"
28414,568280,-1271.4,"right"
28415,568300,-1272.76,"right"
28416,568320,-1271.42,"right"
28417,568340,-1272.55,"right"
28418,568360,-1271.36,"right"
28419,568380,-1272.67,"right"
28420,568400,-1272.77,"right"
28421,568420,-1272.67,"right"
28422,568440,-1272.69,"right"
28423,568460,-1272.71,"right"
28424,568480,-1271.55,"right"
28425,568500,-1271.53,"right"
28426,568520,-1272.64,"right"
28427,568540,-1272.62,"right"
28428,568560,-1272.61,"right"
28429,568580,-1271.51,"right"
28430,568600,-1272.57,"right"
28431,568620,-1273.79,"right"
28432,568640,-1273.79,"right"
28433,568660,-1273.83,"right"
28434,568680,-1273.79,"right"
28435,568700,-1275.01,"right"
28436,568720,-1274.98,"right"
28437,568740,-1276.24,"right"
28438,568760,-1275.02,"right"
28439,568780,-1273.83,"right"
28440,568800,-1273.81,"right"
28441,568820,-1273.89,"right"
28442,568840,-1273.84,"right"
28443,568860,-1271.59,"right"
28444,568880,-1272.72,"right"
28445,568900,-1272.76,"right"
28446,568920,-1272.7,"right"
28447,568940,-1273.92,"right"
28448,568960,-1275.07,"right"
28449,568980,-1275.06,"right"
28450,569000,-1275.13,"right"
28451,569020,-1272.56,"right"
28452,569040,-1273.78,"right"
28453,569060,-1273.8,"right"
28454,569080,-1275.05,"right"
28455,569100,-1275.01,"right"
28456,569120,-1273.86,"right"
28457,569140,-1273.79,"right"
28458,569160,-1272.66,"right"
28459,569180,-1273.8,"right"
28460,569200,-1272.71,"right"
28461,569220,-1273.81,"right"
28462,569240,-1272.64,"right"
28463,569260,-1274.99,"right"
28464,569280,-1271.43,"right"
28465,569300,-1272.61,"right"
28466,569320,-1272.73,"right"
28467,569340,-1273.86,"right"
28468,569360,-1272.71,"right"
28469,569380,-1274.99,"right"
28470,569400,-1272.65,"right"
28471,569420,-1273.81,"right"
28472,569440,-1272.7,"right"
28473,569460,-1273.77,"right"
28474,569480,-1273.82,"right"
28475,569500,-1272.1,"right"
28476,569520,-1274.95,"right"
28477,569540,-1273.29,"right"
28478,569560,-1276.26,"right"
28479,569580,-1275.67,"right"
28480,569600,-1273.53,"right"
28481,569620,-1272.64,"right"
28482,569640,-1273.51,"right"
28483,569660,-1273.3,"right"
28484,569680,-1274.67,"right"
28485,569700,-1274.5,"right"
28486,569720,-1274.45,"right"
28487,569740,-1273.33,"right"
28488,569760,-1273.21,"right"
28489,569780,-1272.06,"right"
28490,569800,-1273.46,"right"
28491,569820,-1272.49,"right"
28492,569840,-1273.26,"right"
28493,569860,-1273.68,"right"
28494,569880,-1272.48,"right"
28495,569900,-1272.49,"right"
28496,569920,-1272.52,"right"
28497,569940,-1274.44,"right"
28498,569960,-1272.52,"right"
28499,569980,-1273.27,"right"
28500,570000,-1274.92,"right"
28501,570020,-1273.75,"right"
28502,570040,-1272.3,"right"
28503,570060,-1270.16,"right"
28504,570080,-1275.07,"right"
