"frame","time_ms","z","hand"
10105,202100,-608.854,"right"
10106,202120,-607.566,"right"
10107,202140,-606.959,"right"
10108,202160,-607.008,"right"
10109,202180,-605.93,"right"
10110,202200,-607.106,"right"
10111,202220,-607.16,"right"
10112,202240,-605.987,"right"
10113,202260,-605.969,"right"
10114,202280,-609.704,"right"
10115,202300,-608.041,"right"
10116,202320,-606.099,"right"
10117,202340,-608.053,"right"
10118,202360,-608.372,"right"
10119,202380,-607.961,"right"
10120,202400,-607.171,"right"
10121,202420,-607.122,"right"
10122,202440,-607.058,"right"
10123,202460,-605.251,"right"
10124,202480,-605.076,"right"
10125,202500,-605.895,"right"
10126,202520,-604.737,"right"
10127,202540,-602.803,"right"
10128,202560,-602.745,"right"
10129,202580,-603.371,"right"
10130,202600,-604.617,"right"
10131,202620,-603.336,"right"
10132,202640,-603.342,"right"
10133,202660,-603.385,"right"
10134,202680,-603.425,"right"
10135,202700,-603.398,"right"
10136,202720,-602.104,"right"
10137,202740,-603.239,"right"
10138,202760,-600.199,"right"
10139,202780,-602.109,"right"
10140,202800,-599.807,"right"
10141,202820,-601.343,"right"
10142,202840,-601.228,"right"
10143,202860,-602.089,"right"
10144,202880,-600.643,"right"
10145,202900,-600.84,"right"
10146,202920,-600.172,"right"
10147,202940,-601.446,"right"
10148,202960,-601.357,"right"
10149,202980,-602.479,"right"
10150,203000,-598.844,"right"
10151,203020,-601.131,"right"
10152,203040,-599.182,"right"
10153,203060,-598.113,"right"
10154,203080,-595.518,"right"
10155,203100,-591.301,"right"
10156,203120,-585.183,"right"
10157,203140,-579.196,"right"
10158,203160,-565.5,"right"
10159,203180,-553.882,"right"
10160,203200,-540.468,"right"
10161,203220,-530.558,"right"
10162,203240,-529.797,"right"
10163,203260,-535.211,"right"
10164,203280,-551.296,"right"
10165,203300,-683.386,"right"
10166,203320,-612.781,"right"
10167,203340,-812.36,"right"
10168,203360,-1033.05,"right"
10169,203380,-1121.12,"right"
10170,203400,-1315.4,"right"
10171,203420,-1171.54,"right"
10172,203440,-1281.98,"right"
10173,203460,-1309.92,"right"
10174,203480,-1184.34,"right"
10175,203500,-1046.54,"right"
10176,203520,-1165.33,"right"
10177,203540,-974.092,"right"
10178,203560,-906.398,"right"
10179,203580,-847.46,"right"
10180,203600,-738.052,"right"
10181,203620,-734.019,"right"
10182,203640,-642.855,"right"
10183,203660,-597.305,"right"
10184,203680,-580.783,"right"
10185,203700,-571.875,"right"
10186,203720,-565.984,"right"
10187,203740,-567.033,"right"
10188,203760,-569.37,"right"
10189,203780,-576.597,"right"
10190,203800,-581.804,"right"
10191,203820,-588.181,"right"
10192,203840,-597.216,"right"
10193,203860,-601.691,"right"
10194,203880,-602.286,"right"
10195,203900,-601.504,"right"
10196,203920,-601.338,"right"
10197,203940,-601.15,"right"
10198,203960,-602.255,"right"
10199,203980,-601.126,"right"
10200,204000,-600.152,"right"
10201,204020,-601.409,"right"
10202,204040,-603.563,"right"
10203,204060,-600.133,"right"
10204,204080,-600.19,"right"
10205,204100,-600.705,"right"
10206,204120,-601.96,"right"
10207,204140,-602.57,"right"
10208,204160,-601.072,"right"
10209,204180,-601.874,"right"
10210,204200,-601.684,"right"
10211,204220,-599.919,"right"
10212,204240,-601.13,"right"
10213,204260,-601.231,"right"
10214,204280,-601.332,"right"
10215,204300,-602.132,"right"
10216,204320,-602.211,"right"
10217,204340,-602.34,"right"
10218,204360,-601.562,"right"
10219,204380,-604.595,"right"
10220,204400,-606.974,"right"
10221,204420,-604.095,"right"
10222,204440,-607.722,"right"
10223,204460,-606.543,"right"
10224,204480,-608.339,"right"
10225,204500,-606.185,"right"
10226,204520,-605.805,"right"
10227,204540,-611.904,"right"
10228,204560,-607.986,"right"
10229,204580,-608.106,"right"
10230,204600,-609.469,"right"
10231,204620,-609.463,"right"
10232,204640,-609.514,"right"
10233,204660,-605.592,"right"
10234,204680,-605.512,"right"
10235,204700,-603.714,"right"
10236,204720,-603.019,"right"
10237,204740,-604.865,"right"
10238,204760,-603.817,"right"
10239,204780,-604.609,"right"
10240,204800,-603.782,"right"
10241,204820,-604.207,"right"
10242,204840,-603.716,"right"
10243,204860,-606.775,"right"
10244,204880,-604.641,"right"
10245,204900,-606.558,"right"
10246,204920,-604.856,"right"
10247,204940,-603.631,"right"
10248,204960,-602.045,"right"
10249,204980,-605.171,"right"
10250,205000,-603.147,"right"
10251,205020,-604.523,"right"
10252,205040,-603.315,"right"
10253,205060,-603.313,"right"
10254,205080,-602.089,"right"
10255,205100,-602.167,"right"
10256,205120,-601.017,"right"
10257,205140,-602.145,"right"
10258,205160,-605.844,"right"
10259,205180,-602.207,"right"
